stage,full_pipeline,frame_count,tp,fp,fn,tn,precision,recall,f1
speech,False,1670,102,1.0,611,956.0,0.9902912621359223,0.14305750350631136,0.25
whisper,False,713,338,24.0,250,101.0,0.9337016574585635,0.5748299319727891,0.7115789473684211
webrtc_whisper_recall,False,588,424,,164,,,0.7210884353741497,
webrtc_normal_speech_recall,False,125,109,,16,,,0.872,
webrtc_silence_false_speech,False,912,15,,897,,,0.01644736842105263,
webrtc_background_false_speech,False,45,35,,10,,,0.7777777777777778,
webrtc_mode_0_whisper_recall,False,588,428,,160,,,0.7278911564625851,
webrtc_mode_0_normal_speech_recall,False,125,110,,15,,,0.88,
webrtc_mode_0_silence_false_speech,False,912,16,,896,,,0.017543859649122806,
webrtc_mode_0_background_false_speech,False,45,35,,10,,,0.7777777777777778,
webrtc_mode_1_whisper_recall,False,588,424,,164,,,0.7210884353741497,
webrtc_mode_1_normal_speech_recall,False,125,109,,16,,,0.872,
webrtc_mode_1_silence_false_speech,False,912,15,,897,,,0.01644736842105263,
webrtc_mode_1_background_false_speech,False,45,35,,10,,,0.7777777777777778,
webrtc_mode_2_whisper_recall,False,588,385,,203,,,0.6547619047619048,
webrtc_mode_2_normal_speech_recall,False,125,99,,26,,,0.792,
webrtc_mode_2_silence_false_speech,False,912,7,,905,,,0.007675438596491228,
webrtc_mode_2_background_false_speech,False,45,20,,25,,,0.4444444444444444,
