stage,comparison,feature,weighting,median_difference,effect_size,roc_auc,distribution_overlap,overlap_measure,candidate_threshold,threshold_direction,precision,recall,f1,tn,fp,fn,tp,confusion_matrix
whisper,whisper_vs_normal_speech,is_speech,segment,-0.7077886710239651,-15.597492586791837,0.0,0.0,shared_histogram_mass,0.04790419161676647,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,speech_gate_open,segment,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_normal_speech,comparison_speech_evaluated,segment,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_normal_speech,comparison_speech_is_speech,segment,-0.21341568841568848,-2.175795451830167,0.125,0.25,shared_histogram_mass,0.9444444444444444,<=,0.8,1.0,0.888888888888889,1,1,0,4,"[[1, 1], [0, 4]]"
whisper,whisper_vs_normal_speech,comparison_speech_aggressiveness,segment,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_normal_speech,is_whisper,segment,0.6594321458093914,4.268992252171141,1.0,0.0,shared_histogram_mass,0.5444444444444444,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,whisper_processed,segment,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_normal_speech,trigger,segment,0.0029940119760479044,0.9120092903819573,0.75,0.5,shared_histogram_mass,0.0,>=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_normal_speech,stage1_silero_threshold,segment,0.0,,0.5,1.0,shared_histogram_mass,0.005,>=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_normal_speech,stage1_silero_low_pass,segment,-0.22058079325603097,-1.3168565028053636,0.25,0.75,shared_histogram_mass,0.7544910179640718,<=,1.0,0.75,0.8571428571428571,2,0,1,3,"[[2, 0], [1, 3]]"
whisper,whisper_vs_normal_speech,stage1_enter_count,segment,-0.06370556569570307,-1.1048678621615429,0.375,0.75,shared_histogram_mass,0.1111111111111111,<=,0.8,1.0,0.888888888888889,1,1,0,4,"[[1, 1], [0, 4]]"
whisper,whisper_vs_normal_speech,stage1_exit_count,segment,0.5236799129014698,1.5731936822408694,0.875,0.75,shared_histogram_mass,0.45454545454545453,>=,1.0,0.75,0.8571428571428571,2,0,1,3,"[[2, 0], [1, 3]]"
whisper,whisper_vs_normal_speech,stage1_candidate,segment,-0.056254128700412465,-0.421638449151751,0.375,0.5000000000000001,shared_histogram_mass,0.972972972972973,<=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_normal_speech,zcr_threshold,segment,0.0,,0.5,1.0,shared_histogram_mass,0.08,>=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_normal_speech,zcr_pass,segment,0.711764705882353,9.452841094073857,1.0,0.0,shared_histogram_mass,0.9820359281437125,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,centroid_threshold,segment,0.0,,0.5,1.0,shared_histogram_mass,1280.0,>=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_normal_speech,centroid_pass,segment,0.7501267558506022,5.778358204159347,1.0,0.0,shared_histogram_mass,0.990909090909091,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,group_a_pass,segment,0.6617647058823529,5.785419118799025,1.0,0.0,shared_histogram_mass,1.0,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,entropy_threshold,segment,0.0,,0.5,1.0,shared_histogram_mass,2.6,>=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_normal_speech,group_b_pass,segment,0.7695758592817417,6.976506600417639,1.0,0.0,shared_histogram_mass,0.9666666666666667,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,total_band_energy,segment,-3.3057177623907226,-2.2871851906729908,0.0,0.5000000000000001,shared_histogram_mass,0.9834308067248645,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,low_proportion,segment,-0.4178712024887911,-19.765567900903594,0.0,0.0,shared_histogram_mass,0.5037223102473917,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,mid_proportion,segment,0.3394966333582883,16.288687358236423,1.0,0.0,shared_histogram_mass,0.4112000993165743,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,high_proportion,segment,0.06119320699775928,3.971684386717712,1.0,0.0,shared_histogram_mass,0.06627077536689198,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,low_proportion_threshold,segment,0.0,0.0,0.5,0.75,shared_histogram_mass,0.7999999999999999,>=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_normal_speech,group_c_pass,segment,0.7819402786820892,7.774248254776839,1.0,0.0,shared_histogram_mass,0.963963963963964,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,silero_rolling_median,segment,-0.5041895489241554,-4.569715993557068,0.0,0.0,shared_histogram_mass,0.07621453046381284,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,high_silero_threshold,segment,0.0,,0.5,1.0,shared_histogram_mass,0.5,>=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_normal_speech,high_silero_raw,segment,-0.5855119825708062,-4.752554778413279,0.0,0.0,shared_histogram_mass,0.029940119760479042,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,high_silero_count,segment,-6.573529411764706,-1.8869664568912323,0.0,0.5,shared_histogram_mass,0.08982035928143713,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,high_silero_normal_evidence,segment,-0.49891067538126366,-3.442782373600797,0.0,0.5,shared_histogram_mass,0.017964071856287425,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,silero_penalty,segment,-0.49891067538126366,-3.442782373600797,0.0,0.5,shared_histogram_mass,0.017964071856287425,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,group_count,segment,2.2060556545850663,6.788810071318077,1.0,0.0,shared_histogram_mass,2.945945945945946,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,effective_group_score,segment,2.702190064315813,15.003233161910531,1.0,0.0,shared_histogram_mass,2.945945945945946,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,grouped_v1_raw_is_whisper,segment,0.8085511982570806,8.61609842035112,1.0,0.0,shared_histogram_mass,0.9888888888888889,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,stage2_is_whisper,segment,0.6594321458093914,4.268992252171141,1.0,0.0,shared_histogram_mass,0.5444444444444444,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,stage2_consecutive_count,segment,32.04835278937075,2.625816262078452,1.0,0.5,shared_histogram_mass,7.277777777777778,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,legacy_is_whisper,segment,-0.18518518518518517,-1.4136593891839315,0.3125,0.5,shared_histogram_mass,0.011976047904191617,<=,0.8,1.0,0.888888888888889,1,1,0,4,"[[1, 1], [0, 4]]"
whisper,whisper_vs_normal_speech,grouped_v1_is_whisper,segment,0.6594321458093914,4.268992252171141,1.0,0.0,shared_histogram_mass,0.5444444444444444,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,final_trigger,segment,0.0029940119760479044,0.9120092903819573,0.75,0.5,shared_histogram_mass,0.0,>=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_normal_speech,rms,segment,-0.002887933263910999,-3.2871198002133766,0.0,0.0,shared_histogram_mass,0.002618958074355737,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,zcr,segment,0.08617074032599364,10.095001615017454,1.0,0.0,shared_histogram_mass,0.16248189734619792,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,entropy,segment,1.2515471977522736,11.111954257050606,1.0,0.0,shared_histogram_mass,3.5843455725537536,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,voicing,segment,-0.09483813011799203,-7.5097720966192965,0.0,0.0,shared_histogram_mass,0.8604921812460988,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
