wav_file,annotation_start_seconds,annotation_end_seconds,annotation_label,max_qualifying_run
silent_whisper.wav,0.0,0.2,background_noise,0
silent_whisper.wav,0.2,5.0,silence,0
silent_whisper.wav,5.0,10.0,whisper,0
silent_whisper_speak.wav,0.0,0.2,background_noise,0
silent_whisper_speak.wav,0.2,2.8,silence,0
silent_whisper_speak.wav,2.8,5.5,whisper,0
silent_whisper_speak.wav,5.5,6.4,silence,0
silent_whisper_speak.wav,6.4,9.64,normal_speech,0
silent_whisper_speak.wav,9.64,10.0,silence,0
test_background.wav,0.0,0.2,background_noise,0
test_background.wav,0.2,10.0,silence,0
whispered_question.wav,0.0,0.2,background_noise,0
whispered_question.wav,0.2,2.0,silence,0
whispered_question.wav,2.0,5.34,whisper,0
whispered_question.wav,5.34,8.17,silence,0
whispered_question.wav,8.17,8.7,normal_speech,0
whispered_question.wav,8.7,10.0,silence,0
whispered_question2.wav,0.0,0.5,background_noise,0
whispered_question2.wav,0.5,2.08,silence,0
whispered_question2.wav,2.08,8.68,whisper,0
whispered_question2.wav,8.68,10.0,silence,0
