stage,evaluation_unit,comparison_scope,full_pipeline,frame_count,tp,fp,fn,tn,precision,recall,f1
speech_vs_non_speech,frame,speech_vs_non_speech,False,4008,633,1.0,1619,1755.0,0.998422712933754,0.2810834813499112,0.4386694386694387
whisper_vs_normal_speech,frame,whisper_vs_normal_speech,False,2252,672,321.0,560,699.0,0.676737160120846,0.5454545454545454,0.6040449438202247
whisper_vs_all_non_whisper,frame,whisper_vs_all_non_whisper,False,4008,672,487.0,560,2289.0,0.5798101811906816,0.5454545454545454,0.562107904642409
whisper_sustained_segment,annotation_segment,whisper_vs_all_non_whisper,False,44,7,3.0,0,34.0,0.7,1.0,0.8235294117647058
whisper_trigger_segment,annotation_segment,whisper_vs_all_non_whisper,False,44,6,3.0,1,34.0,0.6666666666666666,0.8571428571428571,0.75
webrtc_whisper_recall,frame,webrtc_whisper_recall,False,1232,822,,410,,,0.6672077922077922,
webrtc_normal_speech_recall,frame,webrtc_normal_speech_recall,False,1020,881,,139,,,0.8637254901960785,
webrtc_silence_false_speech,frame,webrtc_silence_false_speech,False,1662,42,,1620,,,0.02527075812274368,
webrtc_background_false_speech,frame,webrtc_background_false_speech,False,94,76,,18,,,0.8085106382978723,
webrtc_mode_0_whisper_recall,frame,webrtc_whisper_recall,False,1232,829,,403,,,0.6728896103896104,
webrtc_mode_0_normal_speech_recall,frame,webrtc_normal_speech_recall,False,1020,883,,137,,,0.865686274509804,
webrtc_mode_0_silence_false_speech,frame,webrtc_silence_false_speech,False,1662,44,,1618,,,0.026474127557160047,
webrtc_mode_0_background_false_speech,frame,webrtc_background_false_speech,False,94,76,,18,,,0.8085106382978723,
webrtc_mode_1_whisper_recall,frame,webrtc_whisper_recall,False,1232,822,,410,,,0.6672077922077922,
webrtc_mode_1_normal_speech_recall,frame,webrtc_normal_speech_recall,False,1020,881,,139,,,0.8637254901960785,
webrtc_mode_1_silence_false_speech,frame,webrtc_silence_false_speech,False,1662,42,,1620,,,0.02527075812274368,
webrtc_mode_1_background_false_speech,frame,webrtc_background_false_speech,False,94,76,,18,,,0.8085106382978723,
webrtc_mode_2_whisper_recall,frame,webrtc_whisper_recall,False,1232,685,,547,,,0.5560064935064936,
webrtc_mode_2_normal_speech_recall,frame,webrtc_normal_speech_recall,False,1020,794,,226,,,0.7784313725490196,
webrtc_mode_2_silence_false_speech,frame,webrtc_silence_false_speech,False,1662,28,,1634,,,0.01684717208182912,
webrtc_mode_2_background_false_speech,frame,webrtc_background_false_speech,False,94,41,,53,,,0.43617021276595747,
webrtc_mode_3_whisper_recall,frame,webrtc_whisper_recall,False,1232,0,,1232,,,0.0,
webrtc_mode_3_normal_speech_recall,frame,webrtc_normal_speech_recall,False,1020,217,,803,,,0.21274509803921568,
webrtc_mode_3_silence_false_speech,frame,webrtc_silence_false_speech,False,1662,6,,1656,,,0.0036101083032490976,
webrtc_mode_3_background_false_speech,frame,webrtc_background_false_speech,False,94,36,,58,,,0.3829787234042553,
