stage,comparison,feature,weighting,median_difference,effect_size,roc_auc,distribution_overlap,overlap_measure,candidate_threshold,threshold_direction,precision,recall,f1,tn,fp,fn,tp,confusion_matrix
whisper,whisper_vs_normal_speech,is_speech,frame,-1.0,-3.1629393046223826,0.13080272108843538,0.2616054421768708,shared_histogram_mass,0.0,<=,0.9492635024549918,0.9863945578231292,0.9674728940783986,94,31,8,580,"[[94, 31], [8, 580]]"
whisper,whisper_vs_normal_speech,speech_gate_open,frame,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,comparison_speech_evaluated,frame,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,comparison_speech_is_speech,frame,0.0,0.0,0.42454421768707484,0.8490884353741501,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,comparison_speech_aggressiveness,frame,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,is_whisper,frame,1.0,2.3348013071484734,0.7517891156462585,0.4964217687074831,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,whisper_processed,frame,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,trigger,frame,0.0,0.0,0.5034013605442177,0.9931972789115647,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,total_band_energy,frame,-1.679419857618374,-0.34125595119301627,0.2937278911564626,0.5819183673469388,shared_histogram_mass,3.8926183677585713,<=,0.8875379939209727,0.9931972789115646,0.9373996789727127,51,74,4,584,"[[51, 74], [4, 584]]"
whisper,whisper_vs_normal_speech,low_proportion,frame,-0.3738659900483541,-1.8053795919207214,0.07495238095238095,0.29272108843537403,shared_histogram_mass,0.8361369182600701,<=,0.9325842696629213,0.9880952380952381,0.9595375722543353,83,42,7,581,"[[83, 42], [7, 581]]"
whisper,whisper_vs_normal_speech,mid_proportion,frame,0.25636582649774275,1.3213770960147386,0.9197823129251701,0.2920272108843536,shared_histogram_mass,0.155498916680985,>=,0.9386401326699834,0.9625850340136054,0.9504617968094038,88,37,22,566,"[[88, 37], [22, 566]]"
whisper,whisper_vs_normal_speech,high_proportion,frame,0.04834588770280615,0.513811362186897,0.8247755102040817,0.5048027210884354,shared_histogram_mass,0.004939849741294,>=,0.9072327044025157,0.9812925170068028,0.9428104575163399,66,59,11,577,"[[66, 59], [11, 577]]"
whisper,whisper_vs_normal_speech,legacy_is_whisper,frame,0.0,0.0,0.34170068027210887,0.6834013605442177,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,grouped_v1_is_whisper,frame,1.0,2.373905047125234,0.7682585034013606,0.46348299319727915,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,final_trigger,frame,0.0,0.0,0.5034013605442177,0.9931972789115647,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,rms,frame,-0.00304655126194255,-0.9072741133943124,0.29070748299319726,0.5313333333333334,shared_histogram_mass,0.0058251281852454,<=,0.8888888888888888,0.9931972789115646,0.938152610441767,52,73,4,584,"[[52, 73], [4, 584]]"
whisper,whisper_vs_normal_speech,zcr,frame,0.08977035490605431,1.601791882753614,0.8839319727891156,0.31753741496598636,shared_histogram_mass,0.0793319415448851,>=,0.9272151898734177,0.9965986394557823,0.9606557377049181,79,46,2,586,"[[79, 46], [2, 586]]"
whisper,whisper_vs_normal_speech,entropy,frame,1.5120430364088504,2.1745422105352348,0.8449115646258504,0.3307074829931973,shared_histogram_mass,2.6413412149112787,>=,0.9367909238249594,0.9829931972789115,0.9593360995850623,86,39,10,578,"[[86, 39], [10, 578]]"
whisper,whisper_vs_normal_speech,voicing,frame,-0.08727011903853232,-1.0873220098313179,0.1167891156462585,0.2634285714285713,shared_histogram_mass,0.934884903067756,<=,0.9391025641025641,0.9965986394557823,0.9669966996699669,87,38,2,586,"[[87, 38], [2, 586]]"
whisper,whisper_vs_normal_speech,hnr,frame,-13.356310447842716,-1.1926783452326344,0.2854285714285714,0.4978775510204086,shared_histogram_mass,102.42188576113745,<=,0.8880484114977307,0.9982993197278912,0.9399519615692553,51,74,1,587,"[[51, 74], [1, 587]]"
