stage,evaluation_unit,comparison_scope,full_pipeline,frame_count,tp,fp,fn,tn,precision,recall,f1
speech_vs_non_speech,frame,speech_vs_non_speech,False,9352,2062,64.0,3812,3414.0,0.9698965192850423,0.35103847463398025,0.5155
whisper_vs_normal_speech,frame,whisper_vs_normal_speech,False,5874,821,847.0,1544,2662.0,0.4922062350119904,0.3471458773784355,0.40714108604016863
whisper_vs_all_non_whisper,frame,whisper_vs_all_non_whisper,False,9352,821,1483.0,1544,5504.0,0.3563368055555556,0.3471458773784355,0.3516813022060398
whisper_sustained_segment,annotation_segment,whisper_vs_all_non_whisper,False,118,9,8.0,3,98.0,0.5294117647058824,0.75,0.6206896551724138
whisper_trigger_segment,annotation_segment,whisper_vs_all_non_whisper,False,118,9,8.0,3,98.0,0.5294117647058824,0.75,0.6206896551724138
webrtc_whisper_recall,frame,webrtc_whisper_recall,False,2365,1031,,1334,,,0.43594080338266383,
webrtc_normal_speech_recall,frame,webrtc_normal_speech_recall,False,3509,2728,,781,,,0.7774294670846394,
webrtc_silence_false_speech,frame,webrtc_silence_false_speech,False,2127,85,,2042,,,0.03996238834038552,
webrtc_background_false_speech,frame,webrtc_background_false_speech,False,1351,418,,933,,,0.30940044411547,
webrtc_mode_0_whisper_recall,frame,webrtc_whisper_recall,False,2365,1059,,1306,,,0.44778012684989427,
webrtc_mode_0_normal_speech_recall,frame,webrtc_normal_speech_recall,False,3509,2741,,768,,,0.781134226275292,
webrtc_mode_0_silence_false_speech,frame,webrtc_silence_false_speech,False,2127,94,,2033,,,0.044193700047014575,
webrtc_mode_0_background_false_speech,frame,webrtc_background_false_speech,False,1351,423,,928,,,0.3131014063656551,
webrtc_mode_1_whisper_recall,frame,webrtc_whisper_recall,False,2365,1031,,1334,,,0.43594080338266383,
webrtc_mode_1_normal_speech_recall,frame,webrtc_normal_speech_recall,False,3509,2728,,781,,,0.7774294670846394,
webrtc_mode_1_silence_false_speech,frame,webrtc_silence_false_speech,False,2127,85,,2042,,,0.03996238834038552,
webrtc_mode_1_background_false_speech,frame,webrtc_background_false_speech,False,1351,418,,933,,,0.30940044411547,
webrtc_mode_2_whisper_recall,frame,webrtc_whisper_recall,False,2365,748,,1617,,,0.31627906976744186,
webrtc_mode_2_normal_speech_recall,frame,webrtc_normal_speech_recall,False,3509,2077,,1432,,,0.5919065260758051,
webrtc_mode_2_silence_false_speech,frame,webrtc_silence_false_speech,False,2127,46,,2081,,,0.021626704278326282,
webrtc_mode_2_background_false_speech,frame,webrtc_background_false_speech,False,1351,320,,1031,,,0.23686158401184307,
webrtc_mode_3_whisper_recall,frame,webrtc_whisper_recall,False,2365,0,,2365,,,0.0,
webrtc_mode_3_normal_speech_recall,frame,webrtc_normal_speech_recall,False,3509,331,,3178,,,0.09432886862353947,
webrtc_mode_3_silence_false_speech,frame,webrtc_silence_false_speech,False,2127,9,,2118,,,0.004231311706629055,
webrtc_mode_3_background_false_speech,frame,webrtc_background_false_speech,False,1351,153,,1198,,,0.11324944485566248,
