stage,comparison,feature,weighting,median_difference,effect_size,roc_auc,distribution_overlap,overlap_measure,candidate_threshold,threshold_direction,precision,recall,f1,tn,fp,fn,tp,confusion_matrix
whisper,whisper_vs_normal_speech,is_speech,frame,-1.0,-2.8503371038697733,0.20926536381455066,0.4185307276291013,shared_histogram_mass,0.0,<=,0.6178243774574049,0.9966173361522199,0.7627831715210356,2054,1458,8,2357,"[[2054, 1458], [8, 2357]]"
whisper,whisper_vs_normal_speech,speech_gate_open,frame,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.40241619874085416,1.0,0.5738898325649114,0,3512,0,2365,"[[0, 3512], [0, 2365]]"
whisper,whisper_vs_normal_speech,comparison_speech_evaluated,frame,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.40241619874085416,1.0,0.5738898325649114,0,3512,0,2365,"[[0, 3512], [0, 2365]]"
whisper,whisper_vs_normal_speech,comparison_speech_is_speech,frame,-1.0,-2.180743595692759,0.33072666592823396,0.6614533318564679,shared_histogram_mass,0.0,<=,0.6274694261523989,0.5640591966173362,0.5940770429748385,2720,792,1031,1334,"[[2720, 792], [1031, 1334]]"
whisper,whisper_vs_normal_speech,comparison_speech_aggressiveness,frame,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.40241619874085416,1.0,0.5738898325649114,0,3512,0,2365,"[[0, 3512], [0, 2365]]"
whisper,whisper_vs_normal_speech,is_whisper,frame,0.0,0.0,0.5525592712632497,0.8948814574735007,shared_histogram_mass,0.0,>=,0.40241619874085416,1.0,0.5738898325649114,0,3512,0,2365,"[[0, 3512], [0, 2365]]"
whisper,whisper_vs_normal_speech,whisper_processed,frame,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.40241619874085416,1.0,0.5738898325649114,0,3512,0,2365,"[[0, 3512], [0, 2365]]"
whisper,whisper_vs_normal_speech,trigger,frame,0.0,0.0,0.5010485342913695,0.997902931417261,shared_histogram_mass,0.0,>=,0.40241619874085416,1.0,0.5738898325649114,0,3512,0,2365,"[[0, 3512], [0, 2365]]"
whisper,whisper_vs_normal_speech,total_band_energy,frame,-0.09545646381996255,-0.07145003864165077,0.26851351091034303,0.8683681921722922,shared_histogram_mass,0.0782872962328103,<=,0.5414661760543448,0.8088794926004228,0.6486944727026112,1892,1620,452,1913,"[[1892, 1620], [452, 1913]]"
whisper,whisper_vs_normal_speech,low_proportion,frame,-0.28374813822334455,-1.18156156726342,0.19651596218582498,0.4742493269828122,shared_histogram_mass,0.7728175336448998,<=,0.6088510170423309,0.9365750528541226,0.7379643511577544,2089,1423,150,2215,"[[2089, 1423], [150, 2215]]"
whisper,whisper_vs_normal_speech,mid_proportion,frame,0.19802104519802324,0.9486853251309184,0.799247159843388,0.49695673426536385,shared_histogram_mass,0.1708656952484044,>=,0.6007838745800672,0.907399577167019,0.7229240357082701,2086,1426,219,2146,"[[2086, 1426], [219, 2146]]"
whisper,whisper_vs_normal_speech,high_proportion,frame,0.039358476678874,0.2991089251879416,0.7338808169634042,0.5982886822347542,shared_histogram_mass,0.0172935959842636,>=,0.558954248366013,0.904016913319239,0.6907915993537965,1825,1687,227,2138,"[[1825, 1687], [227, 2138]]"
whisper,whisper_vs_normal_speech,legacy_is_whisper,frame,0.0,0.0,0.49145358468940076,0.9829071693788015,shared_histogram_mass,0.0,>=,0.40241619874085416,1.0,0.5738898325649114,0,3512,0,2365,"[[0, 3512], [0, 2365]]"
whisper,whisper_vs_normal_speech,grouped_v1_is_whisper,frame,0.0,0.0,0.46038734005307086,0.9207746801061416,shared_histogram_mass,0.0,>=,0.40241619874085416,1.0,0.5738898325649114,0,3512,0,2365,"[[0, 3512], [0, 2365]]"
whisper,whisper_vs_normal_speech,final_trigger,frame,0.0,0.0,0.5010485342913695,0.997902931417261,shared_histogram_mass,0.0,>=,0.40241619874085416,1.0,0.5738898325649114,0,3512,0,2365,"[[0, 3512], [0, 2365]]"
whisper,whisper_vs_normal_speech,rms,frame,-0.00066635368956575,-0.4731751966456164,0.265321314538616,0.6317405259888176,shared_histogram_mass,0.0008168568030011,<=,0.5461318051575931,0.8059196617336152,0.6510674637062339,1928,1584,459,1906,"[[1928, 1584], [459, 1906]]"
whisper,whisper_vs_normal_speech,zcr,frame,0.0647181628392485,1.000332844930701,0.7740805309010003,0.5151359037212191,shared_histogram_mass,0.1127348643006263,>=,0.5909090909090909,0.9069767441860465,0.7155963302752293,2027,1485,220,2145,"[[2027, 1485], [220, 2145]]"
whisper,whisper_vs_normal_speech,entropy,frame,1.0045138326630085,1.6184631810689816,0.8119627300177705,0.4529663322850801,shared_histogram_mass,3.0175223433159406,>=,0.6248924577000287,0.921353065539112,0.7447026657552972,2204,1308,186,2179,"[[2204, 1308], [186, 2179]]"
whisper,whisper_vs_normal_speech,voicing,frame,-0.06355170744124783,-0.667266731820331,0.22295217364084238,0.4698743540720548,shared_histogram_mass,0.9272524552143836,<=,0.6024032042723632,0.9539112050739957,0.7384615384615384,2023,1489,109,2256,"[[2023, 1489], [109, 2256]]"
whisper,whisper_vs_normal_speech,hnr,frame,-10.247345960591701,-1.079944603357604,0.26168389141186726,0.6216937880152373,shared_histogram_mass,84.27657184874514,<=,0.5525100980957877,0.8097251585623678,0.6568341622363232,1961,1551,450,1915,"[[1961, 1551], [450, 1915]]"
whisper,whisper_vs_normal_speech,spectral_centroid,frame,210.83639468579827,0.6075433858138536,0.7354794434785958,0.5379662359677724,shared_histogram_mass,1412.6972686532924,>=,0.5691077875193399,0.9331923890063425,0.7070318757007849,1841,1671,158,2207,"[[1841, 1671], [158, 2207]]"
whisper,whisper_vs_normal_speech,band_energy_low,frame,-0.0643685860147021,-0.0549686938597932,0.21509328331254485,0.8475185049627492,shared_histogram_mass,0.0248967218745419,<=,0.6056338028169014,0.8363636363636363,0.7025395134079203,2224,1288,387,1978,"[[2224, 1288], [387, 1978]]"
whisper,whisper_vs_normal_speech,band_energy_mid,frame,-0.005920927386144599,-0.019511199841387078,0.39369326308591024,0.9678114781335632,shared_histogram_mass,4.346423458958654,<=,0.4025531914893617,1.0,0.5740291262135923,2,3510,0,2365,"[[2, 3510], [0, 2365]]"
whisper,whisper_vs_normal_speech,band_energy_high,frame,-0.00089418671855865,-0.013636576884617115,0.4046316585358806,0.9844577576367587,shared_histogram_mass,1.6317860581569337,<=,0.40241619874085416,1.0,0.5738898325649114,0,3512,0,2365,"[[0, 3512], [0, 2365]]"
whisper,whisper_vs_normal_speech,temporal_score,frame,0.0,,0.5,1.0,shared_histogram_mass,0.0,>=,0.40241619874085416,1.0,0.5738898325649114,0,3512,0,2365,"[[0, 3512], [0, 2365]]"
