row_type,policy_id,context_window_seconds,high_silero_threshold,recent_high_silero_fraction_threshold,penalty_requirement,passage_id,passage_description,passage_candidate_frames,base_threshold_crossings,policy_threshold_crossings,passage_rejected,scope,speaker_id,segment_count,frame_count,candidate_positive_segments,live_positive_segments,segment_local_positive_segments,max_live_qualifying_run,max_segment_local_qualifying_run,live_threshold_crossings,segment_local_threshold_crossings,cross_boundary_segments,cross_boundary_frames,policy_positive_frames
scope_summary,w0.6_f0.1_r24,0.6,0.5,0.1,24,,,,,,,whisper_by_speaker,kaspar,5,1133,4,2,2,52,32,2,2,1,20,36
scope_summary,w0.6_f0.1_r24,0.6,0.5,0.1,24,,,,,,,whisper_by_speaker,paula,7,1232,7,7,7,47,47,19,19,1,1,249
scope_summary,w0.6_f0.1_r24,0.6,0.5,0.1,24,,,,,,,all_whisper,,12,2365,11,9,9,52,47,21,21,2,21,285
scope_summary,w0.6_f0.1_r24,0.6,0.5,0.1,24,,,,,,,all_whisper_excluding_very_quiet,,10,1836,10,9,9,52,47,21,21,2,21,285
scope_summary,w0.6_f0.1_r24,0.6,0.5,0.1,24,,,,,,,direct_microphone_normal_speech,,19,3166,16,2,2,40,40,3,3,0,0,35
scope_summary,w0.6_f0.1_r24,0.6,0.5,0.1,24,,,,,,,phone_audio_normal_speech,,11,343,11,4,3,72,24,3,3,1,7,16
scope_summary,w0.6_f0.1_r24,0.6,0.5,0.1,24,,,,,,,laughter_background,,2,206,2,1,1,25,25,1,1,0,0,11
scope_summary,w0.6_f0.1_r24,0.6,0.5,0.1,24,,,,,,,non_verbal_background,,1,64,1,1,1,29,29,1,1,0,0,6
scope_summary,w0.6_f0.1_r24,0.6,0.5,0.1,24,,,,,,,breathing_background,,6,177,5,3,0,29,13,1,0,3,18,18
scope_summary,w0.6_f0.1_r24,0.6,0.5,0.1,24,,,,,,,buzzing_background,,6,226,6,2,1,72,65,1,1,1,7,49
scope_summary,w0.6_f0.1_r24,0.6,0.5,0.1,24,,,,,,,other_background,,32,800,5,0,0,18,10,0,0,0,0,0
known_paula_passage,w0.6_f0.1_r24,0.6,0.5,0.1,24,paula_s_1m_2,3.39-4.59; base crossing 3.81,40.0,1.0,1.0,False,known_paula_s_false_positive,paula,0,41,0,0,0,40,40,0,0,0,0,17
