profile,scope,segments,segment_local_positive,live_crossings,max_segment_run,cross_boundary_segments
temporal_v2_context,whisper_overall,12,11,26,65,0
temporal_v2_context,whisper_excluding_very_quiet,10,10,24,65,0
temporal_v2_context,direct_microphone_normal_speech,19,0,0,29,0
temporal_v2_context,phone_audio_normal_speech,11,2,2,19,0
temporal_v2_context,buzzing,6,0,0,17,0
temporal_v2_context,laughter,2,1,2,22,1
temporal_v2_context,breathing,6,0,0,12,0
temporal_v2_context,nonverbal,1,0,0,28,0
temporal_v2_context,other_background,32,0,1,17,1
temporal_v2_recall,whisper_overall,12,11,28,65,1
temporal_v2_recall,whisper_excluding_very_quiet,10,10,26,65,1
temporal_v2_recall,direct_microphone_normal_speech,19,2,4,29,0
temporal_v2_recall,phone_audio_normal_speech,11,2,2,19,0
temporal_v2_recall,buzzing,6,0,0,17,0
temporal_v2_recall,laughter,2,1,2,22,1
temporal_v2_recall,breathing,6,0,0,12,0
temporal_v2_recall,nonverbal,1,1,1,28,0
temporal_v2_recall,other_background,32,0,1,17,1
