profile,wav_file,annotation_start_seconds,annotation_end_seconds,annotation_duration_seconds,speaker_id,annotation_notes,very_quiet,detected,first_crossing_timestamp,annotation_relative_latency_seconds,time_remaining_before_annotation_end_seconds,crossing_route,effective_confirmation_requirement,webrtc_assist_open_at_crossing,context_active_at_crossing,qualifying_run_length_at_crossing,candidate_run_start_seconds,annotation_start_to_qualifying_run_start_seconds,qualifying_run_start_to_crossing_seconds,qualifying_run_began_before_annotation_boundary
temporal_v2_context,2_speak_whisper.wav,5.16,8.71,3.5500000000000007,paula,0.5m,False,True,5.7,0.54,3.0100000000000007,webrtc_assisted,15.0,True,False,20.0,5.13,-0.03000000000000025,0.5700000000000003,True
temporal_v2_context,2_whisper.wav,1.87,10.0,8.129999999999999,paula,0.5m,False,True,3.81,1.94,6.1899999999999995,webrtc_assisted,15.0,True,False,15.0,3.39,1.52,0.41999999999999993,False
temporal_v2_context,2_whisper2.wav,2.38,10.0,7.62,paula,some pauses 0.5m,False,True,5.4,3.0200000000000005,4.6,webrtc_assisted,15.0,True,False,15.0,4.98,2.6000000000000005,0.41999999999999993,False
temporal_v2_context,4_kaspar_whisper_1m_2.wav,2.45,10.0,7.55,kaspar,very quiet,True,False,,,,,,,,,,,,False
temporal_v2_context,4_kaspar_whisper_1m_3.wav,1.69,10.0,8.31,kaspar,very quiet,True,True,3.33,1.6400000000000001,6.67,temporal_fallback,24.0,False,False,24.0,2.64,0.9500000000000002,0.69,False
temporal_v2_context,4_kaspar_whisper_1m_5.wav,1.57,6.52,4.949999999999999,kaspar,background noise toward end possibly speech,False,True,3.69,2.12,2.8299999999999996,temporal_fallback,24.0,False,False,24.0,3.0,1.43,0.69,False
temporal_v2_context,4_kaspar_whisper_50cm_6.wav,2.59,9.38,6.790000000000001,kaspar,nan,False,True,4.859999999999999,2.2699999999999996,4.520000000000001,temporal_fallback,24.0,False,False,24.0,4.17,1.58,0.6899999999999995,False
temporal_v2_context,4_kaspar_whisper_soln_50cm_9.wav,1.7,8.09,6.39,kaspar,solenoid_actuation_noise,False,True,3.72,2.0200000000000005,4.369999999999999,webrtc_assisted,15.0,True,False,15.0,3.3,1.5999999999999999,0.4200000000000004,False
temporal_v2_context,silent_whisper_speak.wav,2.8,5.5,2.7,paula,nan,False,True,3.63,0.8300000000000001,1.87,webrtc_assisted,15.0,True,False,15.0,3.21,0.41000000000000014,0.41999999999999993,False
temporal_v2_context,silent_whisper.wav,5.0,10.0,5.0,paula,nan,False,True,7.68,2.6799999999999997,2.3200000000000003,webrtc_assisted,15.0,True,False,15.0,7.26,2.26,0.41999999999999993,False
