frame,timestamp,processing_mode,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,confirmation_frames
0,2026-08-08T15:35:02.340106,shadow,silero,webrtc,False,0.0,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,66.00060315788089,0.21177393058454272,0.41146990950606527,0.37675615990937694,,,,,,,,,,,,,,,False,temporal_v1,False,0.024697935451062566,0.11899791231732777,4.544710215782802,0.6108567577444387,112.53242703462725,2328.3287678025854,13.97720715169502,27.157262208718976,24.8661337974659,0.0,0.0,,,,,,,,1.7291344948885325,-0.0010484786689053211,3433.3333333333335,0.011520355675697905,False,,,,,,False,False,0,20
1,2026-08-08T15:35:02.513189,shadow,silero,webrtc,False,0.008560110814869404,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.011064667566477214,0.5679847702105257,0.4188966104510538,0.013118619248042739,,,,,,,,,,,,,,,False,temporal_v1,False,0.0003168990676988884,0.10647181628392484,2.897149122529402,0.9254456709618829,76.45575972321755,1322.2709028136846,0.006284562665201417,0.004634951739365015,0.0001451531609107822,0.0,0.0,,,,,,,0.019080184128140148,1.58357453606565,-0.0009579896350691642,1200.0,0.0033799131981070117,False,,,,,,False,False,0,20
2,2026-08-08T15:35:02.551578,shadow,silero,webrtc,False,0.012108391150832176,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.005331542273148766,0.5169888183728324,0.469037674434447,0.013973507005157653,,,,,,,,,,,,,,,False,temporal_v1,False,0.00022471050890198856,0.1022964509394572,3.073545356508151,0.9228952382365044,73.41432636473951,1471.5185525036966,0.002756347739899985,0.002500694188946642,7.450034330213843e-05,0.0,0.0,,,,,,,0.013578422285564795,0.9026957250672397,-0.000540570550941921,1266.6666666666667,0.020579438518653348,False,,,,,,False,False,0,20
3,2026-08-08T15:35:02.557317,shadow,silero,webrtc,False,0.005926342215389013,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0028669765823878643,0.585087516387892,0.3867764994299737,0.028135983833334804,,,,,,,,,,,,,,,True,temporal_v1,False,0.0001653860225324263,0.12317327766179541,3.254056742143054,0.9147778303800398,70.63871166581598,1466.7167501556728,0.0016774322081315623,0.0011088791664836878,8.066520677261441e-05,0.0,0.0,,,,,,,0.012642979398696802,1.535725948676663,-0.0009268561088974566,1266.6666666666667,0.006436383084760255,False,,,,,,False,False,0,20
4,2026-08-08T15:35:02.562608,shadow,silero,webrtc,False,0.004703572951257229,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.002369758900387355,0.5939767817386274,0.3800808642509676,0.025942353588421136,,,,,,,,,,,,,,,True,temporal_v1,False,0.00015087896365712444,0.1336116910229645,3.510289008376782,0.9190093281554855,69.82801352152703,1410.4429653579245,0.0014075817651485498,0.0009007000109256485,6.147712331315683e-05,0.0,0.0,,,,,,,0.008625013608192506,1.4151169449346093,-0.0008471525273164837,1200.0,0.008815140611892045,False,,,,,,False,False,0,20
5,2026-08-08T15:35:02.567850,shadow,silero,webrtc,False,0.004294473212212324,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0014896648043416728,0.6520952225402233,0.2863855424653634,0.061519234323121286,,,,,,,,,,,,,,,True,temporal_v1,False,0.0001237693310177697,0.12943632567849686,3.8347193077879367,0.9025497399517121,67.93092980727909,1514.6503934210243,0.0009714033020975214,0.0004266184630829494,9.1643038161202e-05,0.0,0.0,,,,,,,0.005312566182656911,1.3408685683497508,-0.0008044706681449407,1333.3333333333335,0.01788422223227708,False,,,,,,False,False,0,20
6,2026-08-08T15:35:02.583623,shadow,silero,webrtc,False,0.0033304474782198668,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.002219593934433587,0.7365415264663778,0.2044049617687368,0.059053511314352415,,,,,,,,,,,,,,,True,temporal_v1,False,0.0001446806259086117,0.1336116910229645,3.7855984563993017,0.9001929354638192,69.35637127021829,1576.116315218493,0.0016348231046032276,0.00045369601331001744,0.00013107481552034183,0.0,0.0,,,,,,,0.0036576855653975724,1.2795676061412693,-0.0007593888219618654,1433.3333333333335,0.021297025525581628,False,,,,,,False,False,0,20
7,2026-08-08T15:35:02.595973,shadow,silero,webrtc,False,0.003291691653430462,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0018764813287119337,0.7431579220522991,0.20200293566528793,0.054839141749500636,,,,,,,,,,,,,,,True,temporal_v1,False,0.00013544029113908554,0.11899791231732777,3.503399983521189,0.906312637445068,68.78167373256093,1614.5933255040043,0.001394521965015498,0.00037905473712091073,0.00010290462557552503,0.0,0.0,,,,,,,0.0046401151731907345,1.2874346551036508,-0.0007744928113382497,1400.0,0.01807972943914409,False,,,,,,False,False,0,20
8,2026-08-08T15:35:02.607466,shadow,silero,webrtc,False,0.0037490196991711855,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0007299101911284094,0.7433505823504731,0.20853502350479983,0.0481143927746954,,,,,,,,,,,,,,,True,temporal_v1,False,9.208041395979349e-05,0.11691022964509394,3.3836713514222874,0.9173274083429522,65.18061293904071,1554.5094577111975,0.0005425791656388483,0.00015221183886335578,3.511918562620528e-05,0.0,0.0,,,,,,,0.002912206852833676,1.1846527516712961,-0.0007113462828452246,1266.6666666666667,0.021306329448285793,False,,,,,,False,False,0,20
9,2026-08-08T15:35:02.623534,shadow,silero,webrtc,False,0.0038223713636398315,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.00041063344974549056,0.7128730028876852,0.2296553903185056,0.05747160435854741,,,,,,,,,,,,,,,True,temporal_v1,False,7.13670939908203e-05,0.11691022964509394,3.5314923854984483,0.9053377113211056,62.506206547433294,1607.766999430627,0.0002927295004061972,9.430418517913508e-05,2.3599763160158293e-05,0.0,0.0,0.1528489258164225,0.09870643644081804,0.10250536692514292,0.009935702742622787,0.4353495923391668,261.95925476446973,0.003932692594385828,1.0704552807149714,-0.0006338839817158406,1433.3333333333335,0.026841236093420377,True,0.004058422287926078,0.1528489258164225,False,True,True,False,False,0,20
10,2026-08-08T15:35:02.635864,shadow,silero,webrtc,False,0.0029206934850662947,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.002077230988437014,0.729898944716107,0.21887903785485555,0.0512220169476275,,,,,,,,,,,,,,,True,temporal_v1,False,0.000144457117518222,0.12526096033402923,3.6292238341946352,0.9135769029028741,69.40633376600043,1487.940852524473,0.0015161687063917721,0.0004546623201513842,0.00010639996089385775,0.0,0.0,0.08143859743003987,0.09771032928792468,0.018065926335425486,0.010046938969115625,0.2819753795812114,86.79117715431386,0.0035790921686463897,1.6844218819709191,-0.0010007336233969523,1400.0,0.007086518515177159,True,0.004058422287926078,0.08143859743003987,False,True,True,False,False,0,20
11,2026-08-08T15:35:02.644669,shadow,silero,webrtc,False,0.047436073422431946,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0996880613070718,0.9041013904767407,0.08106173702289471,0.014836872490333369,,,,,,,,,,,,,,,True,temporal_v1,False,0.0010344097194805663,0.12108559498956159,2.817225599798416,0.9600257004432807,86.9285536569092,1359.188773001685,0.09012811484165419,0.00808088740999606,0.00147905905442156,0.0,0.0,0.10361309694086812,0.10870689791355904,0.01780296169580041,0.008869580704070143,0.29793850523026777,79.52050086719248,0.007868061011946051,0.896636090716426,-0.000547187300972809,800.0,0.018862910392476746,True,0.004058422287926078,0.10361309694086812,False,True,True,False,False,0,20
12,2026-08-08T15:35:02.656398,shadow,silero,webrtc,False,0.04262017458677292,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.624101735279919,0.36200232806650195,0.5875642203007223,0.05043345163117338,,,,,,,,,,,,,,,True,temporal_v1,False,0.002366896155929408,0.11482254697286012,3.663263449114985,0.8744684741765235,93.71780460651883,1505.7144968602727,0.22592628112167437,0.3666998494780734,0.03147560467917117,0.0,0.0,0.13533825597509927,0.1337103700399846,0.015355221888980962,0.006565421792699949,0.2788386307894256,78.68018734907831,0.013104772958762891,1.6263025014311507,-0.0009816130562976474,1533.3333333333335,0.005906627380741096,True,0.004058422287926078,0.13533825597509927,False,True,True,False,False,0,20
