frame,timestamp,processing_mode,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,confirmation_frames,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech
0,2026-08-08T17:45:29.824167,shadow,silero,webrtc,False,0.0,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,6.986031722387894,0.8260261351840643,0.08424476825553054,0.08972909656026205,,,,,,,,,,,,,,,False,temporal_v1,False,0.008337889837242277,0.06889352818371608,3.2639321065794,0.9213482035852115,104.8826284154099,1535.5563981126418,5.770644783917344,0.588536623478353,0.6268503149911971,0.0,0.0,,,,,,,,2.0613984413637816,-0.001263914207305488,1033.3333333333335,0.0025367607062988465,False,,,,,,False,False,0,20,True,True,True,True,True,True
1,2026-08-08T17:45:30.054080,shadow,silero,webrtc,False,0.06643334776163101,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0008008183332293407,0.7129302674806426,0.22171403079584553,0.0653557004747892,,,,,,,,,,,,,,,False,temporal_v1,False,9.358050596489072e-05,0.12734864300626306,3.6304043601346963,0.9057473110055599,65.28457016685778,1571.0577460767388,0.0005709276285125963,0.00017755266059548775,5.233804312125672e-05,0.0,0.0,,,,,,,0.005265425865912476,1.1642826833487023,-0.0006925644254916028,1566.6666666666667,0.02340721645039987,False,,,,,,False,False,0,20,True,True,True,True,True,True
2,2026-08-08T17:45:30.123226,shadow,silero,webrtc,False,0.009186720475554466,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.00036252455568053905,0.7151643303499117,0.2096573884704584,0.07517827842119625,,,,,,,,,,,,,,,False,temporal_v1,False,6.762335644417494e-05,0.1315240083507307,3.6068492651422903,0.8967472490749215,61.87439773502844,1666.3549116431484,0.00025926463109867195,7.60059516003951e-05,2.7253971981472025e-05,0.0,0.0,,,,,,,0.005828998950664073,0.9924086679042107,-0.0005845414083948951,1600.0,0.034440860778740666,False,,,,,,False,False,0,20,True,True,True,True,True,True
3,2026-08-08T17:45:30.129648,shadow,silero,webrtc,False,0.005591613706201315,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0005127997788401455,0.758429594660604,0.1618931293316751,0.07967727405764209,,,,,,,,,,,,,,,True,temporal_v1,False,7.935261016544063e-05,0.1336116910229645,3.5691652603585258,0.9036490786162792,63.61674348195714,1562.7426608736873,0.0003889225284077789,8.301876091702206e-05,4.0858488515344524e-05,0.0,0.0,,,,,,,0.004971229805327761,1.3648786176461964,-0.0008195831345065856,1400.0,0.015482412305742547,False,,,,,,False,False,0,20,True,True,True,True,True,False
4,2026-08-08T17:45:30.135697,shadow,silero,webrtc,False,0.0027346289716660976,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.00026212218261157934,0.640113150577947,0.1904814205726377,0.1694054250344005,,,,,,,,,,,,,,,True,temporal_v1,False,5.982512702194213e-05,0.17118997912317327,3.275674932769445,0.857854999509076,60.26642610314777,1808.845802218975,0.000167787856147866,4.992940570745398e-05,4.4404919756259344e-05,0.0,0.0,,,,,,,0.009180770615783608,0.9684372854361107,-0.0005687607618675857,2500.0,0.033173747213237466,False,,,,,,False,False,0,20,True,True,True,True,True,False
5,2026-08-08T17:45:30.142360,shadow,silero,webrtc,False,0.003761409083381295,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.00033082974901202557,0.40550330182506916,0.34600425255043765,0.2484924426017905,,,,,,,,,,,,,,,True,temporal_v1,False,6.521889046140566e-05,0.2150313152400835,4.025818230551825,0.7962237035842217,60.95133566135245,1908.35721763283,0.00013415255556633527,0.0001144685000283548,8.220869241733551e-05,0.0,0.0,,,,,,,0.005816379140868349,0.8742276025985911,-0.0005206798471788973,2666.666666666667,0.06630790305830486,False,,,,,,False,False,0,20,True,True,True,True,True,False
6,2026-08-08T17:45:30.148898,shadow,silero,webrtc,False,0.004520852584391832,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0027087038323853176,0.3471712194546241,0.6246549074216498,0.028173872754545852,,,,,,,,,,,,,,,True,temporal_v1,False,0.00015706971766980588,0.1649269311064718,3.6479592842830795,0.8776782237183861,69.99304703356638,1470.0758103600967,0.0009403840126306245,0.0016920051416513184,7.631467710337463e-05,0.0,0.0,,,,,,,0.009579515050742882,1.4668925384173246,-0.0008734756331275356,1566.6666666666667,0.006693319170387824,False,,,,,,False,False,0,20,True,False,True,False,True,False
7,2026-08-08T17:45:30.156479,shadow,silero,webrtc,False,0.005561413709074259,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0002664530301926404,0.4608179420826562,0.35769113563086136,0.18149091853347576,,,,,,,,,,,,,,,True,temporal_v1,False,6.0608005084342e-05,0.18162839248434237,3.879956534798472,0.8266057916938288,60.26099210514924,1796.9242562805548,0.00012278633703506042,9.530788696188975e-05,4.835880519569026e-05,0.0,0.0,,,,,,,0.009581674071469296,1.0513175773819818,-0.000626042143940259,2666.666666666667,0.0405906160280491,False,,,,,,False,False,0,20,True,False,True,False,True,False
8,2026-08-08T17:45:30.162498,shadow,silero,webrtc,False,0.0061333258636295795,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.00046300236186094877,0.7284529265997759,0.1889325314675762,0.08261453977283166,,,,,,,,,,,,,,,True,temporal_v1,False,7.236893071564427e-05,0.1419624217118998,3.2725920187287447,0.8900625485812632,62.582423410496595,1712.2716532544039,0.0003372754255202166,8.74762083018558e-05,3.825072703887635e-05,0.0,0.0,,,,,,,0.004578556074407305,0.9031968653946415,-0.0005370796333762816,1966.6666666666667,0.03529248111197131,False,,,,,,False,False,0,20,True,False,True,False,True,False
9,2026-08-08T17:45:30.169571,shadow,silero,webrtc,False,0.007585309911519289,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.000593455117914413,0.7081170149601698,0.19938559627590094,0.09249738707888193,,,,,,,,,,,,,,,True,temporal_v1,False,8.045024513573862e-05,0.162839248434238,3.696692707591919,0.8877900511442277,63.681872245322765,1553.7140415507674,0.00042023566661038975,0.00011832640254835034,5.489304775567298e-05,0.0,0.0,0.15619252023022026,0.14420906152142854,0.06331829273946671,0.03719123330545862,0.24431085804792937,136.22088340567564,0.0037454472263014366,1.2894479633255678,-0.000773996804438397,1600.0,0.01768848197973702,True,0.005576513707637787,0.15619252023022026,True,True,True,True,True,1,20,True,False,True,False,True,False
10,2026-08-08T17:45:30.179469,shadow,silero,webrtc,False,0.007841837592422962,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.0006320820475623166,0.620757199612341,0.3123690072794696,0.0668737915261163,,,,,,,,,,,,,,,True,temporal_v1,False,8.239192746260131e-05,0.1524008350730689,3.6856107058171044,0.8842126108537238,63.90865985155331,1597.3845429083167,0.00039236948177001814,0.00019744284171621532,4.226972307608309e-05,0.0,0.0,0.14195724415435515,0.1324050611943216,0.06445653529896271,0.025650476080847882,0.22012006788845967,131.82862110923918,0.004050772137513875,1.3873806404563052,-0.0008309972724689742,1633.3333333333335,0.014758986498743777,True,0.005862469784915447,0.14195724415435515,True,True,True,True,True,2,20,True,False,True,False,True,False
11,2026-08-08T17:45:30.186974,shadow,silero,webrtc,False,0.008013252168893814,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.00036938834823620995,0.5255372076835606,0.36409380099951966,0.11036898860974187,,,,,,,,,,,,,,,True,temporal_v1,False,6.830202839776119e-05,0.16075156576200417,3.717279181494654,0.8600197732710608,61.80347931642221,1667.131785311707,0.00019412732108290047,0.0001344920077542559,4.076901839905362e-05,0.0,0.0,0.13944568442274655,0.13288878660661507,0.06280369657263148,0.023493619869119332,0.22170980892978753,128.09678858688574,0.003016971780903437,1.21482356887841,-0.0007274431179102058,1800.0000000000002,0.023749122153694836,True,0.005862469784915447,0.13944568442274655,True,True,True,True,True,3,20,True,False,True,False,True,False
12,2026-08-08T17:45:30.192491,shadow,silero,webrtc,False,0.007620334159582853,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.0004592236310864071,0.6787004316045927,0.26961946466229947,0.051680101555519546,,,,,,,,,,,,,,,True,temporal_v1,False,7.185425171965253e-05,0.11691022964509394,3.358229692284358,0.8986960764612414,62.547598613409974,1677.570623908675,0.00031167527662137275,0.0001238156295737944,2.3732723891239963e-05,0.0,0.0,0.13659907691569653,0.1302050852894842,0.06460642762019045,0.02567170675878672,0.23718196612592624,128.0707090884472,0.0048046195661520155,0.9881820460654943,-0.0005898438870975487,1600.0,0.03256339842485968,True,0.005862469784915447,0.13659907691569653,True,True,True,True,True,4,20,True,False,True,False,True,False
