frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech,webrtc_mode_3_evaluated,webrtc_mode_3_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,trigger_route
0,2026-08-08T23:07:22.589124,shadow,analysis_full,silero,webrtc,False,0.0,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,39.73897307768416,0.15206168606798084,0.5041448346025708,0.3437934793294231,,,,,,,,,,,,,,True,False,temporal_v1,False,0.019243253297689177,0.07724425887265135,4.599302336622801,0.5918201433101632,110.2275212605854,2377.369991423901,6.042775248802751,20.034198009525092,13.66199981935531,0.0,0.0,,,,,,,,1.687796003091033,-0.00102746550255189,3366.666666666667,0.01457894867585117,False,,,,,,False,False,0,True,True,True,True,True,True,True,True,False,1,0,False,0,15,24,24,
1,2026-08-08T23:07:22.724828,shadow,analysis_full,silero,webrtc,False,0.010111307725310326,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.04094026578054592,0.738453644823469,0.20803052850870735,0.053515826643397754,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0006207136884169617,0.08977035490605428,3.8572677541530567,0.9117786133201383,82.2628130085163,1497.6049322306053,0.03023248848568568,0.008516825127613915,0.0021909521662463248,0.0,0.0,,,,,,,0.006808111910554418,1.6482573880730766,-0.000990547364903748,1433.3333333333335,0.010435120326640101,False,,,,,,False,False,0,True,True,True,True,True,True,True,True,False,2,0,False,0,15,24,24,
2,2026-08-08T23:07:22.770794,shadow,analysis_full,silero,webrtc,False,0.00796996895223856,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.03901343968261041,0.7411376951216969,0.20661602463924314,0.05224628021342792,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0006032690427441158,0.07933194154488518,3.842166750185196,0.9126224726575295,82.01855949102071,1493.970280002125,0.028914330765139225,0.008060801814723859,0.002038307101747332,0.0,0.0,,,,,,,0.0001131438143298385,1.8500992947639583,-0.0011123711954950796,1400.0,0.006474732839109128,False,,,,,,False,False,0,True,True,True,True,True,True,True,True,False,3,0,False,0,15,24,24,
3,2026-08-08T23:07:22.775607,shadow,analysis_full,silero,webrtc,False,0.003444564761593938,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.029114586542199214,0.7503262394017652,0.19770588727994431,0.05196787328394349,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0005221938942454717,0.10855949895615867,3.8165861462761175,0.9138166124464516,80.76664034126577,1494.954772989862,0.02184543823194558,0.005756125165114222,0.0015130231441394153,0.0,0.0,,,,,,,0.00013230342691352014,1.630525118491982,-0.0009724342708678024,1400.0,0.0103700658726268,False,,,,,,False,False,0,True,True,True,True,True,False,True,False,False,4,0,False,0,15,24,24,
4,2026-08-08T23:07:22.781340,shadow,analysis_full,silero,webrtc,False,0.002438205061480403,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.025071360143478643,0.7224456746542975,0.2229367134451439,0.05461761186067242,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0004877221310829936,0.12734864300626306,3.9355132202222123,0.9083493810223706,80.14508146016284,1502.5694462933009,0.018112695693356294,0.0055893266319867,0.0013693378171356488,0.0,0.0,,,,,,,0.00026821772663117934,1.7075149774512142,-0.0010274994468347078,1466.6666666666667,0.009472835467302555,False,,,,,,False,False,0,True,True,True,True,True,False,True,False,False,5,0,False,0,15,24,24,
5,2026-08-08T23:07:22.786385,shadow,analysis_full,silero,webrtc,False,0.0021759909577667713,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.025984001933386125,0.7181361686927819,0.2278935526983746,0.053970278570358445,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0004985397597530197,0.09394572025052192,3.9082084190743123,0.9096949420186085,80.34283466880606,1504.7142630941803,0.018660051595747747,0.005921586513920799,0.0014023638227175816,0.0,0.0,,,,,,,0.00015820676816558527,1.5520920766106547,-0.0009299260663098752,1466.6666666666667,0.013457164952891232,False,,,,,,False,False,0,True,True,True,True,True,False,True,False,False,6,0,False,0,15,24,24,
6,2026-08-08T23:07:22.791409,shadow,analysis_full,silero,webrtc,False,0.002369133522734046,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.02073035060149781,0.717673436811644,0.226421097923079,0.05590546521703863,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00044379420204191576,0.09394572025052192,3.904262976909885,0.9090104479270781,79.32458796814673,1514.525238025944,0.014877621962487264,0.004693788743521495,0.0011589398944890517,0.0,0.0,,,,,,,0.00011686064941937258,1.435335918197838,-0.0008578266699658882,1466.6666666666667,0.017083750523549508,False,,,,,,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,
7,2026-08-08T23:07:22.797655,shadow,analysis_full,silero,webrtc,False,0.0029052167665213346,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.019755141118115254,0.7339919033596316,0.21400991568468625,0.051998180905062454,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0004325919746726171,0.09394572025052192,3.8845932325392982,0.9124163429037064,79.11760262402846,1499.3371598714814,0.014500113630423537,0.004227796085026924,0.0010272314016647947,0.0,0.0,,,,,,,0.00024072379085283171,1.415765688790091,-0.0008432326379671461,1433.3333333333335,0.01701957551965033,False,,,,,,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,
8,2026-08-08T23:07:22.802769,shadow,analysis_full,silero,webrtc,False,0.002655211603268981,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.017388086602404807,0.7285012458271921,0.21796138967333306,0.05353736444196431,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0004059392794186119,0.12317327766179541,3.888143622580021,0.9106531606190033,78.55369319025401,1508.623347500606,0.01266724275240301,0.003789931519620416,0.0009309123293813832,0.0,0.0,,,,,,,0.0001512674535578775,1.4524611930219409,-0.0008680222123587351,1433.3333333333335,0.016246680924906668,False,,,,,,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,
9,2026-08-08T23:07:22.808329,shadow,analysis_full,silero,webrtc,False,0.002583520021289587,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.016462185724782183,0.7133528393309144,0.23046633911935635,0.05618082148898405,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00039623385128667,0.09812108559498957,3.958520877611115,0.9075153705265999,78.3272259469577,1522.1947656077327,0.011743346928366217,0.0037939796778934777,0.0009248591175224892,0.0,0.0,0.17354257138095067,0.0867503986179288,0.08701818900505875,0.01581135384447724,0.21701404100480357,262.06337883567943,0.0001074413450081752,1.3564027479926397,-0.0007985160025954793,1500.0,0.020003810528034374,True,0.002619365812279284,0.17354257138095067,True,True,True,True,True,1,True,False,True,False,True,False,True,False,False,0,0,True,1,15,24,24,
