frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_low_proportion_max,temporal_v1_low_proportion_max_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,temporal_v2_window_full,temporal_v2_silero_median,temporal_v2_silero_min_pass,temporal_v2_silero_max_pass,temporal_v2_low_proportion_std_pass,temporal_v2_low_proportion_max_pass,temporal_v2_zcr_std_pass,temporal_v2_raw_is_whisper,temporal_v2_qualifying_run,temporal_v2_context_enabled,temporal_v2_context_high_silero_count,temporal_v2_context_active,temporal_v2_context_window_frames,temporal_v2_context_silero_threshold,temporal_v2_context_min_frames,temporal_v2_acoustic_activity,temporal_v2_acoustic_activity_ok,temporal_v2_acoustic_activity_window_frames,temporal_v2_acoustic_activity_rms_min,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,context_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
0,2026-08-25T15:19:08.821490,shadow,temporal_v2_context,silero,webrtc,False,0.0,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,3.4960185561738246,0.9646137736693606,0.032733781111641144,0.0026524452187120886,,,,,,,,,,,,,,,,temporal_v2,False,0.005978835071110676,0.12839248434237996,0.0,0.0,0.0,0.0,3.3723076522889426,0.11443790618002968,0.009272997703852,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,,,,,False,,False,0,True,0,False,50,0.1,5,0.005978751442194516,True,5,5.5e-05,True,True,False,1,0,False,0,15,24,30,24,,,,False,False,False,
1,2026-08-25T15:19:09.055253,shadow,temporal_v2_context,silero,webrtc,False,0.05746959149837494,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.10972853360426536,0.7372982251174741,0.21020613632148552,0.052495638551926856,,,,,,,,,,,,,,,,temporal_v2,False,0.001013249332188633,0.22129436325678498,0.0,0.0,0.0,0.0,0.08090265307116797,0.02306561109317491,0.005760269438922474,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,,,,,True,,False,0,True,0,False,50,0.1,5,0.003495753596102849,True,5,5.5e-05,True,True,False,2,0,False,0,15,24,30,24,,,,False,False,False,
2,2026-08-25T15:19:09.155281,shadow,temporal_v2_context,silero,webrtc,False,0.008410845883190632,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.09174853675863662,0.7338596725259204,0.21194773472715397,0.054192592736026245,,,,,,,,,,,,,,,,temporal_v2,False,0.0009273032339261089,0.3089770354906054,0.0,0.0,0.0,0.0,0.06733055114042544,0.01944589453052405,0.004972091086687128,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,,,,,True,,False,0,True,0,False,50,0.1,5,0.0026394236904433866,True,5,5.5e-05,True,True,False,3,0,False,0,15,24,30,24,,,,False,False,False,
3,2026-08-25T15:19:09.175342,shadow,temporal_v2_context,silero,webrtc,False,0.005950315855443478,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.08534766363891774,0.7320456790670351,0.21306197139251903,0.05489234952872908,,,,,,,,,,,,,,,,temporal_v2,False,0.0008929932557663383,0.23382045929018788,0.0,0.0,0.0,0.0,0.06247838838533644,0.018184341468653428,0.0046849337839278745,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,,,,,True,,False,0,True,0,False,50,0.1,5,0.0022026760592019114,True,5,5.5e-05,True,True,False,4,0,False,0,15,24,30,24,,,,False,False,False,
4,2026-08-25T15:19:09.192310,shadow,temporal_v2_context,silero,webrtc,False,0.0038008796982467175,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.07607343702949969,0.7350720012812989,0.2121023927365394,0.05282560596901641,,,,,,,,,,,,,,,,temporal_v2,False,0.000844420926660855,0.25052192066805845,0.0,0.0,0.0,0.0,0.055919453601621205,0.016135358017649343,0.004018625409229133,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,,,,,True,,False,0,True,0,False,50,0.1,5,0.001930906566793264,True,5,5.5e-05,True,True,False,5,0,False,0,15,24,30,24,,,,False,False,False,
5,2026-08-25T15:19:09.211201,shadow,temporal_v2_context,silero,webrtc,False,0.003974230494350195,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.07069458185216505,0.7355057784946488,0.2115308115968848,0.05296340989432086,,,,,,,,,,,,,,,,temporal_v2,False,0.0008143872913587808,0.2839248434237996,0.0,0.0,0.0,0.0,0.05199627346053033,0.014954082274690878,0.0037442261159438346,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,,,,,True,,False,0,True,0,False,50,0.1,5,0.0008979108986054236,True,5,5.5e-05,True,True,False,6,0,False,0,15,24,30,24,,,,False,False,False,
6,2026-08-25T15:19:09.225843,shadow,temporal_v2_context,silero,webrtc,False,0.004628857132047415,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.06815786217849906,0.7347357846351238,0.2123831204141411,0.05288109493606321,,,,,,,,,,,,,,,,temporal_v2,False,0.0007991517868542698,0.3298538622129436,0.0,0.0,0.0,0.0,0.05007802034677213,0.0144755794502266,0.003604262380500321,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,,,,,True,,False,0,True,0,False,50,0.1,5,0.0008550649242779126,True,5,5.5e-05,True,False,False,0,0,False,0,15,24,30,24,,,,False,False,False,
7,2026-08-25T15:19:09.237466,shadow,temporal_v2_context,silero,webrtc,False,0.004931125324219465,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.06362374965190375,0.7408227079238038,0.20744113945778395,0.05173615260269477,,,,,,,,,,,,,,,,temporal_v2,False,0.0007717823789867127,0.21711899791231734,0.0,0.0,0.0,0.0,0.047133918505389505,0.013198183124367697,0.0032916480211465406,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,,,,,True,,False,0,True,0,False,50,0.1,5,0.0008239389996190077,True,5,5.5e-05,True,False,False,0,0,False,0,15,24,30,24,,,,False,False,False,
8,2026-08-25T15:19:09.249224,shadow,temporal_v2_context,silero,webrtc,False,0.005372596438974142,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.06064489070279395,0.7326820945265685,0.21503378319773167,0.052284122259210426,,,,,,,,,,,,,,,,temporal_v2,False,0.0007537746471298852,0.2150313152400835,0.0,0.0,0.0,0.0,0.04443342554245789,0.013040700279434728,0.0031707648799013323,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,,,,,True,,False,0,True,0,False,50,0.1,5,0.0007960745718792658,True,5,5.5e-05,True,False,False,0,0,False,0,15,24,30,24,,,,False,False,False,
9,2026-08-25T15:19:09.264240,shadow,temporal_v2_context,silero,webrtc,False,0.0055019427090883255,True,True,False,0,True,True,False,1,0.0,,,,,,,,,,,,,0.06270891210920408,0.7345560950994884,0.2116947675776448,0.05374913730691993,,,,,,,,,,,,,,,,temporal_v2,False,0.0007657023822779025,0.1941544885177453,0.0,0.0,0.0,0.0,0.04606321360687397,0.013275148574004914,0.003370549927325184,0.0,0.0,0.06887135421762727,,,0.05562028999942876,,,,,,,,,,,,,,,,,,,True,0.005151860881596804,True,True,True,True,True,True,1,True,0,False,50,0.1,5,0.0007803186741226187,True,5,5.5e-05,True,False,False,0,0,True,1,15,24,30,24,,,,False,False,False,
