frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
0,2026-08-09T13:52:36.325034,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,39.7389730776811,0.15206168606790732,0.5041448346026179,0.3437934793294496,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,6.042775248799365,20.034198009525426,13.661999819355312,0.0,0.0,,,,,,,,,,,,False,,,,,,False,False,0,True,True,False,1,0,False,0,15,24,24,,,,False,False,False,
1,2026-08-09T13:52:36.450545,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.010111312381923199,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.04094026578049682,0.7384536448231175,0.2080305285089971,0.05351582664345965,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.030232488485635034,0.008516825127615563,0.002190952166246231,0.0,0.0,,,,,,,,,,,,False,,,,,,False,False,0,True,True,False,2,0,False,0,15,24,24,,,,False,False,False,
2,2026-08-09T13:52:36.487124,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.007969980128109455,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.0390134396825707,0.7411376951213923,0.20661602463949705,0.05224628021347848,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.028914330765097907,0.008060801814725559,0.0020383071017472296,0.0,0.0,,,,,,,,,,,,False,,,,,,False,False,0,True,True,False,3,0,False,0,15,24,24,,,,False,False,False,
3,2026-08-09T13:52:36.489820,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0034445615019649267,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.029114586542168495,0.7503262394014727,0.1977058872801837,0.051967873283996574,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.021845438231914014,0.005756125165115118,0.0015130231441393643,0.0,0.0,,,,,,,,,,,,False,,,,,,False,False,0,True,True,False,4,0,False,0,15,24,24,,,,False,False,False,
4,2026-08-09T13:52:36.492577,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.002438206225633621,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.025071360143457035,0.7224456746540429,0.2229367134453529,0.05461761186071821,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.018112695693334298,0.005589326631987123,0.0013693378171356168,0.0,0.0,,,,,,,,,,,,False,,,,,,False,False,0,True,True,False,5,0,False,0,15,24,24,,,,False,False,False,
5,2026-08-09T13:52:36.495114,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.00217599724419415,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.02598400193335284,0.7181361686923962,0.22789355269869252,0.05397027857042608,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.018660051595713822,0.0059215865139214735,0.0014023638227175425,0.0,0.0,,,,,,,,,,,,False,,,,,,False,False,0,True,True,False,6,0,False,0,15,24,24,,,,False,False,False,
6,2026-08-09T13:52:36.497881,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0023691311944276094,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.020730350601477897,0.7176734368113455,0.22642109792332565,0.05590546521709042,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.014877621962466787,0.0046937887435221,0.001158939894489012,0.0,0.0,,,,,,,,,,,,False,,,,,,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
7,2026-08-09T13:52:36.501784,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.002905206987634301,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.019755141118090732,0.733991903359265,0.2140099156849901,0.05199818090512533,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.014500113630398295,0.004227796085027678,0.0010272314016647618,0.0,0.0,,,,,,,,,,,,False,,,,,,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
8,2026-08-09T13:52:36.506918,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.00265522045083344,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.017388086602386183,0.7285012458268435,0.21796138967362835,0.05353736444201767,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.01266724275238338,0.0037899315196214915,0.0009309123293813139,0.0,0.0,,,,,,,,,,,,False,,,,,,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
9,2026-08-09T13:52:36.513016,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0025835237465798855,True,True,False,0,True,True,False,1,0.0,,,,,,,,,,,,,0.016462185724762848,0.713352839330545,0.2304663391196618,0.05618082148904807,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.011743346928346344,0.0037939796778940498,0.000924859117522457,0.0,0.0,0.17354257138087445,,,,,,,,,,,True,0.0026193720987066627,0.17354257138087445,True,True,True,True,True,1,True,False,False,0,0,True,1,15,24,24,,,,False,False,False,
