frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_low_proportion_max,temporal_v1_low_proportion_max_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech,webrtc_mode_3_evaluated,webrtc_mode_3_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
0,2026-08-12T14:30:33.065023,shadow,analysis_full,silero,webrtc,False,0.0,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,92.45366288377662,0.29709851104505197,0.38849553720009583,0.3144059517548414,,,,,,,,,,,,,,True,False,temporal_v1,False,0.029486558699612416,0.1315240083507307,4.616751906594056,0.670601952599065,114.47629215861579,2150.6808092206543,27.46784558343122,35.91783542814936,29.06798187219504,0.0,0.0,,,,,,,,1.901226220970643,-0.0011640082596651093,3333.3333333333335,0.010117528160251766,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,1,0,False,0,15,24,24,,,,False,False,False,
1,2026-08-12T14:30:33.270461,shadow,analysis_full,silero,webrtc,False,0.011676093563437462,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0039620034496938425,0.7274121079669817,0.21920037269248596,0.05338751908813467,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00019753710524188407,0.1336116910229645,3.8027993589203883,0.9104993901139237,72.21038609562798,1505.5899107464115,0.0028820092811142513,0.0008684726327818054,0.00021152153479778543,0.0,0.0,,,,,,,0.004923915911317555,1.5103136893147877,-0.0009049871293009009,1366.6666666666667,0.013214822577902637,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,2,0,False,0,15,24,24,,,,False,False,False,
2,2026-08-12T14:30:33.348026,shadow,analysis_full,silero,webrtc,False,0.009981977753341198,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.012172906610623325,0.7809795261012927,0.17109443515935954,0.04792603865719807,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0003329345309599554,0.13778705636743216,3.7121102584553527,0.9181590510328442,76.85434448281289,1494.3445856858582,0.009506790836039898,0.0020827165807922317,0.0005833991927911954,0.0,0.0,,,,,,,0.001683499242771121,1.3474951439543335,-0.0007961620355207552,1333.3333333333335,0.01743635924926618,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,3,0,False,0,15,24,24,,,,False,False,False,
3,2026-08-12T14:30:33.355677,shadow,analysis_full,silero,webrtc,False,0.004568719770759344,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.00731979746122682,0.719279739594369,0.2244311975309826,0.05628906273803255,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0002663876512696965,0.12108559498956159,3.8187239866381355,0.9061517289047786,74.83801196132171,1538.8265050134448,0.005264982011794751,0.0016427909099073813,0.0004120245385246879,0.0,0.0,,,,,,,0.0011207129046412964,1.43426929386062,-0.0008559805676512425,1500.0,0.016659437334940533,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,4,0,False,0,15,24,24,,,,False,False,False,
4,2026-08-12T14:30:33.364037,shadow,analysis_full,silero,webrtc,False,0.0026944985147565603,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.001509429755702377,0.6847507554543625,0.2653070363762091,0.049942207506926524,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0001296713132792142,0.11064718162839249,3.7313897571357026,0.9130812148760202,68.4129467486244,1515.9051092840962,0.0010335831655224966,0.000400462335103463,7.538425407641752e-05,0.0,0.0,,,,,,,0.0018133888351957361,1.1844728084806044,-0.0007066601948144983,1433.3333333333335,0.024284235523338592,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,5,0,False,0,15,24,24,,,,False,False,False,
5,2026-08-12T14:30:33.371262,shadow,analysis_full,silero,webrtc,False,0.002789704827591777,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.003945328789735545,0.6897391523005214,0.25263578834731115,0.05762505909870299,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0001921871345027291,0.11482254697286012,3.8999994828544806,0.9013046409130464,71.92133851952148,1526.0677791077069,0.002721247734979037,0.0009967312490841824,0.00022734980467232512,0.0,0.0,,,,,,,0.00304544549736524,1.6766021607706747,-0.0010168898642998578,1566.6666666666667,0.010896247205453558,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,6,0,False,0,15,24,24,,,,False,False,False,
6,2026-08-12T14:30:33.381334,shadow,analysis_full,silero,webrtc,False,0.003122677793726325,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0022934125387383338,0.7819072864575143,0.1636178941632012,0.05447481894325311,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00014992718750981283,0.10020876826722339,3.443290442247818,0.9110783080751461,69.73287509426751,1596.2864992178486,0.0017932359748925293,0.00037524333003584727,0.0001249332328099572,0.0,0.0,,,,,,,0.003892653499600611,1.1623956694199582,-0.0006901469446723964,1366.6666666666667,0.023609977152639024,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
7,2026-08-12T14:30:33.381334,shadow,analysis_full,silero,webrtc,False,0.00400704937055707,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.007618308523808783,0.7623522040433934,0.197622458951248,0.04002533687409575,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00026992185072655816,0.09812108559498957,3.659039755991548,0.9245483119559891,75.04133512136393,1452.1440719405484,0.0058078342942081964,0.0015055488635243438,0.00030492536507624164,0.0,0.0,,,,,,,0.0029328519433757198,1.388773237723236,-0.0008304478159260801,1266.6666666666667,0.015643523109987702,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
8,2026-08-12T14:30:33.381334,shadow,analysis_full,silero,webrtc,False,0.003953536506742239,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0028007215076700617,0.7423171516114353,0.21411368616062074,0.043569161870893054,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00016290092094305164,0.10855949895615867,3.7322699105970494,0.9139197713471173,70.49805283078854,1497.8082814484978,0.002079023612030525,0.0005996728059165682,0.00012202508872296857,0.0,0.0,,,,,,,0.0020834396152577214,1.3857790057601314,-0.0008278721456154713,1366.6666666666667,0.016132012774514308,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
9,2026-08-12T14:30:33.406742,shadow,analysis_full,silero,webrtc,False,0.00339142675511539,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.0007011163095708636,0.8191291466338073,0.13857358990757718,0.04229726203231881,,,,,,,,,,,,,,False,False,temporal_v1,False,8.971960987559801e-05,0.11064718162839249,3.398341932314812,0.9300016505905613,64.98376133215723,1525.7284016381755,0.0005743048043498258,9.715620395998677e-05,2.965530026105117e-05,0.0,0.0,0.1403299255500698,0.06643948961404107,0.07967884334272315,0.013152400835073066,0.31614380434870243,193.28076033986423,0.006109829471493976,0.935489926803107,-0.0005538736584061573,1000.0000000000001,0.026736142987989094,True,0.0036724816309288144,0.1403299255500698,True,True,True,0.85,True,True,True,1,True,False,True,False,True,False,True,False,False,0,0,True,1,15,24,24,,,,False,False,False,
