frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech,webrtc_mode_3_evaluated,webrtc_mode_3_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
0,2026-08-11T01:53:27.014168,shadow,analysis_full,silero,webrtc,False,0.0,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,22.406410910726468,0.7345440653075558,0.2127668147416291,0.05268911995077049,,,,,,,,,,,,,,True,False,temporal_v1,False,0.014467896954414083,0.1022964509394572,3.8974564739597204,0.9108040433707408,109.61972371330965,1496.0353689652095,16.458496159316592,4.767340679267355,1.1805740721415194,0.0,0.0,,,,,,,,1.9138710932908742,-0.0011510703612435543,1433.3333333333335,0.005629760730604636,False,,,,,,False,False,0,True,True,True,True,True,True,True,True,False,1,0,False,0,15,24,24,,,,False,False,False,
1,2026-08-11T01:53:27.277725,shadow,analysis_full,silero,webrtc,False,0.02802910842001438,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.22003756422900203,0.7388632348013209,0.20924063467065954,0.051896130523474845,,,,,,,,,,,,,,False,False,temporal_v1,False,0.001436695523182236,0.1419624217118998,3.8928273947393883,0.9117496074653105,89.56132728021129,1489.6251954752008,0.16257766648404384,0.046040799590662394,0.01141909815329577,0.0,0.0,,,,,,,2.6300976584020773e-05,2.0180296811496943,-0.0012261589333646865,1400.0,0.004685326018961563,False,,,,,,False,False,0,True,True,True,True,True,True,True,True,False,2,0,False,0,15,24,24,,,,False,False,False,
2,2026-08-11T01:53:27.366757,shadow,analysis_full,silero,webrtc,False,0.004440362099558115,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.154082950733895,0.7270682394464238,0.22043704814537068,0.05249471240171562,,,,,,,,,,,,,,False,False,temporal_v1,False,0.001206014753371597,0.12317327766179541,3.8935097149017257,0.911814743850324,88.04051276003192,1496.2250235251913,0.11202881971880309,0.03396559082930839,0.008088540184783534,0.0,0.0,,,,,,,5.3961019865209765e-05,1.5619794411719548,-0.0009301541119411125,1433.3333333333335,0.012108204791394466,False,,,,,,False,False,0,True,True,True,True,True,True,True,True,False,3,0,False,0,15,24,24,,,,False,False,False,
3,2026-08-11T01:53:27.375470,shadow,analysis_full,silero,webrtc,False,0.003402683651074767,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.14049161136810107,0.7282698513579379,0.21844355623399522,0.053286592400949,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0011500676152263855,0.12317327766179541,3.918576520837588,0.9094676541253062,87.61644254705547,1501.693815350966,0.10231580492808413,0.030689487208292388,0.007486319230724534,0.0,0.0,,,,,,,9.512087155273359e-05,1.6959056274119495,-0.0010245516099836771,1466.6666666666667,0.01005447543131456,False,,,,,,False,False,0,True,True,True,True,True,False,True,False,False,4,0,False,0,15,24,24,,,,False,False,False,
4,2026-08-11T01:53:27.384328,shadow,analysis_full,silero,webrtc,False,0.0023958622477948666,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.1229894502714762,0.7321109681189006,0.21472106949379405,0.05316796237917444,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0010721132067738196,0.12317327766179541,3.9044932199293494,0.9101454229627234,87.00953088441261,1499.9846425410094,0.09004192550666183,0.02640842629874517,0.0065390984650691925,0.0,0.0,,,,,,,0.00012544121546441905,1.6839066104338347,-0.001010930296617961,1433.3333333333335,0.009714276896427622,False,,,,,,False,False,0,True,True,True,True,True,False,True,False,False,5,0,False,0,15,24,24,,,,False,False,False,
5,2026-08-11T01:53:27.394158,shadow,analysis_full,silero,webrtc,False,0.0026137996464967728,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.1285953144151553,0.7447265404631105,0.2041274169778391,0.05114604255127416,,,,,,,,,,,,,,False,False,temporal_v1,False,0.001095733053168595,0.11482254697286012,3.853868295452741,0.9138000959050921,87.21635904708162,1484.4560273417003,0.09576834362416456,0.026249829367018727,0.0065771414229720115,0.0,0.0,,,,,,,0.00012062872547103539,1.8460105472005288,-0.0011074757367739933,1400.0,0.006313539135198527,False,,,,,,False,False,0,True,True,True,True,True,False,True,False,False,6,0,False,0,15,24,24,,,,False,False,False,
6,2026-08-11T01:53:27.402000,shadow,analysis_full,silero,webrtc,False,0.002787092700600624,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.11244772934043543,0.7469022996084566,0.2017855537699955,0.05131214661265485,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0010255129637655202,0.10438413361169102,3.8580050771027214,0.9129386440896663,86.6364803632938,1489.4414981370476,0.08398746763012054,0.022690327335138333,0.0057699343741765535,0.0,0.0,,,,,,,7.241454876730844e-05,2.162490131021267,-0.0013338673109348836,1400.0,0.0034390329233429653,False,,,,,,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
7,2026-08-11T01:53:27.412780,shadow,analysis_full,silero,webrtc,False,0.003133055754005909,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0991390449030998,0.7234413916277121,0.22275780584550098,0.05380080251669993,,,,,,,,,,,,,,False,False,temporal_v1,False,0.000963006984518697,0.12317327766179541,3.9226937281142953,0.9089359553496398,86.07063165758339,1504.7394796657136,0.07172128860934077,0.022083996116233108,0.005333760176525919,0.0,0.0,,,,,,,0.00012274952702973757,1.607446116464713,-0.0009635798069989236,1466.6666666666667,0.011812102897004888,False,,,,,,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
8,2026-08-11T01:53:27.420082,shadow,analysis_full,silero,webrtc,False,0.0033988484647125006,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.08071451028496086,0.7218666014175475,0.22141840069566268,0.05671499787440044,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0008672475576070208,0.15657620041753653,3.926210185060945,0.9076075844496226,85.15346883520326,1512.188738205635,0.05826510922448638,0.01787167778022965,0.0045777232792448275,0.0,0.0,,,,,,,0.00011441520315469556,1.4951651684515457,-0.0008884234797547256,1500.0,0.014475541537667712,False,,,,,,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
9,2026-08-11T01:53:27.436794,shadow,analysis_full,silero,webrtc,False,0.004743029363453388,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.09904329955622636,0.707956502737015,0.24265586803197717,0.04938762922091111,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0009661927909716056,0.19206680584551147,3.935518145045968,0.9050075119172467,86.08054919885335,1502.3606741453393,0.07011834797336057,0.024033437826567246,0.004891513755298537,0.0,0.0,0.010998119821731394,0.010977378264134564,0.0018377810133926086,0.025573047568461585,0.026114255508630852,7.849320371723665,0.00024413932188957493,1.67336622973805,-0.0010057430009650019,1600.0,0.010303673307273878,True,0.0032659521093592048,0.010998119821731394,True,True,False,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
