frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech,webrtc_mode_3_evaluated,webrtc_mode_3_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
0,2026-08-11T01:53:55.811062,shadow,analysis_full,silero,webrtc,False,0.0,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,63.33525775604729,0.2276172013513134,0.47882847313719457,0.29355432551147614,,,,,,,,,,,,,,True,False,temporal_v1,False,0.02393911979820036,0.12734864300626306,4.759271030661701,0.6628820654763109,112.6157645106643,2200.1135748571623,14.416194117295548,30.326724767078783,18.592338871671952,0.0,0.0,,,,,,,,1.8652686521372632,-0.0011189934920916738,3200.0,0.012515625116206285,False,,,,,,False,False,0,True,True,True,True,True,True,True,True,False,1,0,False,0,15,24,24,,,,False,False,False,
1,2026-08-11T01:53:55.962620,shadow,analysis_full,silero,webrtc,False,0.00944783166050911,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.014104980713848565,0.6905546682178948,0.2617536977088897,0.047691634002318656,,,,,,,,,,,,,,False,False,temporal_v1,False,0.000357230664548376,0.12108559498956159,3.5884934806241318,0.9095078494947905,77.43006484467894,1583.507134554484,0.0097402602770715,0.003692030857962436,0.0006726895778146291,0.0,0.0,,,,,,,0.007050941253186302,1.000936326527252,-0.0005971028863964257,1400.0,0.03499588707959521,False,,,,,,False,False,0,True,True,True,True,True,True,True,True,False,2,0,False,0,15,24,24,,,,False,False,False,
2,2026-08-11T01:53:56.015884,shadow,analysis_full,silero,webrtc,False,0.008862986229360104,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.01792772869338481,0.49889981111679393,0.4596611360895277,0.04143905273789896,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00041349330369740925,0.12734864300626306,3.6842260562135456,0.9010624531440566,78.6688399736136,1504.6374837852497,0.008944140458882808,0.008240680138706085,0.0007429080947959174,0.0,0.0,,,,,,,0.004930341446941795,1.7861441786999777,-0.001099660807844292,1400.0,0.00653347685043381,False,,,,,,False,False,0,True,True,True,True,True,True,True,True,False,3,0,False,0,15,24,24,,,,False,False,False,
3,2026-08-11T01:53:56.021336,shadow,analysis_full,silero,webrtc,False,0.004155708942562342,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0149446716416478,0.6205476073804735,0.34413290988218864,0.03531948267042434,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00037858378853908786,0.11064718162839249,3.6605691884146707,0.9154153547971903,77.96634709506014,1440.4827751567318,0.009273880230311357,0.005142953339274082,0.0005278380710623616,0.0,0.0,,,,,,,0.004818663997757191,1.8294646014552212,-0.0011143888642269775,1300.0,0.0053233997654552785,False,,,,,,False,False,0,True,True,True,True,True,False,True,False,False,4,0,False,0,15,24,24,,,,False,False,False,
4,2026-08-11T01:53:56.028953,shadow,analysis_full,silero,webrtc,False,0.003277797484770417,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0073517846072487306,0.6892767516205754,0.264221844251697,0.04650140399170608,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0002672876047614676,0.10855949895615867,3.670580981202538,0.9141203577224193,74.90572853717731,1499.965762808027,0.005067414212698553,0.0019425020874684973,0.0003418683060816794,0.0,0.0,,,,,,,0.002691156292936856,1.3471835195173842,-0.0008016973305395133,1433.3333333333335,0.016464848114734598,False,,,,,,False,False,0,True,True,True,True,True,False,True,False,False,5,0,False,0,15,24,24,,,,False,False,False,
5,2026-08-11T01:53:56.036075,shadow,analysis_full,silero,webrtc,False,0.002791546517983079,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.008926526682632547,0.662247130319304,0.28917664235712026,0.04857622721154981,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0002938019132668141,0.07306889352818371,3.867528949508159,0.9088822690848927,75.71286486992429,1522.0442596662633,0.005911566679292101,0.002581343013994923,0.0004336169883455206,0.0,0.0,,,,,,,0.002536199359090719,1.174083631332493,-0.0007001056661012344,1466.6666666666667,0.029581308637826056,False,,,,,,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
6,2026-08-11T01:53:56.041089,shadow,analysis_full,silero,webrtc,False,0.002814267762005329,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.007671139367415559,0.7744385335301452,0.18687159213573765,0.0386898742037584,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00026641810312571607,0.1022964509394572,3.642362355917603,0.9233738506810321,74.92063103714062,1459.8052138625426,0.0059408259222066715,0.0014335180270840808,0.0002967954171248068,0.0,0.0,,,,,,,0.003484598481240218,1.2793114734661444,-0.0007667237755074655,1366.6666666666667,0.020313966862449236,False,,,,,,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
7,2026-08-11T01:53:56.045629,shadow,analysis_full,silero,webrtc,False,0.0031433692201972008,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.006497882087200213,0.7947711271062387,0.1713579705623102,0.03387090217755461,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00024720350424286506,0.10647181628392484,3.5013458988579456,0.9324205034646423,74.30272892003435,1395.3342880817304,0.005164329070247552,0.001113463887415817,0.00022008912853684282,0.0,0.0,,,,,,,0.002222889128578756,1.7790743971534138,-0.0010858024189755342,1066.6666666666667,0.00544708103402181,False,,,,,,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
8,2026-08-11T01:53:56.053182,shadow,analysis_full,silero,webrtc,False,0.002874996978789568,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.005282965139481179,0.7594899128740809,0.18355977379334673,0.05695031314328473,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00023844490771274078,0.07515657620041753,3.587877916931348,0.9196061305418601,73.9233614196338,1485.687567880675,0.004012358733501367,0.0009697398859613017,0.00030086651901851003,0.0,0.0,,,,,,,0.0046689009830491604,1.5107736905453037,-0.0009091785771520798,1233.3333333333335,0.011951731903211766,False,,,,,,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
9,2026-08-11T01:53:56.060347,shadow,analysis_full,silero,webrtc,False,0.003125231945887208,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.004837731881491477,0.7723789232820509,0.18371925229527328,0.043901824215967326,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0002181831640304868,0.081419624217119,3.6358100015853596,0.9247123141288237,73.16158865929582,1437.0015564233677,0.003736562141753637,0.0008887844840726197,0.00021238525466521968,0.0,0.0,0.16396401550785789,0.10750929426960565,0.07524801265968148,0.01936599983946858,0.3448090550002736,221.35644481638533,0.0027793875298018182,1.7245272620403314,-0.001045258279141478,1266.6666666666667,0.007121570605440525,True,0.0031343005830422044,0.16396401550785789,True,True,True,True,True,1,True,False,True,False,True,False,True,False,False,0,0,True,1,15,24,24,,,,False,False,False,
