frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech,webrtc_mode_3_evaluated,webrtc_mode_3_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
0,2026-08-11T01:54:25.296023,shadow,analysis_full,silero,webrtc,False,0.0,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,56.7672973246329,0.21442371007835803,0.40466030988384377,0.38091598003778043,,,,,,,,,,,,,,True,False,temporal_v1,False,0.02300004729670054,0.10855949895615867,4.536843452236001,0.5989666908219174,111.82856748335058,2367.0721448642807,12.172254503469034,22.971472126654245,21.62357069450861,0.0,0.0,,,,,,,,1.7243728733971537,-0.0010321165823160272,3433.3333333333335,0.010255787220052933,False,,,,,,False,False,0,True,True,True,True,True,True,True,True,False,1,0,False,0,15,24,24,,,,False,False,False,
1,2026-08-11T01:54:25.437032,shadow,analysis_full,silero,webrtc,False,0.00886925496160984,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.08298834909580576,0.7494548995053261,0.200455119259583,0.05008998122304097,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0008779050903338635,0.10438413361169102,3.846037919099391,0.9132793742080538,85.28672170599998,1488.8106852850476,0.062196024831710016,0.01663543941515565,0.00415688484794008,0.0,0.0,,,,,,,0.007731640060963564,1.715082606352763,-0.0010275889113671379,1366.6666666666667,0.008550452090797606,False,,,,,,False,False,0,True,True,True,True,True,True,True,True,False,2,0,False,0,15,24,24,,,,False,False,False,
2,2026-08-11T01:54:25.480729,shadow,analysis_full,silero,webrtc,False,0.010781800374388695,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.06916404206872538,0.7439558673934371,0.20626455397875523,0.04977957861334932,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0007996905495487409,0.08768267223382047,3.8217671905152373,0.9119151723710737,84.4685656415311,1493.9700532888817,0.05145499490967476,0.014266090288673504,0.0034429568693771146,0.0,0.0,,,,,,,0.00091525860329362,1.8630328637581146,-0.0011256462575419922,1366.6666666666667,0.00613863927898717,False,,,,,,False,False,0,True,True,True,True,True,True,True,True,False,3,0,False,0,15,24,24,,,,False,False,False,
3,2026-08-11T01:54:25.485249,shadow,analysis_full,silero,webrtc,False,0.0043931202962994576,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.057817420721094956,0.7568525836406423,0.19522969454260486,0.04791772179945706,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0007304257739458085,0.09603340292275574,3.768952327803431,0.912961178334207,83.68525755750983,1501.0347161325574,0.043759264252198726,0.011287677386620641,0.002770479081275592,0.0,0.0,,,,,,,0.0010836969202746253,1.6460275193589216,-0.0009866821581445923,1333.3333333333335,0.009677148161839604,False,,,,,,False,False,0,True,True,True,True,True,False,True,False,False,4,0,False,0,15,24,24,,,,False,False,False,
4,2026-08-11T01:54:25.490250,shadow,analysis_full,silero,webrtc,False,0.003705826587975025,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.04989839934016185,0.7009517375204208,0.2500307805255583,0.04901748193398007,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0006883888115033084,0.1022964509394572,3.9285156576483122,0.9109521807856037,83.15983089200486,1505.0172634754551,0.03497636971697427,0.012476135733996674,0.0024458938881909064,0.0,0.0,,,,,,,0.0013905003148401535,1.3247828157379606,-0.0007885875760398637,1400.0,0.021782498375118656,False,,,,,,False,False,0,True,True,True,True,True,False,True,False,False,5,0,False,0,15,24,24,,,,False,False,False,
5,2026-08-11T01:54:25.495281,shadow,analysis_full,silero,webrtc,False,0.0038343043997883797,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.05228435727337681,0.7832446523837308,0.16836768967725094,0.048387657919892024,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0006945851690245981,0.0918580375782881,3.702671826676742,0.9181666105881716,83.272029542735,1498.52523193604,0.04095144323769281,0.008802996440378425,0.0025299175943055757,0.0,0.0,,,,,,,0.0013230148634490169,1.4031361442876351,-0.000835926776262464,1300.0,0.015593170736776267,False,,,,,,False,False,0,True,True,True,True,True,False,True,False,False,6,0,False,0,15,24,24,,,,False,False,False,
6,2026-08-11T01:54:25.499789,shadow,analysis_full,silero,webrtc,False,0.0035217013210058212,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.038122424972847554,0.6855725446470082,0.26233833428995634,0.0520891210368042,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0005979307681219777,0.09394572025052192,3.8799265919252623,0.9053467341526684,81.90639998937388,1536.0154716487107,0.026135687896749752,0.010000973466470662,0.0019857636086271432,0.0,0.0,,,,,,,0.0019042133820685655,1.4076731579588222,-0.0008416996275325951,1500.0,0.018955702980835966,False,,,,,,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
7,2026-08-11T01:54:25.505332,shadow,analysis_full,silero,webrtc,False,0.0031449533998966217,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.033630215620471554,0.7205963943204081,0.23287483588086025,0.04652876976899652,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0005623627821915696,0.1022964509394572,3.838918394678125,0.9174486075524533,81.42973278432402,1489.8422048373977,0.02423381211632967,0.007831630943255256,0.0015647725598866313,0.0,0.0,,,,,,,0.001332193525927261,1.2704220842778908,-0.0007549728231583959,1333.3333333333335,0.022265899715809827,False,,,,,,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
8,2026-08-11T01:54:25.510355,shadow,analysis_full,silero,webrtc,False,0.0034113405272364616,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.024947990757296968,0.7526323098305991,0.2030316018580918,0.04433608827122571,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0004807880025287544,0.10020876826722339,3.7228414243676053,0.9193325989790201,80.07231084425472,1471.3870857619781,0.018776663909296856,0.005065230526594872,0.0011060963204052416,0.0,0.0,,,,,,,0.0009781378165632305,1.7161110114063205,-0.0010266678593829498,1300.0,0.007510214260197594,False,,,,,,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
9,2026-08-11T01:54:25.516888,shadow,analysis_full,silero,webrtc,False,0.0030361274257302284,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.02430588886991717,0.7423577897548197,0.2144347154324842,0.043207494771553785,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0004754930130538032,0.09603340292275574,3.792502934040496,0.9183502506919323,79.97103100432896,1452.5064118569903,0.018043665939497983,0.005212026363154274,0.0010501965662649134,0.0,0.0,0.15914553488193203,0.06263610185238741,0.09992833821316369,0.00601093112688433,0.22715826448745058,263.02242629730557,0.000901046850626203,1.9178082018325127,-0.001160442401233507,1266.6666666666667,0.005140431852074187,True,0.003613763954490423,0.15914553488193203,True,True,True,True,True,1,True,False,True,False,True,False,True,False,False,0,0,True,1,15,24,24,,,,False,False,False,
