frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech,webrtc_mode_3_evaluated,webrtc_mode_3_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
0,2026-08-11T01:00:44.306321,shadow,analysis_full,silero,webrtc,False,0.0,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,88.69523592862123,0.20582604122409293,0.4282658685123568,0.36590809026353904,,,,,,,,,,,,,,True,False,temporal_v1,False,0.028429089691789946,0.12734864300626306,4.722840786967838,0.6263131881252881,113.86281375926431,2278.7181762308055,18.255789286625042,37.98514224787937,32.45430439411583,0.0,0.0,,,,,,,,1.8229015170818437,-0.0010881246560994068,3400.0000000000005,0.012724681986568044,False,,,,,,False,False,0,True,True,True,True,True,True,True,True,False,1,0,False,0,15,24,24,,,,False,False,False,
1,2026-08-11T01:00:44.513735,shadow,analysis_full,silero,webrtc,False,0.008260281756520271,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.01273237727214272,0.6815117505467045,0.27067435194302447,0.04781389743173115,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00034280967596063254,0.1336116910229645,3.8227822191968026,0.9096467155047985,77.07002078929085,1474.0672367893983,0.008677264723359059,0.003446327966831324,0.0006087845809523368,0.0,0.0,,,,,,,0.006579555267022424,1.612225246377617,-0.0009663148625409006,1333.3333333333335,0.009234425375479334,False,,,,,,False,False,0,True,True,True,True,True,True,True,True,False,2,0,False,0,15,24,24,,,,False,False,False,
2,2026-08-11T01:00:44.555474,shadow,analysis_full,silero,webrtc,False,0.008689090609550476,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.010438580512147404,0.7027978029857344,0.2469944686074333,0.050207728311033865,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0003136558752922315,0.12943632567849686,3.798132005201885,0.9081719334597743,76.28377192395129,1518.6642157849778,0.007336211450226897,0.002578271646613757,0.0005240974143067496,0.0,0.0,,,,,,,0.0022333930253925676,1.396643007358137,-0.000829982921613514,1433.3333333333335,0.015770275422155623,False,,,,,,False,False,0,True,True,True,True,True,True,True,True,False,3,0,False,0,15,24,24,,,,False,False,False,
3,2026-08-11T01:00:44.559556,shadow,analysis_full,silero,webrtc,False,0.0041338857263326645,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.007284089610026984,0.7186078900842849,0.229652043013179,0.051740066765250406,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0002626351670904349,0.1524008350730689,3.8130354342614248,0.9121888884919165,74.74184466174783,1482.072071451559,0.005234404265846353,0.0016728060604337674,0.00037687928274686297,0.0,0.0,,,,,,,0.002117676740507402,1.7812779340949338,-0.0010797474508652263,1400.0,0.007112892661272647,False,,,,,,False,False,0,True,True,True,True,True,False,True,False,False,4,0,False,0,15,24,24,,,,False,False,False,
4,2026-08-11T01:00:44.565389,shadow,analysis_full,silero,webrtc,False,0.002803230658173561,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.006442774952601166,0.7280873954938769,0.22027087012374577,0.05164173422716471,,,,,,,,,,,,,,False,False,temporal_v1,False,0.000245771918514706,0.10855949895615867,3.724708410529722,0.9111271707269492,74.15125512584329,1496.8940255743091,0.004690903234992569,0.001419155644820934,0.00033271607178766315,0.0,0.0,,,,,,,0.001235270167896565,1.6566710768724762,-0.0009952911955535314,1466.6666666666667,0.009160901013578263,False,,,,,,False,False,0,True,True,True,True,True,False,True,False,False,5,0,False,0,15,24,24,,,,False,False,False,
5,2026-08-11T01:00:44.570477,shadow,analysis_full,silero,webrtc,False,0.002885214053094387,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.008303962831566194,0.7528266927979493,0.2030664309957963,0.04410687608582988,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00027749960098042776,0.11482254697286012,3.7039641477433545,0.9190284760848764,75.25910957575461,1484.627831608171,0.006251444875605073,0.001686256095327894,0.0003662618596332272,0.0,0.0,,,,,,,0.0008045678018977569,1.257603302569199,-0.0007452835356732689,1400.0,0.020685909949991067,False,,,,,,False,False,0,True,True,True,True,True,False,True,False,False,6,0,False,0,15,24,24,,,,False,False,False,
6,2026-08-11T01:00:44.574505,shadow,analysis_full,silero,webrtc,False,0.0032716712448745966,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.005610385283668079,0.6902883958138916,0.23633447232771937,0.07337713168014816,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0002296389400978385,0.13569937369519833,3.8711843205424987,0.8975434072725564,73.48554209117464,1550.751458028756,0.0038727838573611034,0.0013259274455708976,0.00041167397973607806,0.0,0.0,,,,,,,0.0025243764976265017,1.2848847927212212,-0.0007681854013008133,1700.0000000000002,0.02397977195831653,False,,,,,,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
7,2026-08-11T01:00:44.580386,shadow,analysis_full,silero,webrtc,False,0.003344031749293208,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.007320741482905535,0.7009496474565107,0.23249946076609357,0.06655089164079749,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00026410250937688334,0.1440501043841336,3.7786081971534,0.9046054679838738,74.75470076935164,1521.5908249292868,0.005131471161562888,0.0017020684471835091,0.00048720187315913743,0.0,0.0,,,,,,,0.0026559106476366926,1.3753237122880235,-0.000824797625728936,1533.3333333333335,0.018407899561183553,False,,,,,,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
8,2026-08-11T01:00:44.584425,shadow,analysis_full,silero,webrtc,False,0.003088549477979541,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.005335948041846444,0.7500836280660441,0.17007446033068288,0.07984191141586469,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00022466842909938712,0.1336116910229645,3.6972797305269354,0.9053851150947053,73.32968109782152,1512.0538995473134,0.004002407266400085,0.000907508483569598,0.00042603229087676047,0.0,0.0,,,,,,,0.0025627613659716863,1.4169317927837277,-0.0008419457311714589,1600.0,0.014261800063166132,False,,,,,,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
9,2026-08-11T01:00:44.593117,shadow,analysis_full,silero,webrtc,False,0.003033106215298176,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.006459022919528133,0.7425348939052284,0.1848806310616747,0.0725844748782746,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0002448957427596797,0.1336116910229645,3.748021039367137,0.9033504527624193,74.08255435255955,1530.2532087522447,0.004796049898283261,0.001194148233404182,0.00046882478684068967,0.0,0.0,0.1556396034865269,0.0680000844242088,0.0926072181769428,0.012045404373070275,0.2897726115694752,232.35637220697012,0.0012493202994900252,1.6074099009943712,-0.0009604608600561321,1600.0,0.010201112459173932,True,0.0031801103614270687,0.1556396034865269,True,True,True,True,True,1,True,False,True,False,True,False,True,False,False,0,0,True,1,15,24,24,,,,False,False,False,
