frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_low_proportion_max,temporal_v1_low_proportion_max_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech,webrtc_mode_3_evaluated,webrtc_mode_3_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
0,2026-08-18T21:56:38.008311,shadow,analysis_full,silero,webrtc,False,0.0,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,83.49897814183052,0.1973922737814716,0.4703363173088945,0.33227140890962187,,,,,,,,,,,,,,True,False,temporal_v1,False,0.027549605699099745,0.1315240083507307,4.785510519384338,0.638618641450275,113.674223193986,2252.2040857527745,16.48205315384532,39.27260187828445,27.74432310969975,0.0,0.0,,,,,,,,2.0854536291631307,-0.0012717505709845319,3300.0000000000005,0.008195374018806283,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,1,0,False,0,15,24,24,,,,False,False,False,
1,2026-08-18T21:56:38.200572,shadow,analysis_full,silero,webrtc,False,0.0114354956895113,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0009660503440702037,0.388867915759479,0.4619524752906203,0.1491796079147579,,,,,,,,,,,,,,False,False,temporal_v1,False,9.876312408193918e-05,0.24008350730688935,4.168402862836035,0.8023435763753548,65.28337165640214,1881.4544771299365,0.0003756659838173077,0.000446269347698586,0.00014411501155430997,0.0,0.0,,,,,,,0.0033833623169817932,1.0595507241940538,-0.0006322934245271059,2566.666666666667,0.04371645327193343,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,2,0,False,0,15,24,24,,,,False,False,False,
2,2026-08-18T21:56:38.272973,shadow,analysis_full,silero,webrtc,False,0.006077124737203121,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0005604518400810466,0.33782341945765004,0.5687386172168882,0.09343796154118703,,,,,,,,,,,,,,False,False,temporal_v1,False,7.792278613823027e-05,0.1732776617954071,3.906382259637121,0.8339836590313677,63.08115450537096,1834.9121039825116,0.00018933375705751122,0.00031875060454435503,5.2367477479180335e-05,0.0,0.0,,,,,,,0.004961446740646572,1.0998050206077243,-0.0006521832384728691,2100.0,0.0360498884499334,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,3,0,False,0,15,24,24,,,,False,False,False,
3,2026-08-18T21:56:38.281097,shadow,analysis_full,silero,webrtc,False,0.0029902218375355005,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0006662402647024565,0.517100449138811,0.4062871068341774,0.07661244252605139,,,,,,,,,,,,,,False,False,temporal_v1,False,8.393955757471881e-05,0.20668058455114824,3.997374777054532,0.8529183168077882,63.94135852539187,1706.4732174623095,0.00034451314011200063,0.00027068482960239756,5.104229398805821e-05,0.0,0.0,,,,,,,0.004668245410370104,1.4332638057218376,-0.0008585588901157392,2133.3333333333335,0.016596814555665317,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,4,0,False,0,15,24,24,,,,False,False,False,
4,2026-08-18T21:56:38.288803,shadow,analysis_full,silero,webrtc,False,0.0019695500377565622,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0004257292819054712,0.5458038257569339,0.3570664990157404,0.09712967287841519,,,,,,,,,,,,,,False,False,temporal_v1,False,7.058484326238651e-05,0.18997912317327767,3.7880822899633486,0.858984904276598,62.1585096694603,1730.0352595425238,0.00023236467080075838,0.0001520136642184718,4.135094588624102e-05,0.0,0.0,,,,,,,0.00628298445259806,1.2250059410474032,-0.0007324403199926713,1900.0000000000002,0.02310160618448594,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,5,0,False,0,15,24,24,,,,False,False,False,
5,2026-08-18T21:56:38.297144,shadow,analysis_full,silero,webrtc,False,0.0022068279795348644,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0016356928286794222,0.7090640947631326,0.2233132132672892,0.0676226913582165,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00012735421751075579,0.17118997912317327,3.828684114785208,0.8947669025345517,68.15845935235411,1585.9346086442383,0.0011598110548781222,0.00036527182149066333,0.00011060995131063667,0.0,0.0,,,,,,,0.0047567708995553916,1.4335198425327071,-0.0008500286581863838,1600.0,0.015537350886226752,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,6,0,False,0,15,24,24,,,,False,False,False,
6,2026-08-18T21:56:38.304533,shadow,analysis_full,silero,webrtc,False,0.002568015828728676,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0017663056256431795,0.7279438657355354,0.21887017469083345,0.05318595900747781,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0001312924762117062,0.14822546972860126,3.796913022597219,0.9082603840502373,68.50472388539708,1506.5252802971795,0.0012857713452011194,0.00038659162084192457,9.394265860013559e-05,0.0,0.0,,,,,,,0.0017382893582797757,1.6943878824070648,-0.0010262627206626398,1533.3333333333335,0.008490593702026815,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
7,2026-08-18T21:56:38.312242,shadow,analysis_full,silero,webrtc,False,0.004037682432681322,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0027495660844700904,0.6431637075704743,0.23297319273897435,0.12386309932685764,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00016102042999844736,0.1837160751565762,4.013056359068737,0.8605481710891051,70.1322164395721,1652.907313618413,0.0017684211170978152,0.0006405751893457974,0.00034056977702647787,0.0,0.0,,,,,,,0.0018527758322368242,1.5761165315668522,-0.000949897654399511,2200.0,0.012993508294239554,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
8,2026-08-18T21:56:38.320666,shadow,analysis_full,silero,webrtc,False,0.0030162641778588295,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.002591246617199815,0.72312088054876,0.2160292486395631,0.06084987042576231,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00015877931755992582,0.13987473903966596,3.737021951891394,0.9100392847582237,70.24794116949784,1531.726104433522,0.0018737845355485257,0.0005597850597534856,0.00015767702089780364,0.0,0.0,,,,,,,0.0020602824200351825,1.2168231278387662,-0.0007288043527963308,1566.6666666666667,0.025045475734717486,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
9,2026-08-18T21:56:38.329705,shadow,analysis_full,silero,webrtc,False,0.0031647724099457264,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.0034633819738952667,0.7514235184612535,0.2003342003478077,0.04824228090220372,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00018336956344268692,0.1315240083507307,3.717003020408067,0.9174504770267207,71.5786009350868,1482.358094251069,0.0026024666685996625,0.00069383385823932,0.00016708144605628424,0.0,0.0,0.18232604858853613,0.1277851133824725,0.07996207282025386,0.03342640093465626,0.3020320231364849,219.69036154849528,0.0014119940570336206,1.412230348424162,-0.0008409623639407274,1333.3333333333335,0.014530202915875583,True,0.003003243007697165,0.18232604858853613,True,True,True,0.85,True,True,True,1,True,False,True,False,True,False,True,False,False,0,0,True,1,15,24,24,,,,False,False,False,
