frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_low_proportion_max,temporal_v1_low_proportion_max_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech,webrtc_mode_3_evaluated,webrtc_mode_3_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
0,2026-08-18T21:57:22.257529,shadow,analysis_full,silero,webrtc,False,0.0,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,32.84359320441111,0.1767893666084289,0.47516541377238647,0.3480452196191542,,,,,,,,,,,,,,True,False,temporal_v1,False,0.017497486276590882,0.10855949895615867,4.648453559262249,0.5876834014384495,109.37105274651388,2397.6061447564007,5.8063980397527395,15.606139554745944,11.431055609911423,0.0,0.0,,,,,,,,1.7662546780008148,-0.0010851272306727803,3433.3333333333335,0.012813219059477635,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,1,0,False,0,15,24,24,,,,False,False,False,
1,2026-08-18T21:57:22.576418,shadow,analysis_full,silero,webrtc,False,0.008798583410680294,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.012592962257373318,0.7124300403877101,0.23720459789546328,0.05036536163741709,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0003459599983269299,0.13987473903966596,3.904090932153436,0.9115092615166724,77.1590465411662,1482.9011514982537,0.008971604609621382,0.0029871085485729835,0.0006342490981789514,0.0,0.0,,,,,,,0.005847835576061834,1.6225485922314604,-0.00097942422638722,1433.3333333333335,0.01147389371027048,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,2,0,False,0,15,24,24,,,,False,False,False,
2,2026-08-18T21:57:22.680402,shadow,analysis_full,silero,webrtc,False,0.012075684033334255,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.011303440902558144,0.7284050891558516,0.22210292465896714,0.049491986096712716,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00032755520392405515,0.13569937369519833,3.8459736069460746,0.9147016318583245,76.69518108021205,1482.1921246164836,0.008233483878395764,0.002510527283167959,0.0005594297399944215,0.0,0.0,,,,,,,0.0003198175654032471,1.5399860047273588,-0.0009214117668208052,1366.6666666666667,0.01257784382842321,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,3,0,False,0,15,24,24,,,,False,False,False,
3,2026-08-18T21:57:22.691506,shadow,analysis_full,silero,webrtc,False,0.0052733938209712505,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.006924131332808005,0.7041445852799988,0.2406139453903034,0.05524146918527535,,,,,,,,,,,,,,False,True,temporal_v1,False,0.00025745926628986833,0.1649269311064718,3.9292252715882747,0.906665651868552,74.54002744861752,1510.686519542901,0.004875589585764338,0.001666042558387554,0.000382499187656113,0.0,0.0,,,,,,,0.00040450095997697093,1.5570694653335762,-0.0009333452684595468,1466.6666666666667,0.013081564744124878,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,4,0,False,0,15,24,24,,,,False,False,False,
4,2026-08-18T21:57:22.702069,shadow,analysis_full,silero,webrtc,False,0.003502371720969677,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.006059662116418469,0.7039824513036058,0.23522792776339807,0.060789620767970266,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0002414123046554201,0.1732776617954071,3.9144688398629466,0.9049663008073678,73.9637647052328,1518.6434816707042,0.00426589579078787,0.0014254017625914834,0.00036836456203911483,0.0,0.0,,,,,,,0.00038874516451413297,1.4831237140825384,-0.0008836446416297564,1533.3333333333335,0.014528594322269446,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,5,0,False,0,15,24,24,,,,False,False,False,
5,2026-08-18T21:57:22.710479,shadow,analysis_full,silero,webrtc,False,0.0029194357339292765,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0037373503017077963,0.7295838051636269,0.2131126595208438,0.05730353504796002,,,,,,,,,,,,,,False,True,temporal_v1,False,0.00019069718010977058,0.12943632567849686,3.882128070803885,0.9057440154464563,71.87325436974733,1528.996619848469,0.002726710254349403,0.0007964766623579765,0.00021416338400041666,0.0,0.0,,,,,,,0.0004563026372901765,1.4621286386301837,-0.0008658754889911683,1466.6666666666667,0.015445215851603097,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,6,0,False,0,15,24,24,,,,False,False,False,
6,2026-08-18T21:57:22.721412,shadow,analysis_full,silero,webrtc,False,0.0031078115571290255,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.003065987752527696,0.7257548946558828,0.21352894435589173,0.06071616066206625,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0001723288515402166,0.1440501043841336,3.9162070033802463,0.9042053225412755,70.95848581153822,1526.0204159915786,0.002225155618351965,0.000654677128205332,0.000186155004970399,0.0,0.0,,,,,,,0.0008377488332551792,1.4948253573244112,-0.000895190569057509,1500.0,0.015166899676260765,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
7,2026-08-18T21:57:22.732325,shadow,analysis_full,silero,webrtc,False,0.002839747117832303,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0014640350646529376,0.7259153765400974,0.20861385963153942,0.06547076314531934,,,,,,,,,,,,,,False,True,temporal_v1,False,0.00012350942754795713,0.1315240083507307,3.8400851962095386,0.9059774234644641,67.92812236053378,1515.7051139002228,0.001062765565225443,0.00030541800547315964,9.585149295433476e-05,0.0,0.0,,,,,,,0.001322942207621813,1.490347955593814,-0.0008938454611667261,1466.6666666666667,0.013815865768043882,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
8,2026-08-18T21:57:22.739521,shadow,analysis_full,silero,webrtc,False,0.0026482893154025078,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0008061298040016865,0.6834458976389359,0.24972227528227417,0.06683182583829476,,,,,,,,,,,,,,False,True,temporal_v1,False,9.238188060312554e-05,0.15031315240083507,3.8693200587159833,0.8969103236518523,65.11544624460007,1537.107864767927,0.0005509461075094321,0.00020130856882815486,5.3875126664099404e-05,0.0,0.0,,,,,,,0.0019986289405872016,1.6154117417857319,-0.0009676878840748824,1566.6666666666667,0.010088576381444562,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
9,2026-08-18T21:57:22.750144,shadow,analysis_full,silero,webrtc,False,0.0031008480582386255,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.00043548286537237977,0.7253064495081325,0.2138163840472636,0.06087716414830238,,,,,,,,,,,,,,False,True,temporal_v1,False,7.058093430038664e-05,0.15866388308977036,3.6743740663707056,0.8868264204607491,62.29655451654053,1708.4248433514806,0.0003158585309048688,9.311337158846355e-05,2.651096187904743e-05,0.0,0.0,0.16220485261977105,0.07592918092396649,0.08701258183995517,0.018050911332958067,0.24539695424420618,265.9615383303062,0.003645433832684358,1.0372599338342516,-0.0006144329757390867,1800.0000000000002,0.03558805984838573,True,0.0031043298076838255,0.16220485261977105,True,True,True,0.85,True,True,True,1,True,False,True,False,True,False,True,False,False,0,0,True,1,15,24,24,,,,False,False,False,
