frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_low_proportion_max,temporal_v1_low_proportion_max_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech,webrtc_mode_3_evaluated,webrtc_mode_3_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
0,2026-08-18T21:57:41.023231,shadow,analysis_full,silero,webrtc,False,0.0,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,56.21459402675143,0.23785622217963995,0.44767525405210834,0.3144685237682339,,,,,,,,,,,,,,True,False,temporal_v1,False,0.022664480342226314,0.15657620041753653,4.687275272062791,0.6503029782718327,112.05744220519593,2230.3331577030995,13.370990966565248,25.165882662362076,17.6777203978231,0.0,0.0,,,,,,,,2.0691896727251375,-0.0012717825085833013,3300.0000000000005,0.007423361001573687,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,1,0,False,0,15,24,24,,,,False,False,False,
1,2026-08-18T21:57:41.334047,shadow,analysis_full,silero,webrtc,False,0.008303887210786343,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0007878632103172565,0.6604992489433253,0.20879107346810055,0.13070967631931824,,,,,,,,,,,,,,False,False,temporal_v1,False,9.145113803156731e-05,0.1649269311064718,3.961056491755221,0.858084409568404,64.8235207374739,1716.6398466343758,0.0005203830586846251,0.00016449880542816387,0.00010298134520446755,0.0,0.0,,,,,,,0.005185271012354438,1.2032342306586339,-0.0007241816613251523,2166.666666666667,0.030603097272864442,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,2,0,False,0,15,24,24,,,,False,False,False,
2,2026-08-18T21:57:41.487791,shadow,analysis_full,silero,webrtc,False,0.010324336588382721,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.00019382390705107588,0.5610062649845226,0.3318207187056248,0.1071730111505305,,,,,,,,,,,,,,False,False,temporal_v1,False,5.3520750879532396e-05,0.19206680584551147,4.0051932850228855,0.8424852899478548,58.778473558073415,1771.7419835846986,0.00010873642615943134,6.431478814002021e-05,2.0772691751624342e-05,0.0,0.0,,,,,,,0.0030772657290033586,1.2276408560649854,-0.0007401795525660395,2166.666666666667,0.03203920137801006,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,3,0,False,0,15,24,24,,,,False,False,False,
3,2026-08-18T21:57:41.509083,shadow,analysis_full,silero,webrtc,False,0.005131812300533056,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.00046530826256681106,0.7062324846632061,0.2092012045176721,0.08456630867000893,,,,,,,,,,,,,,False,True,temporal_v1,False,7.317679552281709e-05,0.1837160751565762,3.743012791257429,0.882997846638718,62.66685544549969,1645.1001449210678,0.00032861581040687847,9.734304900100211e-05,3.9349402158930505e-05,0.0,0.0,,,,,,,0.00292283467768863,1.2911529463584464,-0.0007684186577984984,1766.6666666666667,0.019345421745020755,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,4,0,False,0,15,24,24,,,,False,False,False,
4,2026-08-18T21:57:41.525980,shadow,analysis_full,silero,webrtc,False,0.0035990499891340733,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0004678794557475286,0.7174472469120049,0.21600095279166992,0.06655179815902244,,,,,,,,,,,,,,False,True,temporal_v1,False,7.356616415477868e-05,0.18580375782881003,3.6908349290612934,0.9019775564128537,62.81544219139742,1538.3392006467943,0.00033567882741275166,0.00010106240823311414,3.1138219101662797e-05,0.0,0.0,,,,,,,0.003593404205918203,1.5407156860265818,-0.0009357717658436284,1566.6666666666667,0.011829199921327882,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,5,0,False,0,15,24,24,,,,False,False,False,
5,2026-08-18T21:57:41.538162,shadow,analysis_full,silero,webrtc,False,0.0041662720032036304,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.00022899175122602177,0.6273300677412366,0.27432237188018144,0.09834755601161246,,,,,,,,,,,,,,False,True,temporal_v1,False,5.6200377225743424e-05,0.18580375782881003,3.9246743395790595,0.8614581866941378,59.511389371994724,1686.405409966561,0.00014365341080880463,6.281756033731873e-05,2.2520779079898404e-05,0.0,0.0,,,,,,,0.004160898107754421,1.460060074720863,-0.0008863746665163599,2133.3333333333335,0.01779546191327807,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,6,0,False,0,15,24,24,,,,False,False,False,
6,2026-08-18T21:57:41.548269,shadow,analysis_full,silero,webrtc,False,0.003999326378107071,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0010180511053314695,0.7421263598597039,0.1974260799099699,0.06044755924805731,,,,,,,,,,,,,,False,True,temporal_v1,False,0.00010227466923205823,0.162839248434238,3.774682812455687,0.9020597040170449,66.128723182351,1573.5319424270099,0.0007555225609507915,0.0002009898388736039,6.153870450707424e-05,0.0,0.0,,,,,,,0.0031058177816886195,1.1912781127001355,-0.0007094231135707734,1500.0,0.024693558665383274,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
7,2026-08-18T21:57:41.556875,shadow,analysis_full,silero,webrtc,False,0.0051217651925981045,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.000135919550856521,0.49495549138365147,0.3200807313038087,0.18496376995524658,,,,,,,,,,,,,,False,True,temporal_v1,False,4.86239735401263e-05,0.18997912317327767,4.142253745117062,0.7965948410417919,57.17936841283942,2048.5578963383678,6.727412808283456e-05,4.3505229236640464e-05,2.5140192537045992e-05,0.0,0.0,,,,,,,0.0045943294931952055,0.8177795675464634,-0.00048619980711161993,2766.666666666667,0.09442159183473955,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
8,2026-08-18T21:57:41.567133,shadow,analysis_full,silero,webrtc,False,0.004616841673851013,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0009650974556203901,0.7386331793414984,0.20420560284200417,0.05716121678033259,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0001019701946553156,0.13987473903966596,3.722063931604595,0.911212181954748,66.14388007555172,1541.142523628637,0.0007128530020192794,0.00019707830772624612,5.516614487486453e-05,0.0,0.0,,,,,,,0.004764163479937825,1.1869277540821652,-0.0007083071093048593,1500.0,0.023371539715664937,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
9,2026-08-18T21:57:41.580965,shadow,analysis_full,silero,webrtc,False,0.00405131233856082,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.0003926600287821525,0.6264085756891213,0.26045048024951306,0.1131409415146333,,,,,,,,,,,,,,False,True,temporal_v1,False,6.861028420323405e-05,0.17118997912317327,3.8165439103198397,0.863763861587401,61.87216547446211,1718.9237343410725,0.00024596560935947754,0.00010226849307109924,4.442592535157575e-05,0.0,0.0,0.14561600944468686,0.07607423984784893,0.07376322474432787,0.016224934636931487,0.2819136332362608,213.75998640140125,0.003320839217335022,1.1719967925013366,-0.0006992988442579196,2166.666666666667,0.030953645004591187,True,0.004391556838527322,0.14561600944468686,True,True,True,0.85,True,True,True,1,True,False,True,False,True,False,True,False,False,0,0,True,1,15,24,24,,,,False,False,False,
