frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_low_proportion_max,temporal_v1_low_proportion_max_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech,webrtc_mode_3_evaluated,webrtc_mode_3_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
0,2026-08-18T21:58:25.511379,shadow,analysis_full,silero,webrtc,False,0.0,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,14.576106733753248,0.20610276114635015,0.4192097896417558,0.37468744921182534,,,,,,,,,,,,,,True,False,temporal_v1,False,0.011545478186360978,0.12108559498956159,4.76896391219007,0.6109653264858288,105.92819755444009,2337.957715957857,3.004175844590452,6.11044663765248,5.461484251509315,0.0,0.0,,,,,,,,1.7620580881096783,-0.001077183034746103,3500.0000000000005,0.016640009751868377,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,1,0,False,0,15,24,24,,,,False,False,False,
1,2026-08-18T21:58:25.770449,shadow,analysis_full,silero,webrtc,False,0.007948522455990314,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.00028413582684097105,0.6877732769187864,0.23171113841514426,0.08051558114662576,,,,,,,,,,,,,,False,False,temporal_v1,False,6.210959067139757e-05,0.15866388308977036,3.7521755444077067,0.8869925563882335,60.856717743981136,1614.841685638378,0.00019542102871644351,6.58374359018497e-05,2.287736122267781e-05,0.0,0.0,,,,,,,0.006227060205060908,1.7507027446955783,-0.0010683897622594635,1633.3333333333335,0.007630136574883138,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,2,0,False,0,15,24,24,,,,False,False,False,
2,2026-08-18T21:58:25.854083,shadow,analysis_full,silero,webrtc,False,0.01244452502578497,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.00048591162706784253,0.6971958282456555,0.22261745313994508,0.08018671655641209,,,,,,,,,,,,,,False,False,temporal_v1,False,7.445700294498355e-05,0.19624217118997914,3.824254185796181,0.8808225265832273,62.84065371854012,1686.596226726512,0.00033877555928775856,0.0001081724088689299,3.8963657911154104e-05,0.0,0.0,,,,,,,0.0029068220529081265,1.015440579459888,-0.0006051002809801448,1866.6666666666667,0.039289980979763814,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,3,0,False,0,15,24,24,,,,False,False,False,
3,2026-08-18T21:58:25.862448,shadow,analysis_full,silero,webrtc,False,0.007940029725432396,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0003988679899770835,0.6356837592443435,0.2520182787734735,0.11229795947508785,,,,,,,,,,,,,,False,True,temporal_v1,False,6.774376904195779e-05,0.18789144050104384,3.8335941122017902,0.8453520029461953,61.63811518303519,1743.282406117372,0.00025355390331086757,0.00010052202429185967,4.479206137435627e-05,0.0,0.0,,,,,,,0.002923511670906969,1.534247076688756,-0.0009241886972725953,2233.3333333333335,0.013516526480507926,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,4,0,False,0,15,24,24,,,,False,False,False,
4,2026-08-18T21:58:25.873187,shadow,analysis_full,silero,webrtc,False,0.005196625366806984,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.00014035043554647787,0.6053017174812507,0.2198239691372388,0.17487430625648806,,,,,,,,,,,,,,False,True,temporal_v1,False,4.8360371808550735e-05,0.18580375782881003,4.028843096676591,0.8051773220754722,57.14349061408285,1961.8865760815845,8.495435968552464e-05,3.0852389811966975e-05,2.454368504898626e-05,0.0,0.0,,,,,,,0.003761206252395154,0.9820486059583535,-0.000588899541403701,2833.3333333333335,0.06163189663436409,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,5,0,False,0,15,24,24,,,,False,False,False,
5,2026-08-18T21:58:25.894405,shadow,analysis_full,silero,webrtc,False,0.005915477871894836,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.00018767755983177916,0.6688519974614282,0.2305461733734112,0.10060182383687306,,,,,,,,,,,,,,False,True,temporal_v1,False,5.414336067943444e-05,0.15866388308977036,3.7302314784027986,0.8678250491577315,59.06052839594072,1737.0568755776665,0.0001255285107721722,4.3268343247276115e-05,1.8880704812330852e-05,0.0,0.0,,,,,,,0.004427282791766158,1.188636782964602,-0.0007146801456665081,1966.6666666666667,0.027707272967749205,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,6,0,False,0,15,24,24,,,,False,False,False,
6,2026-08-18T21:58:25.908875,shadow,analysis_full,silero,webrtc,False,0.006762364413589239,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.000139367889324388,0.6107231764184133,0.23551271985843233,0.15376409654790046,,,,,,,,,,,,,,False,True,temporal_v1,False,4.976891309316922e-05,0.1544885177453027,3.6881828319659515,0.847087537519912,57.79037422910445,1789.0730535375399,8.511520005892011e-05,3.2822910675715595e-05,2.1429777589752303e-05,0.0,0.0,,,,,,,0.004768806080602534,1.3061852903683286,-0.0007857755758214508,2333.3333333333335,0.02149879092547169,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
7,2026-08-18T21:58:25.920725,shadow,analysis_full,silero,webrtc,False,0.007259550038725138,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0002052015058868911,0.6410625460894364,0.2680117247936031,0.09092572424370204,,,,,,,,,,,,,,False,True,temporal_v1,False,5.304743609219956e-05,0.1941544885177453,3.6153327642572,0.8690887309363812,58.79433455354388,1838.5913914540897,0.00013154699982523686,5.499640952299038e-05,1.865809553866386e-05,0.0,0.0,,,,,,,0.006812302085474983,0.8856704040684104,-0.0005268859800299822,2000.0000000000002,0.05038802163847909,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
8,2026-08-18T21:58:25.941324,shadow,analysis_full,silero,webrtc,False,0.007591899484395981,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.000307573447190724,0.5097401562889253,0.37059510956266256,0.11966473089715618,,,,,,,,,,,,,,False,True,temporal_v1,False,6.214370198608789e-05,0.22755741127348644,4.05960201832305,0.8220823402212121,60.53346015465473,1830.1391364224144,0.00015678253704132317,0.00011398521536021218,3.680569378918867e-05,0.0,0.0,,,,,,,0.0059847933947363334,1.1562081915358016,-0.0006896516346312897,2333.3333333333335,0.034485556992305474,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
9,2026-08-18T21:58:25.964466,shadow,analysis_full,silero,webrtc,False,0.007149640470743179,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.00020520914461230562,0.506462369639919,0.3433442996372265,0.1501933258497772,,,,,,,,,,,,,,False,True,temporal_v1,False,5.416671467211865e-05,0.22338204592901878,4.059208637925263,0.8115851294512507,58.7759721872515,1887.39279710431,0.00010393070965212912,7.045739003606641e-05,3.082104392411007e-05,0.0,0.0,0.13845745296891168,0.06796483753991221,0.08288727584495649,0.031192522247381647,0.3156348467070876,190.22768474632497,0.003289955668066964,1.2153443920425497,-0.0007211142923120946,2566.666666666667,0.030493481163804122,True,0.0072045952547341585,0.13845745296891168,True,True,True,0.85,True,True,True,1,True,False,True,False,True,False,True,False,False,0,0,True,1,15,24,24,,,,False,False,False,
