frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_low_proportion_max,temporal_v1_low_proportion_max_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech,webrtc_mode_3_evaluated,webrtc_mode_3_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
0,2026-08-18T21:59:19.788140,shadow,analysis_full,silero,webrtc,False,0.0,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,24.094928497989375,0.16423202868571518,0.4352545999786455,0.4005133713355979,,,,,,,,,,,,,,True,False,temporal_v1,False,0.014992644650540985,0.18162839248434237,4.839177352644336,0.5681767694579222,107.88276279654005,2440.485918523619,3.9571589882620475,10.487428464906431,9.650341044819898,0.0,0.0,,,,,,,,1.548403875769755,-0.0009369779782113385,3566.666666666667,0.029339952572841065,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,1,0,False,0,15,24,24,,,,False,False,False,
1,2026-08-18T21:59:20.274142,shadow,analysis_full,silero,webrtc,False,0.008342817425727844,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.3920889984054019,0.13234044421872598,0.844114711079992,0.02354484469873163,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0018474483995606773,0.1837160751565762,2.606570917488841,0.8369293782364144,91.37488470849974,1641.5010430152804,0.05188923222224623,0.3309680916066193,0.009231674575536421,0.0,0.0,,,,,,,0.020000844154653037,1.0396853379371023,-0.0005992624115252232,1700.0000000000002,0.005707408365652717,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,2,0,False,0,15,24,24,,,,False,False,False,
2,2026-08-18T21:59:20.417539,shadow,analysis_full,silero,webrtc,False,0.01597394049167633,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.20410170020956905,0.1385350237224208,0.7969626562004393,0.06450232007224041,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0013342297833636723,0.1941544885177453,2.9464248774949504,0.8243549226521931,88.48120296440575,1725.4435430279548,0.028275233880319064,0.1626614331340439,0.013165033194206081,0.0,0.0,,,,,,,0.010656520503878168,0.9783010536163534,-0.0005667984957794017,1733.3333333333335,0.011431675291847123,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,3,0,False,0,15,24,24,,,,False,False,False,
3,2026-08-18T21:59:20.439213,shadow,analysis_full,silero,webrtc,False,0.014144545421004295,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.28267409291424506,0.09799726029247804,0.8831886632070243,0.018814076496960222,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0015687424848201432,0.17954070981210857,2.841466182888494,0.83879839671249,89.96360052999883,1656.1791785808032,0.027701286661257395,0.24965455424419025,0.0053182520077974475,0.0,0.0,,,,,,,0.008394413216341627,0.9203235796181881,-0.0005391890803129576,1533.3333333333335,0.010427832540868145,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,4,0,False,0,15,24,24,,,,False,False,False,
4,2026-08-18T21:59:20.448322,shadow,analysis_full,silero,webrtc,False,0.014485597610473633,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.31158255035255444,0.07690582516128597,0.8998885758633298,0.023205598972174862,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0016462708416568564,0.18162839248434237,2.6519006018939866,0.8343503119171877,90.35973787867383,1620.8085677343604,0.023962513140721134,0.2803895775006245,0.0072304597102088594,0.0,0.0,,,,,,,0.005691870278571007,1.0843139772306807,-0.0006266256899711397,1500.0,0.004478272011915141,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
5,2026-08-18T21:59:20.460576,shadow,analysis_full,silero,webrtc,False,0.01111406460404396,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.14647942492866728,0.12515200920704014,0.846166311177498,0.02868167960863492,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0011308342387222833,0.1837160751565762,3.1093331413490897,0.8460472362370584,87.15620472483647,1588.8130315692829,0.018332194337314513,0.12394595465529164,0.004201275935061126,0.0,0.0,,,,,,,0.0074589767915399265,1.0590028971717365,-0.0006232759526608425,1533.3333333333335,0.008462435788694123,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
6,2026-08-18T21:59:20.473812,shadow,analysis_full,silero,webrtc,False,0.012277964502573013,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.07868963929189986,0.20179226069819084,0.7548279638199976,0.043379775469103245,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0008293281811661504,0.18997912317327767,3.442693712531249,0.8420562293454366,84.43931554524134,1589.369104818713,0.015878960206237656,0.05939714020043485,0.00341353888422734,0.0,0.0,,,,,,,0.0053931754705681435,1.06324543994466,-0.0006256674781659905,1933.3333333333335,0.01074585304031972,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
7,2026-08-18T21:59:20.488378,shadow,analysis_full,silero,webrtc,False,0.010625473223626614,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.06904723951080359,0.29894221924124725,0.673381107147258,0.0276766735970118,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0007766284303086901,0.17118997912317327,3.305299889177047,0.8523302982175418,83.92080995492485,1609.9514135779664,0.020641135011841557,0.046495106587246815,0.0019109979107152077,0.0,0.0,,,,,,,0.007710581913522261,1.0187367582111513,-0.0005973528060277269,1733.3333333333335,0.010977903691735937,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
8,2026-08-18T21:59:20.499484,shadow,analysis_full,silero,webrtc,False,0.0101715587079525,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.042006463245657946,0.27640804143165726,0.6798147570618879,0.04377720148264907,,,,,,,,,,,,,,False,True,temporal_v1,False,0.000617479360066889,0.16075156576200417,3.46364055735911,0.8503816517500306,81.91489640834773,1539.4130309796024,0.011610924233203208,0.02855661360637608,0.0018389254050786607,0.0,0.0,,,,,,,0.003851994352818789,1.6622000644512707,-0.000986718541564401,1733.3333333333335,0.0028100164985254365,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
9,2026-08-18T21:59:20.513154,shadow,analysis_full,silero,webrtc,False,0.009385493583977222,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.02898704889955712,0.40020209905875137,0.5649734331811682,0.034824467725582293,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0005154608063097639,0.17536534446764093,3.3007015290562465,0.8705053800061063,80.44285729214502,1572.6585636383795,0.011600677815121429,0.01637691253457319,0.0010094585488625027,0.0,0.0,0.0978470277993514,0.14253477016686125,0.11061700131107173,0.00895759413483296,0.6053470172561016,252.0458889938798,0.004650702580461358,0.895705687328848,-0.0005268611287558296,1733.3333333333335,0.017855903712280272,True,0.010869768913835287,0.0978470277993514,True,True,True,0.85,True,True,True,1,True,False,True,False,True,False,True,False,False,0,0,True,1,15,24,24,,,,False,False,False,
