frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_low_proportion_max,temporal_v1_low_proportion_max_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech,webrtc_mode_3_evaluated,webrtc_mode_3_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
0,2026-08-18T22:00:15.566015,shadow,analysis_full,silero,webrtc,False,0.0,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,50.77939459795024,0.23473870301803368,0.4529245317968193,0.31233676518512726,,,,,,,,,,,,,,True,False,temporal_v1,False,0.021447259150717633,0.24425887265135698,4.733079157118986,0.6601807237520488,111.64332802741184,2221.136122809872,11.919889227963784,22.999233523202545,15.860271846782904,0.0,0.0,,,,,,,,1.468049737160161,-0.0008695447388880957,3233.3333333333335,0.031073308595909236,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,1,0,False,0,15,24,24,,,,False,False,False,
1,2026-08-18T22:00:15.843296,shadow,analysis_full,silero,webrtc,False,0.009682819247245789,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.31078533174910766,0.1312308488092404,0.7776248435884402,0.09114430759910173,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0016681859376242588,0.2546972860125261,3.0097645502049297,0.7911470482013666,90.24403588315212,2008.4144419210684,0.04078462288289677,0.24167439499098134,0.02832631387422955,0.0,0.0,,,,,,,0.014046233227410743,1.1151940713959954,-0.0006479496727175091,2433.3333333333335,0.011170856820740921,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,2,0,False,0,15,24,24,,,,False,False,False,
2,2026-08-18T22:00:15.955443,shadow,analysis_full,silero,webrtc,False,0.015015911310911179,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.25535849516139764,0.21480020489663762,0.5526701617169267,0.23252963338251945,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0015080503661187457,0.24634655532359082,2.9418980051952768,0.7116262351730414,88.90769122512137,1897.0087816629339,0.05485105708276526,0.1411290208166407,0.05937841726099166,0.0,0.0,,,,,,,0.01178288498211376,1.207994541345276,-0.0007043686386851431,2500.0,0.008042518186755915,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,3,0,False,0,15,24,24,,,,False,False,False,
3,2026-08-18T22:00:15.968129,shadow,analysis_full,silero,webrtc,False,0.010436740703880787,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.38804785413398424,0.14056468248579423,0.6276845544480517,0.23175076306357717,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0018574512373704221,0.2630480167014614,2.55381402215379,0.7980503442357127,91.21543630590389,1832.940067065114,0.05454582340563729,0.24357164442661247,0.08993038630073454,0.0,0.0,,,,,,,0.013096889558241984,1.3506019482166547,-0.0008122132000260022,2500.0,0.0033909930700484064,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,4,0,False,0,15,24,24,,,,False,False,False,
4,2026-08-18T22:00:15.979750,shadow,analysis_full,silero,webrtc,False,0.01096449326723814,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.3447334052696285,0.08109177259475173,0.7146520446081771,0.20425618279417038,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0017439692031978914,0.27348643006263046,2.4951129422297273,0.8181033076340778,90.77537597209039,2007.2228534261585,0.027955042905939097,0.24636443292067933,0.07041392944201005,0.0,0.0,,,,,,,0.0056645996758397975,0.9657907963411254,-0.0005597083579056466,2500.0,0.006313455766725817,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
5,2026-08-18T22:00:15.991195,shadow,analysis_full,silero,webrtc,False,0.010760019533336163,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.4823194615628546,0.06790283982160164,0.7425681132677682,0.1895290469085569,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0020570650550520353,0.2839248434237996,2.3879432584187756,0.8616391146575133,92.43485260578218,1990.7845744383123,0.032750861141343665,0.35815505256505475,0.09141354785545618,0.0,0.0,,,,,,,0.007082176650176472,1.5827864542637562,-0.0009297423547768107,2500.0,0.0011728084958731488,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
6,2026-08-18T22:00:16.001164,shadow,analysis_full,silero,webrtc,False,0.009430764243006706,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.3505399064244115,0.04220370919820935,0.807622140227556,0.1501741505713821,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0017584300127786205,0.2818371607515658,2.6696522332779975,0.8725731655341641,91.12671924853734,2123.834536888651,0.014794084273103381,0.28310378946165043,0.05264203268865776,0.0,0.0,,,,,,,0.010038685933434184,0.8728299564475476,-0.0005020422095217987,2466.666666666667,0.005392685848644519,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
7,2026-08-18T22:00:16.011131,shadow,analysis_full,silero,webrtc,False,0.008606250397861004,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.29820523978359653,0.025122017693917885,0.8479035288204789,0.12697445348224984,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0016249297325851711,0.2776617954070981,2.6171634822937158,0.8529363740105503,90.34191307362327,2103.8399715950763,0.0074915173102625375,0.25284927512526856,0.037864447347065434,0.0,0.0,,,,,,,0.006669945250414981,1.4356451057176949,-0.0008446440289264867,2466.666666666667,0.0016324721117670037,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
8,2026-08-18T22:00:16.018186,shadow,analysis_full,silero,webrtc,False,0.006942878011614084,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.2553489949878075,0.0769426383627291,0.7422845525384033,0.18077280909495141,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0015072639076397858,0.27348643006263046,3.015840436769741,0.8267615381490737,89.55341355858296,2222.855514126502,0.0196472253776332,0.18954161448565568,0.04616015512351863,0.0,0.0,,,,,,,0.015960903135218193,0.7249548434054971,-0.0004211071645160491,2533.3333333333335,0.013392802676578261,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
9,2026-08-18T22:00:16.032280,shadow,analysis_full,silero,webrtc,False,0.0059114499017596245,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.24234622561241306,0.12719473508677687,0.672234903909298,0.20057036099979872,,,,,,,,,,,,,,False,True,temporal_v1,False,0.001473467527068745,0.22755741127348644,3.2526785642314344,0.7787484564092115,89.09699265090723,1989.159798548024,0.03082516396605114,0.16291359168734154,0.04860746995802036,0.0,0.0,0.06599244717674983,0.11474702399255324,0.05848856798779772,0.017832281005480267,0.6438163831311964,121.55188072326372,0.005986975293861719,1.1581214961965618,-0.0006762357449491595,2566.666666666667,0.00657282819036752,True,0.009556791745126247,0.06599244717674983,True,True,True,0.85,True,True,True,1,True,False,True,False,True,False,True,False,False,0,0,True,1,15,24,24,,,,False,False,False,
