frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_low_proportion_max,temporal_v1_low_proportion_max_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech,webrtc_mode_3_evaluated,webrtc_mode_3_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
0,2026-08-18T22:00:28.837501,shadow,analysis_full,silero,webrtc,False,0.0,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,28.32275835132069,0.23108824397529978,0.3786429773324516,0.3902687786922132,,,,,,,,,,,,,,True,False,temporal_v1,False,0.016340983538298104,0.162839248434238,4.765329148189501,0.6007263618592087,108.87226572150988,2364.5101837627285,6.5450564919434555,10.724213548411624,11.053488310964608,0.0,0.0,,,,,,,,1.412159256225038,-0.0008444501280513754,3500.0000000000005,0.0377737461197023,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,1,0,False,0,15,24,24,,,,False,False,False,
1,2026-08-18T22:00:29.148848,shadow,analysis_full,silero,webrtc,False,0.010002605617046356,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.25151254097002623,0.29168939330271565,0.6890450584040573,0.01926554828925109,,,,,,,,,,,,,,False,False,temporal_v1,False,0.001490698827931304,0.1732776617954071,2.80210241675129,0.862922662782267,89.64293016730095,1407.2979830599527,0.07336354048357137,0.17330347348204458,0.004845527003410283,0.0,0.0,,,,,,,0.018940395200808174,1.3722398656988715,-0.0008186083337958705,1533.3333333333335,0.0024978774034043133,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,2,0,False,0,15,24,24,,,,False,False,False,
2,2026-08-18T22:00:29.240397,shadow,analysis_full,silero,webrtc,False,0.00883873738348484,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.2151820407550148,0.47580120695834605,0.49841042827597837,0.025788364761028297,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0013722514853598778,0.1419624217118998,2.95346483788178,0.8850694352014006,89.03366237342783,1352.7177027433636,0.10238387470699604,0.10724897309000596,0.005549192957012779,0.0,0.0,,,,,,,0.011983718146723343,1.682860884663239,-0.0009955690775019237,1533.3333333333335,0.00114669280628957,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,3,0,False,0,15,24,24,,,,False,False,False,
3,2026-08-18T22:00:29.250998,shadow,analysis_full,silero,webrtc,False,0.0053284005261957645,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.1925600147691094,0.3462614611429718,0.627985516724881,0.025753022126953958,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0012994911196700784,0.1649269311064718,3.0627695427504396,0.8630664695177577,88.45058989070907,1604.658760321026,0.06667611207166405,0.12092490037532988,0.004959002321115455,0.0,0.0,,,,,,,0.007163299129273341,0.8695765791942397,-0.0005166129107025779,1566.6666666666667,0.017413067163040894,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,4,0,False,0,15,24,24,,,,False,False,False,
4,2026-08-18T22:00:29.259826,shadow,analysis_full,silero,webrtc,False,0.005167603492736816,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.34580295582274406,0.2550778462482395,0.7117350264735601,0.03318712727530859,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0017356564855006233,0.17745302713987474,2.469238862688594,0.8427365525778019,90.86253976070113,1672.932643759599,0.08820667319754066,0.24612007591713608,0.011476206707067322,0.0,0.0,,,,,,,0.005941725831010404,0.8440814008019951,-0.00048420157276088177,1566.6666666666667,0.007843039617341957,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
5,2026-08-18T22:00:29.268961,shadow,analysis_full,silero,webrtc,False,0.006416178308427334,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.38460206381162937,0.21507728214600205,0.7514758930301878,0.03344682482121017,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0018339026550198406,0.18580375782881003,2.677210143253125,0.8418300153461981,91.33626046809496,1843.7970293139863,0.0827191665923485,0.28901917936409743,0.012863717854183464,0.0,0.0,,,,,,,0.0052425490462767385,0.7081872555170673,-0.00040735330652447936,1566.6666666666667,0.018249252972208495,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
6,2026-08-18T22:00:29.279936,shadow,analysis_full,silero,webrtc,False,0.007158432621508837,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.3660287581547912,0.25158921655911737,0.7147847998406289,0.033625983597521884,,,,,,,,,,,,,,False,True,temporal_v1,False,0.001789741622135915,0.18997912317327767,2.7102754819999064,0.8488666118515837,91.16059239877238,1545.7342363026853,0.09208888850227055,0.2616317926335864,0.012308077017934314,0.0,0.0,,,,,,,0.0018000989681778057,1.18575959512331,-0.0006904240252068659,1566.6666666666667,0.003359528380626436,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
7,2026-08-18T22:00:29.291267,shadow,analysis_full,silero,webrtc,False,0.006948317866772413,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.7919927472567323,0.18494069359039644,0.8048672807927353,0.010192025615605563,,,,,,,,,,,,,,False,True,temporal_v1,False,0.002626010662380329,0.1941544885177453,2.003821900536556,0.8414812483054648,94.45346293661791,1554.3079917872658,0.14647168799622362,0.6374490488920942,0.008072010367414438,0.0,0.0,,,,,,,0.007418465461202174,1.0997545354589455,-0.0006485513680048226,1566.6666666666667,0.0023534074210368847,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
8,2026-08-18T22:00:29.299315,shadow,analysis_full,silero,webrtc,False,0.008187782019376755,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.2626624393394756,0.5715429297617844,0.4030008911943224,0.025456179040086055,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0015188970389479217,0.1419624217118998,2.6992653217813727,0.8835797352865071,89.90829972417446,1544.0453203705365,0.15012286011846085,0.10585319713708331,0.006686382082931433,0.0,0.0,,,,,,,0.021323480656474547,1.0230844392904563,-0.0006070991370567183,1600.0,0.009109715591915913,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
9,2026-08-18T22:00:29.312613,shadow,analysis_full,silero,webrtc,False,0.008094534277915955,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.2861106902024563,0.20670129533687961,0.7642117915933789,0.029086913066246414,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0015824572900218876,0.17745302713987474,2.8146932352086846,0.8513360802135939,90.10363435962988,1527.170868833628,0.059139450274576386,0.2186491631536373,0.008322076773242605,0.0,0.0,0.12042748339928878,0.14578647859914406,0.10943555342898523,0.017302595093940266,0.6811833031517049,272.6903963128504,0.014388418186519421,1.1722761161732025,-0.0006874539441132604,1533.3333333333335,0.004637054381470705,True,0.007053375244140625,0.12042748339928878,True,True,True,0.85,True,True,True,1,True,False,True,False,True,False,True,False,False,0,0,True,1,15,24,24,,,,False,False,False,
10,2026-08-18T22:00:29.324141,shadow,analysis_full,silero,webrtc,False,0.006098536308854818,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.2702299095746687,0.27704664517890076,0.6883310340644406,0.03462232075295798,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0015398674654896148,0.16701461377870563,3.1286716804403705,0.8639074426587049,89.93014292616141,1490.201261656663,0.07486628987465968,0.186007633092672,0.00935598660633701,0.0,0.0,0.1184571501153578,0.11850456395463423,0.007306975242140948,0.01715079281715313,0.3051865134460406,129.49379190742528,0.0048370572014161525,1.2451851223036323,-0.0007312815431451421,1566.6666666666667,0.004854636669939375,True,0.007053375244140625,0.1184571501153578,True,True,True,0.85,True,True,True,2,True,False,True,False,True,False,True,False,False,0,0,True,2,15,24,24,,,,False,False,False,
