frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_low_proportion_max,temporal_v1_low_proportion_max_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech,webrtc_mode_3_evaluated,webrtc_mode_3_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
0,2026-08-18T22:01:14.914204,shadow,analysis_full,silero,webrtc,False,0.0,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,96.89436068340393,0.2142670090573719,0.43559345485474776,0.35013953608787,,,,,,,,,,,,,,True,False,temporal_v1,False,0.0297324572871091,0.18580375782881003,4.665150489457675,0.627512642815683,114.26046646375221,2274.3269914843995,20.76126485815917,42.20654932602596,33.92654649921781,0.0,0.0,,,,,,,,1.8488593409849714,-0.0011177926394639423,3366.666666666667,0.011568189353893553,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,1,0,False,0,15,24,24,,,,False,False,False,
1,2026-08-18T22:01:15.084252,shadow,analysis_full,silero,webrtc,False,0.007390868850052357,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.4012885786223541,0.17517626087888583,0.7744769767347733,0.05034676238384892,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0018697186333793974,0.18580375782881003,3.1486015435065906,0.8318288162893014,91.45242520055413,1600.9414833989485,0.07029623273646679,0.3107887651696352,0.020203580715252138,0.0,0.0,,,,,,,0.012591726852450797,1.578777098845881,-0.0009322292042136179,1666.6666666666667,0.0028512112181937463,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,2,0,False,0,15,24,24,,,,False,False,False,
2,2026-08-18T22:01:15.132731,shadow,analysis_full,silero,webrtc,False,0.010294012725353241,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.6849209542120739,0.17755102973579573,0.8005732453870203,0.02187572487572396,,,,,,,,,,,,,,False,False,temporal_v1,False,0.002441688630018731,0.18997912317327767,2.607985237311698,0.8398553251556573,93.81284645632147,1747.8663260213714,0.12160842070797752,0.5483293911471347,0.014983142355961657,0.0,0.0,,,,,,,0.0062752099392052825,0.8356614835639847,-0.0004886217127132234,1566.6666666666667,0.013710032480340669,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,3,0,False,0,15,24,24,,,,False,False,False,
3,2026-08-18T22:01:15.137332,shadow,analysis_full,silero,webrtc,False,0.0077451011165976524,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.36637239015541334,0.4184585306603545,0.5437194683691483,0.03782200096776777,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0017868808845618756,0.15657620041753653,2.8792244791170822,0.8620803968188647,91.21365724608759,1645.2348208231679,0.1533116520589564,0.19920380120043554,0.013856936895021434,0.0,0.0,,,,,,,0.009570593748201071,0.9523088955528959,-0.0005566995616250328,1566.6666666666667,0.01122278297304855,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,4,0,False,0,15,24,24,,,,False,False,False,
4,2026-08-18T22:01:15.143762,shadow,analysis_full,silero,webrtc,False,0.008596284314990044,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.272869604206089,0.31374919941629736,0.6137859539750811,0.07246484660495675,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0015427039077612148,0.19206680584551147,3.2199384418067605,0.8311521063296917,89.77847855742469,1835.5422509742102,0.08561261986470237,0.16748353032843716,0.019773454011949503,0.0,0.0,,,,,,,0.008406953786936358,0.8270230068167738,-0.0004764774028591771,1866.6666666666667,0.022691248595202395,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
5,2026-08-18T22:01:15.149297,shadow,analysis_full,silero,webrtc,False,0.008021755144000053,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.22458938950931953,0.18225314991317212,0.7001833053978558,0.11756354468451945,,,,,,,,,,,,,,False,True,temporal_v1,False,0.001398225869838739,0.22129436325678498,3.358303769899258,0.8085990891528879,88.80466863227804,1747.4726725808082,0.04093212367514982,0.15725374110392187,0.02640352472924783,0.0,0.0,,,,,,,0.005857672943442016,1.079748800976952,-0.0006204225884304629,2333.3333333333335,0.009881767199514965,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
6,2026-08-18T22:01:15.156406,shadow,analysis_full,silero,webrtc,False,0.00936574675142765,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.26539091972028306,0.18197999509531812,0.7569821553474485,0.061037849553465334,,,,,,,,,,,,,,False,True,temporal_v1,False,0.001519515874687107,0.1837160751565762,2.798764479763729,0.824090755332009,89.60982031745388,1752.7297507215867,0.048295838269039076,0.20089619041950155,0.016198891030742433,0.0,0.0,,,,,,,0.005274129973251349,0.9276247414492433,-0.0005421781962737808,1600.0,0.010188799815366396,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
7,2026-08-18T22:01:15.163588,shadow,analysis_full,silero,webrtc,False,0.010645120404660702,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.19630415886882066,0.21504978109836187,0.7380139227438429,0.046936296152701056,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0013076903744337048,0.17745302713987474,3.0131478047783182,0.8328523612960878,88.35104123685431,1628.7774779833699,0.04221516639343793,0.14487520233770887,0.009213790136673844,0.0,0.0,,,,,,,0.00548194365292186,1.2310239432483283,-0.0007223541260821108,1666.6666666666667,0.005308945616304338,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
8,2026-08-18T22:01:15.170167,shadow,analysis_full,silero,webrtc,False,0.009661776944994926,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.08073902501474371,0.3958506632540886,0.5226522823474448,0.08149705438608099,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0008418988359872907,0.18580375782881003,3.20211998447637,0.8250171221192596,84.48091206957103,1685.7459096472037,0.03196059660257475,0.04219843569846324,0.0065799927127057215,0.0,0.0,,,,,,,0.00807362794525303,1.104029500812448,-0.0006567264332208788,2333.3333333333335,0.012644809753609465,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
9,2026-08-18T22:01:15.179091,shadow,analysis_full,silero,webrtc,False,0.00904706958681345,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.08679404193542031,0.25868156016954263,0.6207128317874923,0.12060560803144352,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0008706547841377681,0.19624217118997914,3.287318176801847,0.8110000130919081,84.69933846996481,1638.3748768820362,0.02245201818127524,0.053874175552017095,0.010467848201127974,0.0,0.0,0.08731733817498706,0.11641507221454596,0.0900080338406968,0.015250089659916224,0.53182858626247,186.1202458638435,0.011138654707060948,1.4153249442868312,-0.0008313886710017984,2433.3333333333335,0.0040062276428813725,True,0.008821676950901747,0.08731733817498706,True,True,True,0.85,True,True,True,1,True,False,True,False,True,False,True,False,False,0,0,True,1,15,24,24,,,,False,False,False,
