frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_low_proportion_max,temporal_v1_low_proportion_max_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech,webrtc_mode_3_evaluated,webrtc_mode_3_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
0,2026-08-18T22:01:42.438705,shadow,analysis_full,silero,webrtc,False,0.0,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,27.360643937616242,0.19892886073211613,0.42064918786460154,0.3804219514032458,,,,,,,,,,,,,,True,False,temporal_v1,False,0.016099908781033387,0.24425887265135698,4.7892406386586,0.6028368861406947,108.75837439897155,2358.8540507296298,5.442821727407079,11.509232651810805,10.408589558397358,0.0,0.0,,,,,,,,1.348312006956679,-0.0008054429829535668,3500.0000000000005,0.046506253286560675,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,1,0,False,0,15,24,24,,,,False,False,False,
1,2026-08-18T22:01:42.712463,shadow,analysis_full,silero,webrtc,False,0.010908144526183605,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.4323808014335877,0.046192954829194756,0.8561756119831092,0.09763143318538334,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0019456977724821283,0.2860125260960334,2.4431193681785035,0.8551602375636089,91.9185317993565,2154.054863269173,0.019972946829632743,0.3701938972771492,0.042213957325805816,0.0,0.0,,,,,,,0.024115577383044838,0.9893494991061046,-0.0005747814954013446,2400.0,0.0074084098962668545,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,2,0,False,0,15,24,24,,,,False,False,False,
2,2026-08-18T22:01:42.760726,shadow,analysis_full,silero,webrtc,False,0.01595841720700264,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.2639793690708291,0.08728866446901189,0.5808841766738001,0.33182715885340003,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0015250788243044962,0.2755741127348643,2.85122904579936,0.7547473595497174,89.26035386141791,2031.08223477813,0.023042406573565054,0.15334143846157777,0.08759552403468632,0.0,0.0,,,,,,,0.01074205284357367,1.4015843134661345,-0.0008280412980742821,2633.3333333333335,0.0023653015202743538,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,3,0,False,0,15,24,24,,,,False,False,False,
3,2026-08-18T22:01:42.766321,shadow,analysis_full,silero,webrtc,False,0.009022257290780544,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.23934763073211804,0.0954202558838979,0.45407419776247415,0.4505055463494499,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0014615280190282528,0.2776617954070981,2.91700836696785,0.7163265304805297,88.66392749297458,2209.426423924671,0.022838612169663406,0.1086815834110354,0.10782743515041922,0.0,0.0,,,,,,,0.005531790284827647,0.7266598364629855,-0.00042137618296511485,2633.3333333333335,0.019401756530013435,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,4,0,False,0,15,24,24,,,,False,False,False,
4,2026-08-18T22:01:42.771403,shadow,analysis_full,silero,webrtc,False,0.01078379899263382,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.2338060073756167,0.09662570126872912,0.556206301692451,0.34716799703454276,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0014442567194140029,0.2964509394572025,3.1484389321012536,0.692694142743197,88.41514915153157,2031.4115364924153,0.022591669423510614,0.13004437467586968,0.08116996327523637,0.0,0.0,,,,,,,0.005570421022640542,1.0747840700255988,-0.0006241787314123498,2633.3333333333335,0.010973881992323903,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,5,0,False,0,15,24,24,,,,False,False,False,
5,2026-08-18T22:01:42.776504,shadow,analysis_full,silero,webrtc,False,0.00959990918636322,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.34413487853098906,0.12085703319551606,0.6165444827244762,0.26259848407710196,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0017483054480682309,0.2818371607515658,2.912890098729234,0.7179831343111946,90.23077934566474,2142.121352750707,0.04159112043835463,0.21217446067133908,0.09036929742029536,0.0,0.0,,,,,,,0.0061491303323320924,0.7188064973822118,-0.0004145910122730352,2633.3333333333335,0.02045072175313765,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
6,2026-08-18T22:01:42.781566,shadow,analysis_full,silero,webrtc,False,0.009310624562203884,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.3690416133651843,0.06749279909276203,0.7847103618066887,0.14779683909783953,,,,,,,,,,,,,,False,True,temporal_v1,False,0.001817706102756426,0.27348643006263046,3.0507360973355713,0.7736348425786992,90.89263056586667,1992.5565557500568,0.024907651467725146,0.2895907779455179,0.05454318395094125,0.0,0.0,,,,,,,0.007542958018908177,1.0951320017098183,-0.0006455365519049799,2466.666666666667,0.010538900604401606,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
7,2026-08-18T22:01:42.788248,shadow,analysis_full,silero,webrtc,False,0.010306947864592075,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.22166542937539777,0.23113950580143622,0.6482477428120612,0.12061275138199126,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0014024749016040173,0.2567849686847599,3.448660255770422,0.7085736822742797,88.25834058803488,1925.4219278088135,0.051235637799092605,0.14369411425206796,0.026735677323237193,0.0,0.0,,,,,,,0.006508128460548265,1.038727247301295,-0.0006042676021314895,2433.3333333333335,0.019312212973590818,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
8,2026-08-18T22:01:42.793832,shadow,analysis_full,silero,webrtc,False,0.008191883563995361,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.16211421939198253,0.4048325798973504,0.5271078049168517,0.0680596151796294,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0012039087084924492,0.20250521920668058,3.5678866182757503,0.7863588247286265,87.38270292156635,1681.2401735079713,0.06562911767450136,0.08545167032951682,0.011033431386964344,0.0,0.0,,,,,,,0.006334307022252777,1.0465185225786149,-0.0006228196985325303,2366.666666666667,0.019600840112239993,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
9,2026-08-18T22:01:42.803073,shadow,analysis_full,silero,webrtc,False,0.007051397580653429,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.11048308184124406,0.39762828513747367,0.5469830104564093,0.05538870439706582,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0009888496604310978,0.2045929018789144,3.4810536972729045,0.787733744309128,85.68006960238266,1702.7075970959095,0.043931198369237034,0.060432368710025525,0.006119514760981498,0.0,0.0,0.1254426443170223,0.1289212051235701,0.13755837675092364,0.03138822392832454,0.6038684834485722,202.2101048210225,0.004913256632731831,1.256982810590419,-0.0007413918613615222,2266.666666666667,0.013805887710909114,True,0.009455266874283552,0.1254426443170223,True,True,True,0.85,True,True,True,1,True,False,True,False,True,False,True,False,False,0,0,True,1,15,24,24,,,,False,False,False,
