frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_low_proportion_max,temporal_v1_low_proportion_max_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech,webrtc_mode_3_evaluated,webrtc_mode_3_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
0,2026-08-18T22:01:54.141418,shadow,analysis_full,silero,webrtc,False,0.0,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,46.86196265606438,0.16618598158887368,0.3688851417285544,0.4649288766825505,,,,,,,,,,,,,,True,False,temporal_v1,False,0.020825272895542847,0.17118997912317327,4.5756373338197065,0.5575848373486186,110.65544863986943,2442.244805048691,7.7878012631792,17.286681736060533,21.787479656823642,0.0,0.0,,,,,,,,1.597459651824477,-0.0009594351997948143,3566.666666666667,0.01508525879342131,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,1,0,False,0,15,24,24,,,,False,False,False,
1,2026-08-18T22:01:54.404990,shadow,analysis_full,silero,webrtc,False,0.008427266031503677,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.5173387282750967,0.11586519689358284,0.870429437542365,0.013705365562119303,,,,,,,,,,,,,,False,False,temporal_v1,False,0.002123396915591093,0.16910229645093947,1.9224321552296606,0.8651925290664669,92.72843652191816,1505.4287501935485,0.059941553612269834,0.45030685827137484,0.0070903163904521066,0.0,0.0,,,,,,,0.03598715420861297,1.187971960491898,-0.0006869304704153645,1366.6666666666667,0.0021571836798794757,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,2,0,False,0,15,24,24,,,,False,False,False,
2,2026-08-18T22:01:54.501603,shadow,analysis_full,silero,webrtc,False,0.011911530047655106,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.3955212342375467,0.11306658884911694,0.866884339143394,0.020049072004960658,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0018587469521246177,0.1649269311064718,2.1066755337994034,0.8630894468097411,91.56134405167136,1501.798702251713,0.04472023677263197,0.34287116375919524,0.007929833704719485,0.0,0.0,,,,,,,0.00553820128977227,1.2770521760058153,-0.0007517213241424463,1466.6666666666667,0.002651509274457535,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,3,0,False,0,15,24,24,,,,False,False,False,
3,2026-08-18T22:01:54.512275,shadow,analysis_full,silero,webrtc,False,0.008273346349596977,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.4816390749177146,0.0557814233034059,0.9289784989663303,0.01524007772818758,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0020509060900851706,0.16910229645093947,2.1949941526475025,0.8600161062036227,92.40053938649886,1531.6818146830237,0.026866513117445867,0.44743234486059047,0.007340216938678332,0.0,0.0,,,,,,,0.005241917461424403,1.0143038443331576,-0.0006023650608712279,1433.3333333333335,0.0032409368775224716,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,4,0,False,0,15,24,24,,,,False,False,False,
4,2026-08-18T22:01:54.521670,shadow,analysis_full,silero,webrtc,False,0.009309476241469383,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.2441984033299737,0.1045898455031569,0.8772999621763736,0.0181101923163744,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0014612217642033436,0.18162839248434237,2.3334309366531443,0.8607050280094827,89.45850593084577,1494.041152230694,0.025540673276399545,0.21423525000491675,0.004422480047657386,0.0,0.0,,,,,,,0.013320955975734319,1.275075817473997,-0.0007456924528797962,1466.6666666666667,0.002995974592488068,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
5,2026-08-18T22:01:54.537388,shadow,analysis_full,silero,webrtc,False,0.011338411830365658,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.17897266989843189,0.13098533224967246,0.8330677248357768,0.03594694290896325,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0012544563056091466,0.16910229645093947,2.820667931923473,0.8550224670640422,88.10382322180209,1537.6622132680932,0.023442794630257054,0.14909635492007117,0.006433520347103656,0.0,0.0,,,,,,,0.013292901502816569,1.5531435833465,-0.0009168832503775432,1500.0,0.0019766000070576394,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
6,2026-08-18T22:01:54.550493,shadow,analysis_full,silero,webrtc,False,0.01150941289961338,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.24604195027907358,0.20385727442594667,0.7586891700130007,0.03745355555698831,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0014725862966896788,0.18162839248434237,2.738095071944762,0.8579311539587626,89.5113344768535,1640.4117098888735,0.05015744137833623,0.18666936304561033,0.009215145854127037,0.0,0.0,,,,,,,0.006230326835539282,0.8860703729083093,-0.0005257900620853006,1500.0,0.0145968207323945,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
7,2026-08-18T22:01:54.566167,shadow,analysis_full,silero,webrtc,False,0.011123670265078545,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.4079482918328186,0.1626760546571983,0.8176643900175533,0.019659555322797145,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0018887469898761127,0.162839248434238,2.511287947361616,0.865124760598707,91.71045432848986,1475.2872998592538,0.06636341861950629,0.33356479120018445,0.008020082012127892,0.0,0.0,,,,,,,0.00907883881488592,1.5276134725268213,-0.0009158420640624195,1500.0,0.0020931813776472363,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
8,2026-08-18T22:01:54.578906,shadow,analysis_full,silero,webrtc,False,0.009821189567446709,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.40975746004407215,0.12995610915595074,0.8464681589014232,0.02357573194018559,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0018945767192573544,0.1732776617954071,1.9857730503365838,0.8633906231792478,91.72875847938468,1651.0935598497613,0.05325048520495257,0.34684664279962923,0.009660332038490354,0.0,0.0,,,,,,,0.0081241971944362,0.799743434281412,-0.00046748837242936307,1466.6666666666667,0.008126491793050297,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
9,2026-08-18T22:01:54.588418,shadow,analysis_full,silero,webrtc,False,0.008288752287626266,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.24592367830394618,0.15786129290624137,0.8187640620268334,0.023374645062858936,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0014703330834520691,0.15657620041753653,2.1091367760369013,0.8712639441362396,89.56541227742251,1514.0537543766045,0.038821829813319525,0.2013534697967192,0.005748378692907445,0.0,0.0,0.03883710663899988,0.14950300567033445,0.1327886383440009,0.007363336988955488,0.7406276209285522,276.82154219421056,0.005063316068361889,1.2007161072333645,-0.000699442637958737,1466.6666666666667,0.0023014599025666417,True,0.009565332904458046,0.03883710663899988,True,True,False,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
