frame,timestamp,processing_mode,speech_detector_implementation,is_speech,speech_probability,speech_gate_open,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score
0,2026-08-07T11:58:18.257222,shadow,silero,False,0.0,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,False,1280.0,True,True,2.6,True,39.7389730776801,0.15206168606791115,0.5041448346026306,0.34379347932945825,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,True,False,grouped_v1,False,0.01924325329768725,0.07724425887265135,4.599302336622541,0.0,0.0,2377.3699914243557,6.042775248799365,20.034198009525426,13.661999819355312,0.0,0.0
1,2026-08-07T11:58:18.390841,shadow,silero,False,0.010111312381923199,True,False,True,False,3,0.0,0.005,True,1,0,False,0.08,True,1280.0,True,True,2.6,True,0.040940265779496825,0.7384536448411548,0.2080305285140784,0.05351582664476681,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0006207136884164614,0.08977035490605428,3.8572677541547433,0.0,0.0,1497.6049322309746,0.030232488485635034,0.008516825127615563,0.002190952166246231,0.0,0.0
2,2026-08-07T11:58:18.432696,shadow,silero,False,0.007969980128109455,True,False,True,False,3,0.0,0.005,True,2,0,False,0.08,False,1280.0,True,True,2.6,True,0.0390134396815707,0.7411376951403892,0.20661602464479306,0.05224628021481766,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0006032690427437766,0.07933194154488518,3.8421667501866326,0.0,0.0,1493.9702800025668,0.028914330765097907,0.008060801814725559,0.0020383071017472296,0.0,0.0
3,2026-08-07T11:58:18.438593,shadow,silero,False,0.0034445615019649267,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.029114586541168497,0.7503262394272442,0.1977058872869743,0.051967873285781514,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0005221938942451535,0.10855949895615867,3.8165861462776376,0.0,0.0,1494.9547729899268,0.021845438231914014,0.005756125165115118,0.0015130231441393643,0.0,0.0
4,2026-08-07T11:58:18.442040,shadow,silero,False,0.002438206225633621,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.025071360142457037,0.7224456746828584,0.22293671345424498,0.054617611862896695,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0004877221310827349,0.12734864300626306,3.93551322022322,0.0,0.0,1502.56944629335,0.018112695693334298,0.005589326631987123,0.0013693378171356168,0.0,0.0
5,2026-08-07T11:58:18.445517,shadow,silero,False,0.00217599724419415,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.02598400193235284,0.7181361687200337,0.22789355270746303,0.05397027857250313,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0004985397597525827,0.09394572025052192,3.908208419076095,0.0,0.0,1504.7142630944627,0.018660051595713822,0.0059215865139214735,0.0014023638227175425,0.0,0.0
6,2026-08-07T11:58:18.449091,shadow,silero,False,0.0023691311944276094,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.020730350600477898,0.717673436845965,0.22642109793424783,0.05590546521978721,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.00044379420204167117,0.09394572025052192,3.9042629769113186,0.0,0.0,1514.5252380263917,0.014877621962466787,0.0046937887435221,0.001158939894489012,0.0,0.0
7,2026-08-07T11:58:18.453760,shadow,silero,False,0.002905206987634301,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.019755141117090733,0.7339919033964194,0.2140099156958232,0.05199818090775746,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.00043259197467230556,0.09394572025052192,3.8845932325407015,0.0,0.0,1499.3371598722463,0.014500113630398295,0.004227796085027678,0.0010272314016647618,0.0,0.0
8,2026-08-07T11:58:18.457621,shadow,silero,False,0.00265522045083344,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.017388086601386184,0.72850124586874,0.21796138968616344,0.05353736444509664,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.00040593927941833506,0.12317327766179541,3.8881436225813384,0.0,0.0,1508.6233475014737,0.01266724275238338,0.0037899315196214915,0.0009309123293813139,0.0,0.0
9,2026-08-07T11:58:18.462140,shadow,silero,False,0.0025835237465798855,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.01646218572376285,0.7133528393738778,0.23046633913366152,0.056180821492460786,0.8,True,0.0026193720987066627,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.00039623385128634975,0.09812108559498957,3.958520877612638,0.0,0.0,1522.1947656086481,0.011743346928346344,0.0037939796778940498,0.000924859117522457,0.0,0.0
