frame,timestamp,processing_mode,speech_detector_implementation,is_speech,speech_probability,speech_gate_open,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score
0,2026-08-07T11:57:58.580180,shadow,silero,False,0.0,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,88.69523592861535,0.20582604122404435,0.42826586851239196,0.3659080902635638,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,True,False,grouped_v1,False,0.028429089691788437,0.12734864300626306,4.722840786967693,0.0,0.0,2278.7181762310347,18.25578928661952,37.98514224787996,32.45430439411587,0.0,0.0
1,2026-08-07T11:57:58.706665,shadow,silero,False,0.008260281756520271,True,False,True,False,3,0.0,0.005,True,1,0,False,0.08,True,1280.0,True,True,2.6,True,0.012732377271133648,0.6815117505999553,0.2706743519645276,0.047813897435517234,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0003428096759605022,0.1336116910229645,3.822782219197534,0.0,0.0,1474.0672367895609,0.008677264723349374,0.0034463279668319803,0.0006087845809522951,0.0,0.0
2,2026-08-07T11:57:58.755985,shadow,silero,False,0.008689061738550663,True,False,True,False,3,0.0,0.005,True,2,0,False,0.08,True,1280.0,True,True,2.6,True,0.010438580511138103,0.7027978030527654,0.2469944686313475,0.050207728315887164,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0003136558752920346,0.12943632567849686,3.798132005202748,0.0,0.0,1518.6642157855608,0.007336211450217272,0.0025782716466140956,0.0005240974143067364,0.0,0.0
3,2026-08-07T11:57:58.761689,shadow,silero,False,0.004133883863687515,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.007284089609016249,0.7186078901824782,0.2296520430450961,0.05174006677242582,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0002626351670902056,0.1524008350730689,3.8130354342631683,0.0,0.0,1482.0720714524205,0.005234404265835279,0.0016728060604341369,0.0003768792827468338,0.0,0.0
4,2026-08-07T11:57:58.766656,shadow,silero,False,0.002803226700052619,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.006442774951595634,0.7280873956066232,0.22027087015815386,0.051641734235222995,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.00024577191851456057,0.10855949895615867,3.7247084105302806,0.0,0.0,1496.8940255749706,0.004690903234986853,0.001419155644821128,0.00033271607178765345,0.0,0.0
5,2026-08-07T11:57:58.773002,shadow,silero,False,0.002885223599150777,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.008303962830559364,0.7528266928883477,0.20306643102047697,0.04410687609117534,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0002774996009802757,0.11482254697286012,3.703964147744167,0.0,0.0,1484.6278316083988,0.006251444875597769,0.0016862560953283879,0.00036626185963320755,0.0,0.0
6,2026-08-07T11:57:58.782806,shadow,silero,False,0.003271662164479494,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.005610385282662197,0.6902883959365513,0.23633447237014826,0.07337713169330032,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.00022963894009769373,0.13569937369519833,3.8711843205436787,0.0,0.0,1550.7514580296108,0.0038727838573549235,0.0013259274455712155,0.00041167397973605795,0.0,0.0
7,2026-08-07T11:57:58.791558,shadow,silero,False,0.0033440222032368183,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.007320741481899921,0.7009496475520262,0.2324994607980345,0.06655089164993926,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.00026410250937672824,0.1440501043841336,3.778608197154245,0.0,0.0,1521.5908249293818,0.005131471161557248,0.0017020684471835358,0.00048720187315913743,0.0,0.0
8,2026-08-07T11:57:58.803130,shadow,silero,False,0.0030885408632457256,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.005335948040842555,0.750083628206413,0.17007446036270352,0.07984191143088361,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.00022466842909928854,0.1336116910229645,3.6972797305277756,0.0,0.0,1512.0538995472166,0.004002407266396084,0.0009075084835697226,0.00042603229087674816,0.0,0.0
9,2026-08-07T11:57:58.810189,shadow,silero,False,0.003033108077943325,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.006459022918520586,0.7425348940198445,0.184880631090562,0.07258447488959364,0.8,True,0.00318010151386261,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.000244895742759511,0.1336116910229645,3.7480210393681226,0.0,0.0,1530.2532087528664,0.00479604989827543,0.0011941482334044894,0.00046882478684066734,0.0,0.0
