frame,timestamp,processing_mode,speech_detector_implementation,is_speech,speech_probability,speech_gate_open,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score
0,2026-08-07T11:59:12.703397,shadow,silero,False,0.0,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,66.0006031578799,0.2117739305845459,0.4114699095060715,0.3767561599093826,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,True,False,grouped_v1,False,0.024697935451062566,0.11899791231732777,4.544710215782802,0.0,0.0,2328.3287678025854,13.97720715169502,27.157262208718976,24.8661337974659,0.0,0.0
1,2026-08-07T11:59:12.806712,shadow,silero,False,0.008560110814869404,True,False,True,False,3,0.0,0.005,True,1,0,False,0.08,True,1280.0,True,True,2.6,True,0.011064667565477214,0.5679847702618589,0.4188966104889128,0.013118619249228372,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0003168990676988884,0.10647181628392484,2.897149122529402,0.0,0.0,1322.2709028136846,0.006284562665201417,0.004634951739365015,0.0001451531609107822,0.0,0.0
2,2026-08-07T11:59:12.852791,shadow,silero,False,0.012108391150832176,True,False,True,False,3,0.0,0.005,True,2,0,False,0.08,True,1280.0,True,True,2.6,True,0.005331542272148765,0.5169888184698004,0.4690376745224211,0.013973507007778567,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.00022471050890198856,0.1022964509394572,3.073545356508151,0.0,0.0,1471.5185525036966,0.002756347739899985,0.002500694188946642,7.450034330213843e-05,0.0,0.0
3,2026-08-07T11:59:12.858840,shadow,silero,False,0.005926342215389013,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.0028669765813878643,0.5850875165919703,0.3867764995648812,0.02813598384314862,0.8,True,,0.5,False,0,False,0,3,3,True,True,1,False,True,grouped_v1,False,0.0001653860225324263,0.12317327766179541,3.254056742143054,0.0,0.0,1466.7167501556728,0.0016774322081315623,0.0011088791664836878,8.066520677261441e-05,0.0,0.0
4,2026-08-07T11:59:12.865864,shadow,silero,False,0.004703572951257229,True,True,True,False,3,0.0,0.005,False,0,1,True,0.08,True,1280.0,True,True,2.6,True,0.002369758899387355,0.5939767819892761,0.3800808644113556,0.025942353599368393,0.8,True,,0.5,False,0,False,0,3,3,True,True,2,False,True,grouped_v1,False,0.00015087896365712444,0.1336116910229645,3.510289008376782,0.0,0.0,1410.4429653579245,0.0014075817651485498,0.0009007000109256485,6.147712331315683e-05,0.0,0.0
5,2026-08-07T11:59:12.871641,shadow,silero,False,0.004294473212212324,True,True,True,False,3,0.0,0.005,False,0,2,True,0.08,True,1280.0,True,True,2.6,True,0.0014896648033416728,0.6520952229779696,0.28638554265761174,0.061519234364418654,0.8,True,,0.5,False,0,False,0,3,3,True,True,3,False,True,grouped_v1,False,0.0001237693310177697,0.12943632567849686,3.8347193077879367,0.0,0.0,1514.6503934210243,0.0009714033020975214,0.0004266184630829494,9.1643038161202e-05,0.0,0.0
6,2026-08-07T11:59:12.877024,shadow,silero,False,0.0033304474782198668,True,True,True,False,3,0.0,0.005,False,0,3,True,0.08,True,1280.0,True,True,2.6,True,0.002219593933433587,0.736541526798214,0.20440496186082793,0.059053511340957966,0.8,True,,0.5,False,0,False,0,3,3,True,True,4,False,True,grouped_v1,False,0.0001446806259086117,0.1336116910229645,3.7855984563993017,0.0,0.0,1576.116315218493,0.0016348231046032276,0.00045369601331001744,0.00013107481552034183,0.0,0.0
7,2026-08-07T11:59:12.882060,shadow,silero,False,0.003291691653430462,True,True,True,False,3,0.0,0.005,False,0,4,True,0.08,True,1280.0,True,True,2.6,True,0.0018764813277119337,0.7431579224483371,0.20200293577293776,0.05483914177872509,0.8,True,,0.5,False,0,False,0,3,3,True,True,5,False,True,grouped_v1,False,0.00013544029113908554,0.11899791231732777,3.503399983521189,0.0,0.0,1614.5933255040043,0.001394521965015498,0.00037905473712091073,0.00010290462557552503,0.0,0.0
8,2026-08-07T11:59:12.886989,shadow,silero,False,0.0037490196991711855,True,True,True,False,3,0.0,0.005,False,0,5,True,0.08,True,1280.0,True,True,2.6,True,0.0007299101901284094,0.7433505833688869,0.20853502379049937,0.04811439284061363,0.8,True,,0.5,False,0,False,0,3,3,True,True,6,False,True,grouped_v1,False,9.208041395979349e-05,0.11691022964509394,3.3836713514222874,0.0,0.0,1554.5094577111975,0.0005425791656388483,0.00015221183886335578,3.511918562620528e-05,0.0,0.0
9,2026-08-07T11:59:12.892009,shadow,silero,False,0.0038223713636398315,True,True,True,False,3,0.0,0.005,False,0,6,True,0.08,True,1280.0,True,True,2.6,True,0.00041063344874549057,0.7128730046237176,0.22965539087777662,0.057471604498505816,0.8,True,0.004058422287926078,0.5,False,0,False,0,3,3,True,True,7,False,True,grouped_v1,False,7.13670939908203e-05,0.11691022964509394,3.5314923854984483,0.0,0.0,1607.766999430627,0.0002927295004061972,9.430418517913508e-05,2.3599763160158293e-05,0.0,0.0
10,2026-08-07T11:59:12.897160,shadow,silero,False,0.0029206934850662947,True,True,True,False,3,0.0,0.005,False,0,7,True,0.08,True,1280.0,True,True,2.6,True,0.002077230987437014,0.7298989450674876,0.21887903796022615,0.051222016972286295,0.8,True,0.004058422287926078,0.5,False,0,False,0,3,3,True,True,8,False,True,grouped_v1,False,0.000144457117518222,0.12526096033402923,3.6292238341946352,0.0,0.0,1487.940852524473,0.0015161687063917721,0.0004546623201513842,0.00010639996089385775,0.0,0.0
11,2026-08-07T11:59:12.902575,shadow,silero,False,0.047436073422431946,True,True,True,False,2,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.0996880613060718,0.90410139048581,0.08106173702370786,0.014836872490482201,0.8,False,0.004058422287926078,0.5,False,0,False,0,2,2,True,True,9,False,True,grouped_v1,False,0.0010344097194805663,0.12108559498956159,2.817225599798416,0.0,0.0,1359.188773001685,0.09012811484165419,0.00808088740999606,0.00147905905442156,0.0,0.0
12,2026-08-07T11:59:12.907605,shadow,silero,False,0.04262017458677292,True,True,True,True,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.624101735278919,0.36200232806708194,0.5875642203016638,0.05043345163125419,0.8,True,0.004058422287926078,0.5,False,0,False,0,3,3,True,True,10,False,True,grouped_v1,True,0.002366896155929408,0.11482254697286012,3.663263449114985,0.0,0.0,1505.7144968602727,0.22592628112167437,0.3666998494780734,0.03147560467917117,0.0,0.0
13,2026-08-07T11:59:12.912684,shadow,silero,False,0.013991036452353,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.10489246622523615,0.34777457525248795,0.6001791413247416,0.05204628342277049,0.8,True,0.004058422287926078,0.5,False,0,False,0,3,3,True,True,11,False,True,grouped_v1,False,0.00097867359031239,0.14613778705636743,3.768967069605476,0.0,0.0,1596.4514362649106,0.036478932888667444,0.06295427031049669,0.005459263026072022,0.0,0.0
14,2026-08-07T11:59:12.918451,shadow,silero,False,0.007503305561840534,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.010356016972204778,0.7302379219636996,0.23489114394512384,0.034870934091176586,0.8,True,0.004058422287926078,0.5,False,0,False,0,3,3,True,True,12,False,True,grouped_v1,False,0.0003201328163245278,0.10647181628392484,3.5781834416570066,0.0,0.0,1406.3773103561139,0.0075623563136036215,0.002432536673316298,0.00036112398528485894,0.0,0.0
15,2026-08-07T11:59:12.924099,shadow,silero,False,0.004042032174766064,True,True,True,False,3,0.0,0.005,False,0,1,True,0.08,True,1280.0,True,True,2.6,True,0.003961047659988582,0.5779668562669503,0.36746269885452226,0.05457044487852736,0.8,True,0.003932201769202948,0.5,False,0,False,0,3,3,True,True,13,False,True,grouped_v1,False,0.00019485260891003928,0.11899791231732777,3.782645774219064,0.0,0.0,1516.4885653876618,0.0022893542635671607,0.0014555372634307943,0.00021615613299062666,0.0,0.0
16,2026-08-07T11:59:12.925814,shadow,silero,False,0.004042032174766064,True,True,True,False,3,0.0,0.005,False,0,2,True,0.08,True,1280.0,True,True,2.6,True,0.0012452312546261805,0.5528436054759022,0.3997658136157977,0.04739058090830031,0.8,True,0.004042032174766064,0.5,False,0,False,0,3,3,True,True,14,False,True,grouped_v1,False,0.00011425854761834087,0.13569937369519833,3.802744863781715,0.0,0.0,1510.8087848351986,0.0006884181364588187,0.0004978008856454556,5.9012232521906315e-05,0.0,0.0
17,2026-08-07T11:59:12.935381,shadow,silero,False,0.0026786141097545624,True,True,True,False,3,0.0,0.005,False,0,3,True,0.08,True,1280.0,True,True,2.6,True,0.005455643065576925,0.7544784992681902,0.19713278381082588,0.048388716920984044,0.8,True,0.004042032174766064,0.5,False,0,False,0,3,3,True,True,15,False,True,grouped_v1,False,0.00022791762956470522,0.12108559498956159,3.748708518352483,0.0,0.0,1465.776758668894,0.0041161653926593865,0.0010754861049954072,0.0002639915679221314,0.0,0.0
18,2026-08-07T11:59:12.945237,shadow,silero,False,0.0017823312664404511,True,True,True,False,3,0.0,0.005,False,0,4,True,0.08,True,1280.0,True,True,2.6,True,0.0008571661116503874,0.6939294892876584,0.25582564208605624,0.050244868626285334,0.8,True,0.004042032174766064,0.5,False,0,False,0,3,3,True,True,16,False,True,grouped_v1,False,9.296506724272654e-05,0.12526096033402923,3.492081484476493,0.0,0.0,1637.320623078227,0.0005948128420922413,0.0002192850708873685,4.3068198670777544e-05,0.0,0.0
19,2026-08-07T11:59:12.951225,shadow,silero,False,0.0015924976905807853,True,True,True,False,3,0.0,0.005,False,0,5,True,0.08,True,1280.0,True,True,2.6,True,0.0012633187299086583,0.7615440896264996,0.1712621520285789,0.06719375834492163,0.8,True,0.004042032174766064,0.5,False,0,False,0,3,3,True,True,17,False,True,grouped_v1,False,0.00011365927741905404,0.12943632567849686,3.6831395184551905,0.0,0.0,1534.8612224846258,0.0009620729120763949,0.00021635868438216782,8.48871334500957e-05,0.0,0.0
20,2026-08-07T11:59:12.958829,shadow,silero,False,0.0016498458571732044,True,True,True,False,3,0.0,0.005,False,0,6,True,0.08,True,1280.0,True,True,2.6,True,0.0007519011395347102,0.6811870156466795,0.2558734440841254,0.06293954026919514,0.8,True,0.004042032174766064,0.5,False,0,False,0,3,3,True,True,18,False,True,grouped_v1,False,8.845635227845858e-05,0.1524008350730689,3.7999029524751293,0.0,0.0,1629.5560036860427,0.0005121852933009868,0.00019239153418352484,4.7324312050198604e-05,0.0,0.0
