frame,timestamp,processing_mode,speech_detector_implementation,is_speech,speech_probability,speech_gate_open,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score
0,2026-08-07T11:58:55.357333,shadow,silero,False,0.0,True,False,True,False,2,0.0,0.005,False,0,0,False,0.08,False,1280.0,True,True,2.6,True,6.986031722370867,0.8260261351837819,0.08424476825573729,0.08972909656048085,0.8,False,,0.5,False,0,False,0,2,2,True,False,0,True,False,grouped_v1,False,0.008337889837230363,0.06889352818371608,3.2639321065815614,0.0,0.0,1535.5563981135595,5.770644783901306,0.5885366234783629,0.6268503149911978,0.0,0.0
1,2026-08-07T11:58:55.480412,shadow,silero,False,0.06643348187208176,True,False,True,False,3,0.0,0.005,True,1,0,False,0.08,True,1280.0,True,True,2.6,True,0.0008008183322285773,0.7129302683706149,0.22171403107292229,0.06535570055646282,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,9.358050596483543e-05,0.12734864300626306,3.6304043601359597,0.0,0.0,1571.0577460771613,0.0005709276285118279,0.0001775526605954926,5.233804312125686e-05,0.0,0.0
2,2026-08-07T11:58:55.516235,shadow,silero,False,0.009186728857457638,True,False,True,False,3,0.0,0.005,True,2,0,False,0.08,True,1280.0,True,True,2.6,True,0.0003625245546801236,0.7151643323222933,0.2096573890490493,0.07517827862865738,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,6.762335644413147e-05,0.1315240083507307,3.606849265143598,0.0,0.0,1666.3549116437662,0.0002592646310982473,7.600595160040401e-05,2.725397198147227e-05,0.0,0.0
3,2026-08-07T11:58:55.519687,shadow,silero,False,0.0055916160345077515,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.0005127997778395589,0.758429596139323,0.16189312964756866,0.07967727421310834,0.8,True,,0.5,False,0,False,0,3,3,True,True,1,False,True,grouped_v1,False,7.9352610165385e-05,0.1336116910229645,3.5691652603607857,0.0,0.0,1562.7426608742605,0.00038892252840719125,8.301876091702412e-05,4.0858488515343575e-05,0.0,0.0
4,2026-08-07T11:58:55.523428,shadow,silero,False,0.0027346224524080753,True,True,True,False,3,0.0,0.005,False,0,1,True,0.08,True,1280.0,True,True,2.6,True,0.00026212218161125066,0.6401131530195258,0.19048142129957985,0.16940542568089445,0.8,True,,0.5,False,0,False,0,3,3,True,True,2,False,True,grouped_v1,False,5.982512702190797e-05,0.17118997912317327,3.2756749327708343,0.0,0.0,1808.8458022195514,0.00016778785614753443,4.992940570745762e-05,4.440491975625864e-05,0.0,0.0
5,2026-08-07T11:58:55.528255,shadow,silero,False,0.0037614272441715,True,True,True,False,3,0.0,0.005,False,0,2,True,0.08,True,1280.0,True,True,2.6,True,0.00033082974801178173,0.40550330305034504,0.3460042535965618,0.2484924433530932,0.8,True,,0.5,False,0,False,0,3,3,True,True,3,False,True,grouped_v1,False,6.521889046137678e-05,0.2150313152400835,4.025818230552704,0.0,0.0,1908.357217633287,0.0001341525555660908,0.00011446850002835516,8.220869241733577e-05,0.0,0.0
6,2026-08-07T11:58:55.534543,shadow,silero,False,0.004520856309682131,True,True,True,False,3,0.0,0.005,False,0,3,True,0.08,True,1280.0,True,True,2.6,True,0.002708703831384707,0.34717121958262187,0.624654907652425,0.028173872764953176,0.8,True,,0.5,False,0,False,0,3,3,True,True,4,False,True,grouped_v1,False,0.00015706971766978666,0.1649269311064718,3.6479592842829542,0.0,0.0,1470.075810360284,0.0009403840126299492,0.0016920051416513839,7.631467710337391e-05,0.0,0.0
7,2026-08-07T11:58:55.540312,shadow,silero,False,0.005561408121138811,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.0002664530291925074,0.46081794381183405,0.3576911369734633,0.18149091921470278,0.8,True,,0.5,False,0,False,0,3,3,True,True,5,False,True,grouped_v1,False,6.060800508431566e-05,0.18162839248434237,3.8799565347991827,0.0,0.0,1796.9242562812321,0.00012278633703492585,9.530788696189137e-05,4.83588051956902e-05,0.0,0.0
8,2026-08-07T11:58:55.548987,shadow,silero,False,0.006133314687758684,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.00046300236086043844,0.7284529281727974,0.18893253187584663,0.08261453995135593,0.8,True,,0.5,False,0,False,0,3,3,True,True,6,False,True,grouped_v1,False,7.236893071560759e-05,0.1419624217118998,3.272592018729497,0.0,0.0,1712.271653254798,0.0003372754255197046,8.747620830185703e-05,3.82507270388768e-05,0.0,0.0
9,2026-08-07T11:58:55.556117,shadow,silero,False,0.00758532015606761,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.0005934551169139923,0.708117016153174,0.1993855966120155,0.0924973872348106,0.8,True,0.005576512077823281,0.5,False,0,False,0,3,3,True,True,7,False,True,grouped_v1,False,8.045024513570688e-05,0.162839248434238,3.6966927075922196,0.0,0.0,1553.7140415511642,0.00042023566660996924,0.00011832640254834975,5.489304775567334e-05,0.0,0.0
10,2026-08-07T11:58:55.565294,shadow,silero,False,0.007841900922358036,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.0006320820465619544,0.6207572005942112,0.3123690077738342,0.06687379163195449,0.8,True,0.005862465361133218,0.5,False,0,False,0,3,3,True,True,8,False,True,grouped_v1,False,8.239192746257642e-05,0.1524008350730689,3.6856107058173713,0.0,0.0,1597.384542908646,0.0003923694817696587,0.00019744284171621218,4.22697230760835e-05,0.0,0.0
11,2026-08-07T11:58:55.572742,shadow,silero,False,0.008013252168893814,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.0003693883472360324,0.5255372091060487,0.3640938019853672,0.11036898890858397,0.8,True,0.005862465361133218,0.5,False,0,False,0,3,3,True,True,9,False,True,grouped_v1,False,6.83020283977383e-05,0.16075156576200417,3.7172791814948707,0.0,0.0,1667.1317853122714,0.00019412732108272052,0.00013449200775425806,4.076901839905383e-05,0.0,0.0
12,2026-08-07T11:58:55.582219,shadow,silero,False,0.007620370481163263,True,True,True,True,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.0004592236300859541,0.678700433082198,0.2696194652496924,0.05168010166810955,0.8,True,0.005862465361133218,0.5,False,0,False,0,3,3,True,True,10,False,True,grouped_v1,True,7.185425171961852e-05,0.11691022964509394,3.358229692285405,0.0,0.0,1677.5706239090507,0.00031167527662091614,0.0001238156295737975,2.373272389124044e-05,0.0,0.0
13,2026-08-07T11:58:55.594758,shadow,silero,False,0.007198128383606672,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.000914322429565,0.6444635378008328,0.27714817565716954,0.07838828654199767,0.8,True,0.006665721535682678,0.5,False,0,False,0,3,3,True,True,11,False,True,grouped_v1,False,9.919465536157153e-05,0.15031315240083507,3.8554302128996225,0.0,0.0,1554.3509194965466,0.0005892474676481126,0.0002534027933163706,7.16721686005167e-05,0.0,0.0
14,2026-08-07T11:58:55.603753,shadow,silero,False,0.00704233581200242,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.0003391479537833339,0.6208886884813658,0.2831787826957552,0.09593252882287907,0.8,True,0.007120232097804546,0.5,False,0,False,0,3,3,True,True,12,False,True,grouped_v1,False,6.793548316677144e-05,0.15866388308977036,3.596346931532377,0.0,0.0,1617.7944023372106,0.00021057312822567306,9.603950470612073e-05,3.253532085154014e-05,0.0,0.0
15,2026-08-07T11:58:55.612170,shadow,silero,False,0.006458940915763378,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.00021073689972913426,0.5526990816608438,0.3363757821695617,0.11092513616959443,0.8,True,0.007120232097804546,0.5,False,0,False,0,3,3,True,True,13,False,True,grouped_v1,False,5.417858614592686e-05,0.17014613778705637,3.85126668854079,0.0,0.0,1763.4972557781884,0.00011647409095234583,7.088678947837604e-05,2.3376019298412387e-05,0.0,0.0
16,2026-08-07T11:58:55.614837,shadow,silero,False,0.006458940915763378,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.00019828917945765987,0.5306664941017702,0.31191706896298976,0.15741643693523996,0.8,True,0.007120232097804546,0.5,False,0,False,0,3,3,True,True,14,False,True,grouped_v1,False,5.489359339412295e-05,0.19624217118997914,3.9870330515247754,0.0,0.0,1811.9216233045527,0.00010522542368111312,6.184977966350955e-05,3.1213976113037195e-05,0.0,0.0
17,2026-08-07T11:58:55.623152,shadow,silero,False,0.006158106029033661,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.0006064919728058071,0.7323393767548024,0.19592362837489688,0.07173699487030072,0.8,True,0.007120232097804546,0.5,False,0,False,0,3,3,True,True,15,False,True,grouped_v1,False,8.427662059512876e-05,0.15866388308977036,3.608609586591375,0.0,0.0,1629.5690128313381,0.0004441579533713953,0.000118826107892363,4.350791154204874e-05,0.0,0.0
18,2026-08-07T11:58:55.630837,shadow,silero,False,0.006333607714623213,True,True,True,False,2,0.0,0.005,True,0,0,True,0.08,True,1280.0,False,True,2.6,True,0.01157498481508841,0.8559557582811353,0.1393945916199719,0.004649650098892823,0.8,False,0.007120232097804546,0.5,False,0,False,0,2,2,True,True,16,False,True,grouped_v1,False,0.0003294207035425883,0.09812108559498957,3.1518142876341178,0.0,0.0,985.2010984401693,0.009907674904491627,0.0016134902813066247,5.381962929015875e-05,0.0,0.0
19,2026-08-07T11:58:55.638840,shadow,silero,False,0.021515950560569763,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.005900822587877865,0.632670336759663,0.35297072453352996,0.014358938706806951,0.8,True,0.007120232097804546,0.5,False,0,False,0,3,3,True,True,17,False,True,grouped_v1,False,0.00023003623784675675,0.12943632567849686,3.439659338278152,0.0,0.0,1361.8240039979598,0.0037332754138317153,0.0020828176241870695,8.472954985908025e-05,0.0,0.0
20,2026-08-07T11:58:55.650671,shadow,silero,False,0.015406046994030476,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.004379219008607227,0.6150102882936999,0.35976239621184813,0.02522731549445199,0.8,True,0.007120232097804546,0.5,False,0,False,0,3,3,True,True,18,False,True,grouped_v1,False,0.00020161996884114736,0.13569937369519833,3.7241166313612606,0.0,0.0,1443.408686050523,0.0026932647449847812,0.00157547832407301,0.00011047593954943579,0.0,0.0
21,2026-08-07T11:58:55.658694,shadow,silero,False,0.015721334144473076,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.004671226296027798,0.7301241711406278,0.2398917847717322,0.029984044087640035,0.8,True,0.007120232097804546,0.5,False,0,False,0,3,3,True,True,19,False,True,grouped_v1,False,0.0002090616738467924,0.11691022964509394,3.480440427568135,0.0,0.0,1452.54568223859,0.0034105752275976012,0.0011205888132267564,0.00014006225520344097,0.0,0.0
22,2026-08-07T11:58:55.665756,shadow,silero,False,0.01625732332468033,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.0017060697615272052,0.6437251786708625,0.3054492910470652,0.050825530282072255,0.8,True,0.007120232097804546,0.5,False,0,False,0,3,3,True,True,20,False,True,grouped_v1,False,0.00012720148825536693,0.162839248434238,3.7302829047123667,0.0,0.0,1479.1462924271182,0.001098240062064056,0.0005211177991353204,8.671190032782876e-05,0.0,0.0
23,2026-08-07T11:58:55.672361,shadow,silero,False,0.017168210819363594,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.0026846089713228037,0.6785036830120961,0.25568273638229067,0.06581358060561328,0.8,True,0.011224191403016448,0.5,False,0,False,0,3,3,True,True,21,False,True,grouped_v1,False,0.0001606158752553862,0.15031315240083507,3.909364716100523,0.0,0.0,1500.4219975866497,0.0018215170744898368,0.0006864081679042609,0.00017668372892870588,0.0,0.0
24,2026-08-07T11:58:55.679772,shadow,silero,False,0.0165418554097414,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.0015506990694199865,0.627133069329217,0.297241466308834,0.07562546436194896,0.8,True,0.015563690569251776,0.5,False,0,False,0,3,3,True,True,22,False,True,grouped_v1,False,0.00012225027952373637,0.1544885177453027,3.770491644122099,0.0,0.0,1641.3409011883662,0.0009724946670113167,0.0004609320651981412,0.0001172723372105286,0.0,0.0
25,2026-08-07T11:58:55.691228,shadow,silero,False,0.013673056848347187,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.0011827489112730652,0.6099261084640185,0.3105895405984167,0.07948435093756491,0.8,True,0.015563690569251776,0.5,False,0,False,0,3,3,True,True,23,False,True,grouped_v1,False,0.00011035048749677296,0.1524008350730689,3.8753054584499975,0.0,0.0,1596.307443946292,0.0007213894407428354,0.00036734944099557886,9.401002953465114e-05,0.0,0.0
26,2026-08-07T11:58:55.701592,shadow,silero,False,0.010746161453425884,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.0014613602068104406,0.6714362134428061,0.2663296321863992,0.06223415437079456,0.8,True,0.015563690569251776,0.5,False,0,False,0,3,3,True,True,24,False,True,grouped_v1,False,0.00012206558045445713,0.1524008350730689,3.7999565408969036,0.0,0.0,1466.2729455740593,0.0009812101637367984,0.00038920352637166497,9.094651670197723e-05,0.0,0.0
