frame,timestamp,is_whisper,trigger,raw_score,probability,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score
1,2026-07-30T18:37:03.488911,True,False,3,1.0,0.024697935451062566,0.11899791231732777,4.544710215782802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2026-07-30T18:37:03.489915,False,False,1,0.3333333333333333,0.0003168990676988884,0.10647181628392484,2.897149122529402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2026-07-30T18:37:03.491369,False,False,1,0.3333333333333333,0.00022471050890198856,0.1022964509394572,3.073545356508151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2026-07-30T18:37:03.492338,False,False,1,0.3333333333333333,0.0001653860225324263,0.12317327766179541,3.254056742143054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2026-07-30T18:37:03.493072,False,False,1,0.3333333333333333,0.00015087896365712444,0.1336116910229645,3.510289008376782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2026-07-30T18:37:03.493921,False,False,1,0.3333333333333333,0.0001237693310177697,0.12943632567849686,3.8347193077879367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2026-07-30T18:37:03.494770,False,False,1,0.3333333333333333,0.0001446806259086117,0.1336116910229645,3.7855984563993017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2026-07-30T18:37:03.495710,False,False,1,0.3333333333333333,0.00013544029113908554,0.11899791231732777,3.503399983521189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2026-07-30T18:37:03.496574,False,False,1,0.3333333333333333,9.208041395979349e-05,0.11691022964509394,3.3836713514222874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-30T18:37:03.497439,False,False,1,0.3333333333333333,7.13670939908203e-05,0.11691022964509394,3.5314923854984483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2026-07-30T18:37:03.498266,False,False,1,0.3333333333333333,0.000144457117518222,0.12526096033402923,3.6292238341946352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2026-07-30T18:37:03.499139,False,False,1,0.3333333333333333,0.0010344097194805663,0.12108559498956159,2.817225599798416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2026-07-30T18:37:03.499987,False,False,1,0.3333333333333333,0.002366896155929408,0.11482254697286012,3.663263449114985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2026-07-30T18:37:03.500829,False,False,1,0.3333333333333333,0.00097867359031239,0.14613778705636743,3.768967069605476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2026-07-30T18:37:03.501699,False,False,1,0.3333333333333333,0.0003201328163245278,0.10647181628392484,3.5781834416570066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2026-07-30T18:37:03.502569,False,False,1,0.3333333333333333,0.00019485260891003928,0.11899791231732777,3.782645774219064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2026-07-30T18:37:03.503415,False,False,1,0.3333333333333333,0.00011425854761834087,0.13569937369519833,3.802744863781715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-07-30T18:37:03.504386,False,False,1,0.3333333333333333,0.00022791762956470522,0.12108559498956159,3.748708518352483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2026-07-30T18:37:03.505208,False,False,1,0.3333333333333333,9.296506724272654e-05,0.12526096033402923,3.492081484476493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2026-07-30T18:37:03.506014,False,False,1,0.3333333333333333,0.00011365927741905404,0.12943632567849686,3.6831395184551905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2026-07-30T18:37:03.506819,False,False,1,0.3333333333333333,8.845635227845858e-05,0.1524008350730689,3.7999029524751293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2026-07-30T18:37:03.507653,False,False,1,0.3333333333333333,9.714857498192392e-05,0.11482254697286012,3.645132464542084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2026-07-30T18:37:03.508687,False,False,1,0.3333333333333333,0.00010726334859637981,0.12317327766179541,3.604377973850333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2026-07-30T18:37:03.509963,False,False,1,0.3333333333333333,8.062074243977612e-05,0.17745302713987474,3.7307024552215045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2026-07-30T18:37:03.510930,False,False,1,0.3333333333333333,0.0001116591070873441,0.16075156576200417,3.678954242205317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2026-07-30T18:37:03.511850,False,False,1,0.3333333333333333,0.00012231511257858993,0.1544885177453027,3.864257356071833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2026-07-30T18:37:03.512726,False,False,1,0.3333333333333333,9.997825823654644e-05,0.10020876826722339,3.200834671268408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2026-07-30T18:37:03.513580,False,False,1,0.3333333333333333,0.00010098127487553602,0.13569937369519833,3.6103944640671255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2026-07-30T18:37:03.514435,False,False,1,0.3333333333333333,7.794837677467786e-05,0.1732776617954071,4.03874363667475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2026-07-30T18:37:03.515306,False,False,1,0.3333333333333333,8.456973101930264e-05,0.1649269311064718,3.68088946215638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2026-07-30T18:37:03.516145,False,False,1,0.3333333333333333,7.851862204008795e-05,0.1649269311064718,3.6033172881156763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2026-07-30T18:37:03.516956,False,False,1,0.3333333333333333,6.089106348616819e-05,0.19832985386221294,4.288428378710272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2026-07-30T18:37:03.517769,False,False,1,0.3333333333333333,5.691490684797714e-05,0.1732776617954071,3.868279227120693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
